t,lcc_size,avg_degree,lcc_fraction
0.0,0,0.0,0.0
1.0,0,0.0,0.0
2.0,2,1.0,0.04
3.0,5,3.6,0.1
4.0,5,3.6,0.1
5.0,6,4.666666666666667,0.12
6.0,7,5.714285714285714,0.14
7.0,8,6.25,0.16
8.0,8,6.25,0.16
9.0,8,6.25,0.16
10.0,8,6.25,0.16
11.0,12,5.5,0.24
12.0,14,5.285714285714286,0.28
13.0,14,5.285714285714286,0.28
14.0,16,6.25,0.32
15.0,19,6.421052631578948,0.38
16.0,20,6.3,0.4
17.0,24,6.416666666666667,0.48
18.0,25,6.8,0.5
19.0,26,7.0,0.52
20.0,26,7.0,0.52
21.0,28,7.571428571428571,0.56
22.0,28,7.571428571428571,0.56
23.0,28,7.571428571428571,0.56
24.0,31,7.290322580645161,0.62
25.0,31,7.290322580645161,0.62
26.0,32,7.5625,0.64
27.0,32,7.5625,0.64
28.0,36,8.055555555555555,0.72
29.0,36,8.055555555555555,0.72
30.0,36,8.055555555555555,0.72
31.0,37,7.945945945945946,0.74
32.0,38,8.157894736842104,0.76
33.0,39,8.102564102564102,0.78
34.0,39,8.102564102564102,0.78
35.0,40,7.95,0.8
36.0,40,7.95,0.8
37.0,40,7.95,0.8
38.0,40,7.95,0.8
39.0,40,7.95,0.8
40.0,40,7.95,0.8
41.0,40,7.95,0.8
42.0,40,7.95,0.8
43.0,40,7.95,0.8
44.0,40,7.95,0.8
45.0,40,7.95,0.8
46.0,40,7.95,0.8
47.0,40,7.95,0.8
48.0,40,7.95,0.8
49.0,40,7.95,0.8
50.0,40,7.95,0.8
51.0,40,7.95,0.8
52.0,41,7.902439024390244,0.82
53.0,41,7.902439024390244,0.82
54.0,42,7.761904761904762,0.84
55.0,43,7.813953488372093,0.86
56.0,44,7.863636363636363,0.88
57.0,46,8.043478260869565,0.92
58.0,47,7.914893617021277,0.94
59.0,47,7.914893617021277,0.94
60.0,47,7.914893617021277,0.94
61.0,47,7.914893617021277,0.94
62.0,48,7.833333333333333,0.96
63.0,49,7.877551020408164,0.98
64.0,49,7.877551020408164,0.98
65.0,49,7.877551020408164,0.98
66.0,49,7.877551020408164,0.98
67.0,49,7.877551020408164,0.98
68.0,49,7.877551020408164,0.98
69.0,49,7.877551020408164,0.98
70.0,49,7.877551020408164,0.98
71.0,49,7.877551020408164,0.98
72.0,50,7.92,1.0
73.0,50,7.92,1.0
74.0,50,7.92,1.0
75.0,50,7.92,1.0
76.0,50,7.92,1.0
77.0,50,7.92,1.0
78.0,50,7.92,1.0
79.0,50,7.92,1.0
80.0,50,7.92,1.0
81.0,50,7.92,1.0
82.0,50,7.92,1.0
83.0,50,7.92,1.0
84.0,50,7.92,1.0
85.0,50,7.92,1.0
86.0,50,7.92,1.0
87.0,50,7.92,1.0
88.0,50,7.92,1.0
89.0,50,7.92,1.0
90.0,50,7.92,1.0
91.0,50,7.92,1.0
92.0,50,7.92,1.0
93.0,50,7.92,1.0
94.0,50,7.92,1.0
95.0,50,7.92,1.0
96.0,50,7.92,1.0
97.0,50,7.92,1.0
98.0,50,7.92,1.0
99.0,50,7.92,1.0
100.0,50,7.92,1.0
101.0,50,7.92,1.0
102.0,50,7.92,1.0
103.0,50,7.92,1.0
104.0,50,7.92,1.0
105.0,50,7.92,1.0
106.0,50,7.92,1.0
107.0,50,7.92,1.0
108.0,50,7.92,1.0
109.0,50,7.92,1.0
110.0,50,7.92,1.0
111.0,50,7.92,1.0
112.0,50,7.92,1.0
113.0,50,7.92,1.0
114.0,50,7.92,1.0
115.0,50,7.92,1.0
116.0,50,7.92,1.0
117.0,50,7.92,1.0
118.0,50,7.92,1.0
119.0,50,7.92,1.0
120.0,50,7.92,1.0
121.0,50,7.92,1.0
122.0,50,7.92,1.0
123.0,50,7.92,1.0
124.0,50,7.92,1.0
125.0,50,7.92,1.0
126.0,50,7.92,1.0
127.0,50,7.92,1.0
128.0,50,7.92,1.0
129.0,50,7.92,1.0
130.0,50,7.92,1.0
131.0,50,7.92,1.0
132.0,50,7.92,1.0
133.0,50,7.92,1.0
134.0,50,7.92,1.0
135.0,50,7.92,1.0
136.0,50,7.92,1.0
137.0,50,7.92,1.0
138.0,50,7.92,1.0
139.0,50,7.92,1.0
140.0,50,7.92,1.0
141.0,50,7.92,1.0
142.0,50,7.92,1.0
143.0,50,7.92,1.0
144.0,50,7.92,1.0
145.0,50,7.92,1.0
146.0,50,7.92,1.0
147.0,50,7.92,1.0
148.0,50,7.92,1.0
149.0,50,7.92,1.0
150.0,50,7.92,1.0
151.0,50,7.92,1.0
152.0,50,7.92,1.0
153.0,50,7.92,1.0
154.0,50,7.92,1.0
155.0,50,7.92,1.0
156.0,50,7.92,1.0
157.0,50,7.92,1.0
158.0,50,7.92,1.0
159.0,50,7.92,1.0
160.0,50,7.92,1.0
161.0,50,7.92,1.0
162.0,50,7.92,1.0
163.0,50,7.92,1.0
164.0,50,7.92,1.0
165.0,50,7.92,1.0
166.0,50,7.92,1.0
167.0,50,7.92,1.0
168.0,50,7.92,1.0
169.0,50,7.92,1.0
170.0,50,7.92,1.0
171.0,50,7.92,1.0
172.0,50,7.92,1.0
173.0,50,7.92,1.0
174.0,50,7.92,1.0
175.0,50,7.92,1.0
176.0,50,7.92,1.0
177.0,50,7.92,1.0
178.0,50,7.92,1.0
179.0,50,7.92,1.0
180.0,50,7.92,1.0
181.0,50,7.92,1.0
182.0,50,7.92,1.0
183.0,50,7.92,1.0
184.0,50,7.92,1.0
185.0,50,7.92,1.0
186.0,50,7.92,1.0
187.0,50,7.92,1.0
188.0,50,7.92,1.0
189.0,50,7.92,1.0
190.0,50,7.92,1.0
191.0,50,7.92,1.0
192.0,50,7.92,1.0
193.0,50,7.92,1.0
194.0,50,7.92,1.0
195.0,50,7.92,1.0
