,PC1,PC2,PC3,PC4,PC5,PC6
T80,0.34106225147914376,0.3358054396240963,-0.1411644620470541,0.0029015836031789674,0.021184798474688925,0.04486331309514143
AUC,-0.3665902918610718,-0.3211036577374072,0.08387824808855222,-0.0733378232179702,-0.08461611102911078,0.015040949783344599
Init_Prob,0.3705747947650329,0.2892370857938423,-0.03006390543009122,0.1362191578766474,0.14177932589926917,-0.01254423494199597
Grid_Centrality,-0.2516398938347172,-0.09284871100849783,-0.12668304305740488,-0.2713631437901873,0.4737015999476319,-0.2223745817651476
Grid_ImpactLambda2,0.052255481212661985,-0.01231754823420928,0.2698468151348865,0.3704980515353565,-0.43170316712013,0.3872614335027352
Grid_Betweenness,-0.28871153645383824,-0.22145721278764943,0.1741348107894789,0.08563550858395086,0.0814058759867105,0.0911949596498863
N_subs,-0.11014659438128882,0.19415451687681862,-0.3041742029462848,-0.4157145009927375,-0.3507815258325062,0.07681701393600679
Redundancy_HHI,0.11156149148489423,-0.15573263064682777,0.30094954442325167,0.4236182616309367,0.3972113316956922,-0.07599223308928542
Dist_to_CrewYard_km,0.17377376278451184,0.051173859605530475,-0.027722445938850395,0.035810443236770934,0.09384079967908016,-0.35900772662837993
Pre_1970_Ratio,-0.1178753466173114,-0.027089259520430606,-0.13089719468611996,-0.0409685905322227,0.26435094149829064,0.6581884408478492
Pop_Density,-0.24711971987789963,0.09983086269062917,0.07975053692379233,0.19111721128154927,-0.31372050151073416,-0.3192886068147934
NRI_RISK_SCORE,0.06439566747894923,0.14268542507491844,0.5077060239342089,-0.33686117982555436,0.03610882342360531,0.01949682030633805
NRI_EAL_SCORE,0.1977501116460418,-0.03398701685796715,0.43868901479760525,-0.3674481961579602,0.018563410363017938,0.013727814828217279
NRI_BUILDVALUE,0.22572546565763657,-0.1749815815391986,0.27594205959313195,-0.33594456115128546,-0.057090335392503154,0.10018954718107068
SVI_THEME1,-0.29462104427506647,0.3658739810294834,0.16287748101014415,0.05563608031765931,0.07064432090411539,-0.024704338306217974
SVI_THEME2,-0.16101475488781913,0.4086117660497587,0.08459567154106316,-0.00033058924718754805,0.221258571182033,0.22414220979450744
SVI_THEME3,-0.2755720791446253,0.37255419645078325,0.07466454915386038,0.04006274097400174,0.1392962705741134,0.08224535586093548
SVI_THEME4,-0.22348447008158864,0.27500719192917394,0.2827919015212196,0.0026111555004262664,-0.13679336181775145,-0.21430115632459149
