"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US06037101110","Census Tract 1011.10; Los Angeles County; California","1652","97","0","13","39","43","48","47","87","55","79","60","119","60","213","89","516","143","223","91","328","104",
"1400000US06037101122","Census Tract 1011.22; Los Angeles County; California","1427","170","0","13","5","9","247","141","35","42","68","41","176","74","469","116","286","122","31","29","110","73",
"1400000US06037101220","Census Tract 1012.20; Los Angeles County; California","1372","207","9","16","32","32","58","42","81","42","72","51","231","144","187","79","232","72","306","162","164","59",
"1400000US06037101221","Census Tract 1012.21; Los Angeles County; California","1549","285","0","13","35","41","113","93","353","175","191","101","300","231","221","92","83","63","78","67","175","122",
"1400000US06037101222","Census Tract 1012.22; Los Angeles County; California","1006","138","0","13","35","32","0","13","11","21","445","150","138","109","98","69","162","113","45","48","72","65",
"1400000US06037101300","Census Tract 1013; Los Angeles County; California","1517","150","0","13","19","29","45","32","130","84","256","128","86","72","169","89","628","124","113","66","71","39",
"1400000US06037101400","Census Tract 1014; Los Angeles County; California","1522","183","0","13","70","59","84","53","58","91","168","75","108","67","318","90","223","110","197","102","296","132",
"1400000US06037102103","Census Tract 1021.03; Los Angeles County; California","788","109","17","22","63","37","24","22","10","11","46","36","32","28","111","40","288","88","182","117","15","18",
"1400000US06037102104","Census Tract 1021.04; Los Angeles County; California","1393","129","0","13","0","13","39","33","75","63","44","55","748","142","130","62","247","90","65","48","45","51",
"1400000US06037102105","Census Tract 1021.05; Los Angeles County; California","575","83","0","13","0","13","0","13","29","38","34","29","65","37","84","61","160","61","187","94","16","16",
