,TRACT,TRACTFIPS,SOVI_SCORE,NRI_ID
1377,101110,6037101110,81.38999939,T06037101110
1378,101122,6037101122,31.82999992,T06037101122
1379,101220,6037101220,84.12999725,T06037101220
1380,101221,6037101221,94.91000366,T06037101221
1381,101222,6037101222,97.31999969,T06037101222
1382,101300,6037101300,49.08000183,T06037101300
1383,101400,6037101400,75.94000244,T06037101400
1384,102103,6037102103,41.18999863,T06037102103
1385,102104,6037102104,62.88000107,T06037102104
1386,102105,6037102105,30.89999962,T06037102105
1387,102107,6037102107,64,T06037102107
1388,103101,6037103101,27.31999969,T06037103101
1389,103102,6037103102,77.19000244,T06037103102
1390,103201,6037103201,88.56999969,T06037103201
1391,103202,6037103202,35.29999924,T06037103202
1392,103300,6037103300,22.69000053,T06037103300
1393,103401,6037103401,44.68000031,T06037103401
1394,103402,6037103402,41.65999985,T06037103402
1395,104103,6037104103,68.41000366,T06037104103
1396,104105,6037104105,98.77999878,T06037104105
1397,104108,6037104108,95.76999664,T06037104108
1398,104124,6037104124,81.66000366,T06037104124
1399,104201,6037104201,73.18998718,T06037104201
1400,104203,6037104203,86.33000183,T06037104203
1401,104204,6037104204,93.93000031,T06037104204
1402,104310,6037104310,70.76000214,T06037104310
1403,104321,6037104321,78.05000305,T06037104321
1404,104322,6037104322,79.91999817,T06037104322
1405,104401,6037104401,70.52999878,T06037104401
1406,104403,6037104403,68.91000366,T06037104403
1407,104404,6037104404,89.12999725,T06037104404
1408,104500,6037104500,71.01000214,T06037104500
1409,104610,6037104610,75.66999817,T06037104610
1410,104620,6037104620,78.88999939,T06037104620
1411,104701,6037104701,98.45999908,T06037104701
1412,104703,6037104703,88.29000092,T06037104703
1413,104704,6037104704,91.80999756,T06037104704
1414,104821,6037104821,88.84999847,T06037104821
1415,104822,6037104822,92.30999756,T06037104822
1416,104823,6037104823,70.40000153,T06037104823
1417,104824,6037104824,44.18000031,T06037104824
1418,106010,6037106010,43.13000107,T06037106010
1419,106020,6037106020,63.93000031,T06037106020
1420,106111,6037106111,66.18998718,T06037106111
1421,106112,6037106112,66.88999939,T06037106112
1422,106113,6037106113,65.33999634,T06037106113
1423,106114,6037106114,83.37000275,T06037106114
1424,106403,6037106403,62.50999832,T06037106403
1425,106405,6037106405,86.91000366,T06037106405
1426,106406,6037106406,72.47000122,T06037106406
1427,106407,6037106407,99.30000305,T06037106407
1428,106408,6037106408,88.59999847,T06037106408
1429,106510,6037106510,88.22000122,T06037106510
1430,106520,6037106520,89.31001282,T06037106520
1431,106603,6037106603,24.37999916,T06037106603
1432,106604,6037106604,93.01999664,T06037106604
