wkt_geom,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,lon,lat,fragility_median,fragility_beta,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4
Point (-13170530.33610000088810921 4021621.75199999660253525),486,LADWP,,CEC,SUBSTATION,306623,Gramercy,138,90047,CA,Los Angeles County,Los Angeles,-118.312887,33.94650900603726,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13169465.30150000005960464 4008380.01370000094175339),487,LADWP,,CEC,SUBSTATION,304137,Halldale,,90501,CA,Los Angeles County,Los Angeles,-118.3033196,33.84777363353841,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13183114.17159999907016754 4019633.3994000032544136),488,LADWP,,CEC,SUBSTATION,301100,Hyperion,,90045,CA,Los Angeles County,Los Angeles,-118.4259295,33.93169039805566,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13186770.3108999989926815 4065595.24440000206232071),489,SCE,,CEC,SUBSTATION,301636,San Fernando,66,91345,CA,Los Angeles County,Los Angeles,-118.4587732,34.2735702360914,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13190068.12469999864697456 4037974.62619999796152115),491,LADWP,,CEC,SUBSTATION,309843,Kenter Canyon,230,90049,CA,Los Angeles County,Los Angeles,-118.4883979,34.06828428091254,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13175636.12270000018179417 4043040.87780000269412994),493,LADWP,,CEC,SUBSTATION,308206,Nichols Canyon,230,90046,CA,Los Angeles County,Los Angeles,-118.3587531,34.105975791580924,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13185852.43620000034570694 4070217.04100000113248825),494,LADWP,,CEC,SUBSTATION,306152,Olive,66,91342,CA,Los Angeles County,Los Angeles,-118.4505278,34.30787222511813,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13188947.53070000000298023 4066549.38740000128746033),495,LADWP,LADWP-N,CEC,SUBSTATION,307693,Rinaldi,500,91344,CA,Los Angeles County,Los Angeles,-118.4783315,34.28065282927489,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13161291.06780000030994415 4033869.39289999753236771),496,LADWP,,CEC,SUBSTATION,309042,River,230,90021,CA,Los Angeles County,Los Angeles,-118.2298892,34.037730176980155,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13160871.43200000002980232 4037815.78390000015497208),497,LADWP,,CEC,SUBSTATION,310527,Station A (St. John),230,90012,CA,Los Angeles County,Los Angeles,-118.2261196,34.067102266986005,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13164104.4188000001013279 4021859.67279999703168869),498,LADWP,LADWP-S,CEC,SUBSTATION,304073,Station B (Century),287,90002,CA,Los Angeles County,Los Angeles,-118.255162,33.94828198673869,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13164407.10119999945163727 4001736.65699999779462814),499,LADWP,,CEC,SUBSTATION,310179,Station C (Wilmington),138,90744,CA,Los Angeles County,Los Angeles,-118.2578811,33.79819522762282,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13176972.47989999875426292 4033939.46480000019073486),500,LADWP,,CEC,SUBSTATION,303099,Station D (Fairfax),,90034,CA,Los Angeles County,Los Angeles,-118.3707578,34.038251794681585,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13175757.17729999870061874 4052488.33259999752044678),501,LADWP,LADWP-N,CEC,SUBSTATION,300429,Station E (Toluca),500,91601,CA,Los Angeles County,Los Angeles,-118.3598405,34.176217403654334,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13158391.31799999997019768 4030875.1468999981880188),502,LADWP,,CEC,SUBSTATION,308269,Station F (Velasco & Kinetic),230,90023,CA,Los Angeles County,Los Angeles,-118.2038404,34.01543789706917,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13164022.91189999878406525 4043503.68509999662637711),503,LADWP,,CEC,SUBSTATION,301194,Station G (Atwater),230,90039,CA,Los Angeles County,Los Angeles,-118.2544298,34.10941811317132,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13174369.9330000001937151 4040650.13870000094175339),504,LADWP,,CEC,SUBSTATION,303899,Station H (Hollywood),230,90046,CA,Los Angeles County,Los Angeles,-118.3473787,34.08819144477339,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13196202.8328000009059906 4059640.11270000040531158),505,LADWP,,CEC,SUBSTATION,300493,Station J,230,91324,CA,Los Angeles County,Los Angeles,-118.543507,34.229351877875,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13186910.77539999969303608 4033273.74409999698400497),506,LADWP,,CEC,SUBSTATION,301105,Station K (Olympic),230,90025,CA,Los Angeles County,Los Angeles,-118.460035,34.033296014255576,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13183051.63780000060796738 4017961.44039999693632126),507,LADWP,,CEC,SUBSTATION,309553,Station L (Scattergood),230,90293,CA,Los Angeles County,Los Angeles,-118.4253678,33.91922778210644,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13179398.92159999907016754 4061468.80939999967813492),508,LADWP,LADWP-N,CEC,SUBSTATION,309569,Station M (Valley),230,91352,CA,Los Angeles County,Los Angeles,-118.3925549,34.24293288538142,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13163098.94229999929666519 4034624.80529999732971191),509,LADWP,,CEC,SUBSTATION,306012,Station P (Market),230,90013,CA,Los Angeles County,Los Angeles,-118.2461297,34.043353326944434,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13165195.34649999998509884 3998023.50850000232458115),510,LADWP,,CEC,SUBSTATION,308581,Station Q (Harbor),138,90744,CA,Los Angeles County,Los Angeles,-118.264962,33.77047201952387,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13182805.19710000045597553 4051865.36169999837875366),511,LADWP,,CEC,SUBSTATION,304217,Station S (Van Nuys),230,91401,CA,Los Angeles County,Los Angeles,-118.423154,34.171587427841054,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13201555.2199999988079071 4054276.57919999957084656),512,LADWP,,CEC,SUBSTATION,308991,Station T,230,91303,CA,Los Angeles County,Los Angeles,-118.5915883,34.18950640300785,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13196235.51290000043809414 4052910.10710000246763229),513,LADWP,,CEC,SUBSTATION,303620,Station U (Tarzana),230,91356,CA,Los Angeles County,Los Angeles,-118.5438005,34.17935192558167,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13190256.0648999996483326 4070789.74159999936819077),514,LADWP,,CEC,SUBSTATION,310199,Sylmar West,230,91344,CA,Los Angeles County,Los Angeles,-118.4900862,34.31212171136534,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13161004.78020000085234642 3999156.09600000083446503),608,SCE,,CEC,SUBSTATION,304450,Harborgen,,90813,CA,Los Angeles County,Los Angeles,-118.2273175,33.77892912577885,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13180728.58420000039041042 4019648.80070000141859055),643,SCE,,CEC,SUBSTATION,309722,Losulfur,,90045,CA,Los Angeles County,Los Angeles,-118.4044994,33.9318051892294,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13168981.3278999999165535 4002921.30229999870061874),709,SCE,,CEC,SUBSTATION,300601,Sanitreat,,90710,CA,Los Angeles County,Los Angeles,-118.298972,33.80703816898084,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13182559.0186999998986721 4027504.83919999748468399),752,SCE,,CEC,SUBSTATION,308325,Venice,66,90066,CA,Los Angeles County,Los Angeles,-118.4209425,33.99033881769101,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13167731.5989999994635582 4042425.59910000115633011),2250,SCE,,CEC,SUBSTATION,300589,Station 54 ,66,90027,CA,Los Angeles County,Los Angeles,-118.2877455,34.101399183574514,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13188691.20500000007450581 4035652.12489999830722809),2251,LADWP,,CEC,SUBSTATION,300144,Station 66,,90049,CA,Los Angeles County,Los Angeles,-118.4760289,34.05099990598806,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13177575.63289999961853027 4023675.86620000004768372),2256,LADWP,,CEC,SUBSTATION,301637,Station N (Airport),138,90045,CA,Los Angeles County,Los Angeles,-118.376176,33.961815007087615,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13161899.02050000056624413 4001182.65389999747276306),2261,SCE,,CEC,SUBSTATION,306063,Shell Los Angeles,66,90744,CA,Los Angeles County,Los Angeles,-118.2353506,33.794059484679245,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13191412.84569999948143959 4069873.76669999957084656),2584,SCE,,CEC,SUBSTATION,306691,Sylmar-Pac Intertie,,91344,CA,Los Angeles County,Los Angeles,-118.5004778,34.30532499779853,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
