OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
2882,101110,44000,Los Angeles,Tujunga,10111044000Tujunga,12296168.2763672,15082.8538412636
2883,101122,44000,Los Angeles,Tujunga,10112244000Tujunga,28458043.2392578,31669.9899842644
2884,101220,44000,Los Angeles,Tujunga,10122044000Tujunga,7522646.92480469,12693.4282369087
2885,101221,44000,Los Angeles,Tujunga,10122144000Tujunga,3811984.17480469,9161.61351739857
2886,101222,44000,Los Angeles,Tujunga,10122244000Tujunga,3191370.859,9980.60046109344
2887,101300,44000,Los Angeles,Tujunga,10130044000Tujunga,27780819.359375,29314.9957866502
2888,101400,44000,Los Angeles,Tujunga,10140044000Tujunga,67913242.8408203,42666.0531134618
2889,102103,44000,Los Angeles,Sun Valley,10210344000Sun Valley,12770250.4814453,16348.9600969638
2890,102104,44000,Los Angeles,Sun Valley,10210444000Sun Valley,17858560.7382813,27561.4358151245
2891,102105,44000,Los Angeles,Sun Valley,10210544000Sun Valley,5308646.21386719,9965.24795801163
2892,102107,44000,Los Angeles,Sun Valley,10210744000Sun Valley,49589412.2636719,54445.8796575497
2893,102107,44000,Los Angeles,Sunland,10210744000Sunland,89494066.6503906,44313.8193369426
2894,103101,44000,Los Angeles,Sunland,10310144000Sunland,21846501.0947266,25420.7374014028
2895,103102,44000,Los Angeles,Sunland,10310244000Sunland,10489991.6289063,13464.1307449069
2896,103102,44000,Los Angeles,Tujunga,10310244000Tujunga,2866633.92285156,8781.63619734793
2897,103201,44000,Los Angeles,Sunland,10320144000Sunland,21038755.6083984,18227.6320180123
2898,103202,44000,Los Angeles,Lakeview Terrace,10320244000Lakeview Terrace,36605921.2109375,42247.8832914356
2899,103202,44000,Los Angeles,Sunland,10320244000Sunland,14419774.3300781,40393.9178717078
2900,103300,44000,Los Angeles,Shadow Hills,10330044000Shadow Hills,66106029.7119141,37290.4848069048
2901,103401,44000,Los Angeles,Sunland,10340144000Sunland,15085843.2412109,20471.3440030419
2902,103402,44000,Los Angeles,Sunland,10340244000Sunland,11829700.2167969,14650.1132015476
2903,104103,44000,Los Angeles,Lakeview Terrace,10410344000Lakeview Terrace,10236590.6972656,13286.9695780507
2904,104105,44000,Los Angeles,Pacoima,10410544000Pacoima,6292850.70507813,11640.0045941202
2905,104108,44000,Los Angeles,Lakeview Terrace,10410844000Lakeview Terrace,4552513.3046875,10729.7619690821
2906,104108,44000,Los Angeles,Pacoima,10410844000Pacoima,7250454.109,12870.6132124191
2907,104124,44000,Los Angeles,Lakeview Terrace,10412444000Lakeview Terrace,16596024.2519531,20402.2367665263
2908,104124,99037,Unincorporated,Kagel/Lopez Canyons,10412499037Kagel/Lopez Canyons,31603847.6181641,34106.2845800321
2909,104201,44000,Los Angeles,Pacoima,10420144000Pacoima,11733740.9091797,14814.9236899818
2910,104203,44000,Los Angeles,Pacoima,10420344000Pacoima,7620036.26953125,11052.5284982814
2911,104204,44000,Los Angeles,Lakeview Terrace,10420444000Lakeview Terrace,23847193.3818359,28076.5871252895
2912,104204,44000,Los Angeles,Pacoima,10420444000Pacoima,3806999.58984375,8410.01668536962
2913,104204,99037,Unincorporated,Kagel/Lopez Canyons,10420499037Kagel/Lopez Canyons,1139303.77148438,4612.49751001545
2914,104310,44000,Los Angeles,Pacoima,10431044000Pacoima,16239761.1972656,19106.1220724895
2915,104321,44000,Los Angeles,Pacoima,10432144000Pacoima,5595200.69238281,10641.6984469641
2916,104322,44000,Los Angeles,Pacoima,10432244000Pacoima,7451302.53710938,14607.5628461042
2917,104401,44000,Los Angeles,Pacoima,10440144000Pacoima,7330830.56445313,12432.0282127695
2918,104403,44000,Los Angeles,Pacoima,10440344000Pacoima,7495259.21582031,16066.7180931448
2919,104404,44000,Los Angeles,Pacoima,10440444000Pacoima,5807918.4765625,10935.7094647296
2920,104500,44000,Los Angeles,Pacoima,10450044000Pacoima,5715190.49316406,11300.6651931215
2921,104610,44000,Los Angeles,Pacoima,10461044000Pacoima,6373155.81542969,11599.5380679177
2922,104620,44000,Los Angeles,Pacoima,10462044000Pacoima,5716992.30371094,11300.4366127565
2923,104701,44000,Los Angeles,Pacoima,10470144000Pacoima,5925044.87109375,11097.8773439933
2924,104703,44000,Los Angeles,Pacoima,10470344000Pacoima,12547236.7509766,15257.6858790265
2925,104704,44000,Los Angeles,Pacoima,10470444000Pacoima,17900125.3222656,16925.9300582948
2926,104821,44000,Los Angeles,Pacoima,10482144000Pacoima,5723800.1953125,11302.1646572762
2927,104822,44000,Los Angeles,Pacoima,10482244000Pacoima,6551288.23632813,13826.3975705617
2928,104823,44000,Los Angeles,Pacoima,10482344000Pacoima,5718699.05371094,11300.8054689055
2929,104824,44000,Los Angeles,Pacoima,10482444000Pacoima,6372012.28320313,11600.0452342351
2930,106010,44000,Los Angeles,Sylmar,10601044000Sylmar,27100942.8671875,23972.4073154136
2931,106020,44000,Los Angeles,Sylmar,10602044000Sylmar,21761578.6845703,22689.5226156513
2932,106111,44000,Los Angeles,Sylmar,10611144000Sylmar,29999427.1025391,28069.6067571796
2933,106112,44000,Los Angeles,Sylmar,10611244000Sylmar,34795396.7695313,50167.0132089616
2934,106113,44000,Los Angeles,Sylmar,10611344000Sylmar,15535712.0400391,19829.2615872224
2935,106114,44000,Los Angeles,Sylmar,10611444000Sylmar,10908672.7373047,17229.0136916404
2936,106403,44000,Los Angeles,Sylmar,10640344000Sylmar,11907028.03,14303.3330296346
2937,106405,44000,Los Angeles,Sylmar,10640544000Sylmar,12611162.4082031,14491.7517147436
2938,106406,44000,Los Angeles,Sylmar,10640644000Sylmar,21688646.7128906,21137.0776439559
2939,106407,44000,Los Angeles,Sylmar,10640744000Sylmar,2498435.38476563,6355.6719334937
2940,106408,44000,Los Angeles,Sylmar,10640844000Sylmar,2465454.094,6295.67852893719
2941,106510,44000,Los Angeles,Sylmar,10651044000Sylmar,62565437.1601563,37015.1676520059
2942,106520,44000,Los Angeles,Sylmar,10652044000Sylmar,23741461.1982422,19779.2457080248
2943,106603,44000,Los Angeles,Granada Hills,10660344000Granada Hills,110948855.769531,48435.9863338836
2944,106604,44000,Los Angeles,Sylmar,10660444000Sylmar,14248336.5800781,18600.3074516341
2945,106641,44000,Los Angeles,Granada Hills,10664144000Granada Hills,12221127.3300781,19091.7831703143
2946,106642,44000,Los Angeles,Granada Hills,10664244000Granada Hills,16979520.9238281,20368.8403185667
2947,106643,44000,Los Angeles,Granada Hills,10664344000Granada Hills,46711472.4160156,32863.948997842
2948,106645,44000,Los Angeles,Granada Hills,10664544000Granada Hills,27208036.9589844,30206.6780625888
2949,106646,44000,Los Angeles,Granada Hills,10664644000Granada Hills,15888369.4492188,23434.5608932597
2950,106648,44000,Los Angeles,Sylmar,10664844000Sylmar,8537177.57324219,13658.9619039462
2951,106649,44000,Los Angeles,Sylmar,10664944000Sylmar,11958236.6621094,20747.1385345839
2952,107010,44000,Los Angeles,Sylmar,10701044000Sylmar,7370509.70996094,12980.1313822392
2953,107020,44000,Los Angeles,Sylmar,10702044000Sylmar,10684958.0048828,14657.1430466137
2954,108101,44000,Los Angeles,Porter Ranch,10810144000Porter Ranch,12147429.8271484,14665.5346536853
2955,108102,44000,Los Angeles,Porter Ranch,10810244000Porter Ranch,23504317.9335938,18954.727827785
2956,108103,44000,Los Angeles,Porter Ranch,10810344000Porter Ranch,27594440.7480469,36679.3279176729
2957,108104,44000,Los Angeles,Porter Ranch,10810444000Porter Ranch,8898100.56835938,14767.7798808683
2958,108202,44000,Los Angeles,Porter Ranch,10820244000Porter Ranch,62166702.6044922,35934.6163229721
2959,108203,44000,Los Angeles,Porter Ranch,10820344000Porter Ranch,14814850.8242188,16838.3098837511
2960,108204,44000,Los Angeles,Porter Ranch,10820444000Porter Ranch,15419983.0732422,22338.1426783864
2961,109100,44000,Los Angeles,Mission Hills,10910044000Mission Hills,29112126.9570313,26332.5619425142
2962,109200,44000,Los Angeles,Granada Hills,10920044000Granada Hills,10960701.9160156,16021.4937732738
2963,109300,44000,Los Angeles,Granada Hills,10930044000Granada Hills,13271541.4951172,17489.8964158149
2964,109400,44000,Los Angeles,Mission Hills,10940044000Mission Hills,13893170.7763672,17558.7617668644
2965,109601,44000,Los Angeles,Mission Hills,10960144000Mission Hills,24194199.2597656,20078.9853451217
2966,109603,44000,Los Angeles,Mission Hills,10960344000Mission Hills,10751126.0058594,13424.3706743481
2967,109604,44000,Los Angeles,Mission Hills,10960444000Mission Hills,12644911.4443359,14355.8238376204
2968,109700,44000,Los Angeles,Granada Hills,10970044000Granada Hills,17079248.8476563,17939.7370848016
2969,109800,44000,Los Angeles,North Hills,10980044000North Hills,15061745.8955078,16580.1713879502
2970,111100,44000,Los Angeles,Granada Hills,11110044000Granada Hills,11401093.0449219,13565.3086857448
2971,111201,44000,Los Angeles,Granada Hills,11120144000Granada Hills,20587358.9804688,25205.2643526784
2972,111202,44000,Los Angeles,Granada Hills,11120244000Granada Hills,20091187.7939453,20760.0187410246
2973,111204,44000,Los Angeles,Porter Ranch,11120444000Porter Ranch,35638844.1455078,25925.7194472626
2974,111205,44000,Los Angeles,Northridge,11120544000Northridge,12475071.9873047,14721.4819161781
2975,111206,44000,Los Angeles,Porter Ranch,11120644000Porter Ranch,28228426.8076172,24117.8962404964
2976,111302,44000,Los Angeles,Northridge,11130244000Northridge,16712849.8066406,17844.3462
2977,111303,44000,Los Angeles,Granada Hills,11130344000Granada Hills,16832194.0068359,18129.7816051185
2978,111304,44000,Los Angeles,Granada Hills,11130444000Granada Hills,4708248.531,8773.62459546345
2979,111401,44000,Los Angeles,North Hills,11140144000North Hills,9049504.47949219,12357.1110795051
2980,111402,44000,Los Angeles,Granada Hills,11140244000Granada Hills,10452896.6933594,13227.8594525333
2981,113101,44000,Los Angeles,Chatsworth,11310144000Chatsworth,24410269.4560547,21418.7127574744
2982,113102,44000,Los Angeles,Chatsworth,11310244000Chatsworth,39509545.7304688,24889.4439234209
2983,113211,44000,Los Angeles,Chatsworth,11321144000Chatsworth,78918395.9560547,38035.5219120883
2984,113212,44000,Los Angeles,Chatsworth,11321244000Chatsworth,10747243.0644531,14205.0272418108
2985,113213,44000,Los Angeles,Chatsworth,11321344000Chatsworth,14001230.0546875,16854.9308388033
2986,113231,99037,Unincorporated,West Chatsworth,11323199037West Chatsworth,25040453.0683594,24564.1685258126
2987,113231,44000,Los Angeles,West Hills,11323144000West Hills,19531273.7089844,30741.4741777073
2988,113232,44000,Los Angeles,West Hills,11323244000West Hills,22234731.6884766,23603.7291003209
2989,113234,44000,Los Angeles,Canoga Park,11323444000Canoga Park,11009845.9326172,16791.454885694
2990,113235,99037,Unincorporated,Lake Manor,11323599037Lake Manor,15267921.5185547,28914.8470205024
