fid,OBJECTID_1,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER,layer,path,MAX_VOLT_N,MIN_VOLT_N,HIFLD_ID,Owner,voltage_for_fragility,fragility_class,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4,mu_DS1_old,mu_DS2_old,mu_DS3_old,mu_DS4_old,beta_DS1_old,beta_DS2_old,beta_DS3_old,beta_DS4_old,COUNTY_N,CITY_N,id,PGA_Northridge,PGA_SanFernando,PGA_LongBeach,PGA_2pc50
3310,72815,72815,308494,AIRWAY,GLENDALE,CA,91201,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1578327350001,-118.2801855,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1473811200000,IMAGERY/OTHER,1473811200000,6,230,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,308494,LADWP,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,GLENDALE,308494,0.3283553464090226,0.2693120679993693,0.07319813453236558,0.950270312623405
2736,71360,71360,307039,ALAMITOS,LONG BEACH,CA,90803,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.7715039130001,-118.1004734,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Ocean Protection Council http://www.opc.ca.gov/webmaster/ftp/project_pages/OTC/engineering%20study/Chapter_7F_Haynes_Generating_Station.pdf,1474934400000,IMAGERY/OTHER,1474934400000,7,230,66,N,N,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,307039,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LONG BEACH,307039,0.1159578308779658,0.05862591026831649,0.5447443620340605,0.731598107039368
2480,70686,70686,306365,ARCOGEN,CARSON,CA,90745,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.81746381,-118.2434621,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1474934400000,IMAGERY/OTHER,1474934400000,2,230,230,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,230,306365,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,CARSON,306365,0.10369759792614354,0.07606114051385308,0.41319596960967825,0.8440753467856186
1630,68362,68362,304040,ARROYO,LA CA?ADA FLINTRIDGE,CA,91011,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1997068580001,-118.1705521,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,1,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,66,66,304040,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,LA CA ADA FLINTRIDGE,304040,0.2065999654052705,0.24120311020092264,0.057797225874867485,0.9699361983461028
4054,74822,74822,310504,BANDINI,VERNON,CA,90040,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9995041230001,-118.1711273,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,2,66,66,Y,Y,CA-sub-3,C:\2025-2026 Fall\Network science\Project\CA-sub-3.customization|layername=CA-sub-3,66,66,310504,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,VERNON,310504,0.22230336257612657,0.11618220797713864,0.19841818562751823,0.9324518502919401
519,65478,65478,301156,BEVERLY,BEVERLY HILLS,CA,90210,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0731564000001,-118.397476,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,1435190400000,IMAGERY/OTHER,1435190400000,4,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,66,66,301156,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,BEVERLY HILLS,301156,0.3508744899772686,0.13306401635038398,0.11011046586330307,0.9162765381149462
901,66486,66486,302164,BRIGHTON,GARDENA,CA,90249,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9024801100001,-118.3119354,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,2,115,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,115,66,302164,SCE,115,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,GARDENA,302164,0.13634069995088802,0.0934548599208381,0.3204616400731769,0.7890761064657457
2829,71595,71595,307274,CAMERON,LONG BEACH,CA,90810,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.81933869,-118.2171805,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435536000000,IMAGERY/OTHER,1520985600000,1,69,66,N,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,69,66,307274,SCE,69,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,LONG BEACH,307274,0.10208811709931175,0.07491562911226597,0.4453444116222442,0.771375351423848
1442,67862,67862,303540,CARSON,COMPTON,CA,90220,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.8639219950001,-118.2169551,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435536000000,IMAGERY/OTHER,1520985600000,1,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,66,66,303540,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,COMPTON,303540,0.11400940171795496,0.08806287260264593,0.5128767044932363,0.8467202991026698
172,64555,64555,300232,CENTER,NORWALK,CA,90650,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9288847760001,-118.1059118,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433376000000,IMAGERY/OTHER,1433376000000,7,230,66,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,300232,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,NORWALK,300232,0.14045121325705195,0.10730621027012956,0.3276964307404521,0.8389260661316145
