wkt_geom,ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME_x,NAMELSAD,STATEFP,TRACTCE,NAME_y,population
"POLYGON ((-118.202837 34.019657, -118.202829 34.019736, -118.202803 34.019825, -118.202783 34.01987, -118.202383 34.020499, -118.201896 34.021289, -118.201427 34.02205, -118.200945 34.022833, -118.200813 34.023045, -118.200684 34.023213, -118.200638 34.023273, -118.200605 34.02331, -118.200563 34.023376, -118.198174 34.02234, -118.196531 34.021628, -118.195289 34.021091, -118.195204 34.021057, -118.195136 34.021029, -118.194667 34.020859, -118.19451 34.020802, -118.194198 34.020705, -118.194037 34.020659, -118.193711 34.020573, -118.193383 34.020497, -118.193052 34.02043, -118.192717 34.020373, -118.192264 34.020311, -118.192263 34.020212, -118.192262 34.020116, -118.192259 34.019778, -118.192252 34.018867, -118.192231 34.016546, -118.192228 34.016018, -118.192219 34.01508, -118.191436 34.015084, -118.191424 34.013749, -118.191418 34.013116, -118.191416 34.012859, -118.192125 34.012921, -118.192199 34.01293, -118.192281 34.012933, -118.194637 34.013137, -118.195695 34.013229, -118.197672 34.0134, -118.200461 34.013639, -118.200552 34.013647, -118.200656 34.013656, -118.200704 34.013661, -118.200939 34.013684, -118.201081 34.0137, -118.201192 34.013713, -118.201331 34.01373, -118.201459 34.013745, -118.201538 34.013755, -118.201606 34.013747, -118.201671 34.013773, -118.201777 34.013788, -118.201874 34.013795, -118.201941 34.013808, -118.20207 34.013831, -118.202139 34.013844, -118.202213 34.013857, -118.202276 34.013869, -118.202329 34.013878, -118.202419 34.013895, -118.202466 34.013903, -118.20251 34.013911, -118.202656 34.013938, -118.202734 34.013952, -118.202822 34.013965, -118.202812 34.014008, -118.202748 34.014302, -118.202752 34.015049, -118.202768 34.015851, -118.202782 34.016557, -118.202797 34.017291, -118.202812 34.018011, -118.202828 34.018786, -118.202837 34.019574, -118.202837 34.019657))",909972,0,037,S,06037204920,1400000US06037204920,+34.0175004,-118.1974975,G5020,2049.20,Census Tract 2049.20,06,204920,Census Tract 2049.20; Los Angeles County; California,2459
"POLYGON ((-118.219635 34.026285, -118.219449 34.028086, -118.218491 34.027672, -118.21829 34.027585, -118.218121 34.027512, -118.217645 34.027307, -118.21752 34.027254, -118.216723 34.026909, -118.215771 34.026498, -118.214839 34.026084, -118.213937 34.025683, -118.212992 34.025263, -118.212108 34.02487, -118.211214 34.02447, -118.210313 34.024066, -118.209413 34.023663, -118.208517 34.023262, -118.208627 34.023083, -118.208735 34.022907, -118.209032 34.022424, -118.209063 34.022373, -118.209176 34.022195, -118.209287 34.022019, -118.209486 34.021705, -118.209524 34.021645, -118.209994 34.020903, -118.211778 34.021714, -118.211498 34.022163, -118.212068 34.022409, -118.212262 34.022482, -118.212809 34.022651, -118.21334 34.02282, -118.21365 34.022925, -118.214263 34.02315, -118.214559 34.023266, -118.215117 34.023499, -118.215149 34.023513, -118.215737 34.023781, -118.216313 34.024066, -118.216648 34.024242, -118.216846 34.024363, -118.217022 34.02449, -118.217667 34.024669, -118.219711 34.025552, -118.219635 34.026285))",286962,0,037,S,06037205110,1400000US06037205110,+34.0245059,-118.2142985,G5020,2051.10,Census Tract 2051.10,06,205110,Census Tract 2051.10; Los Angeles County; California,3690
"POLYGON ((-118.220227 34.020564, -118.220183 34.020992, -118.220073 34.022052, -118.220063 34.022147, -118.219944 34.023303, -118.219843 34.024281, -118.219711 34.025552, -118.217667 34.024669, -118.217022 34.02449, -118.216846 34.024363, -118.216648 34.024242, -118.216313 34.024066, -118.215737 34.023781, -118.215149 34.023513, -118.215117 34.023499, -118.214559 34.023266, -118.214263 34.02315, -118.21365 34.022925, -118.21334 34.02282, -118.212809 34.022651, -118.212262 34.022482, -118.212068 34.022409, -118.211498 34.022163, -118.211778 34.021714, -118.209994 34.020903, -118.209524 34.021645, -118.209486 34.021705, -118.209287 34.022019, -118.209176 34.022195, -118.209063 34.022373, -118.209032 34.022424, -118.208735 34.022907, -118.208627 34.023083, -118.208517 34.023262, -118.208449 34.023231, -118.208358 34.023189, -118.208228 34.023129, -118.208049 34.023046, -118.208005 34.023026, -118.207492 34.02279, -118.207436 34.022764, -118.20696 34.022545, -118.20483 34.021563, -118.202383 34.020499, -118.202783 34.01987, -118.202803 34.019825, -118.202829 34.019736, -118.202837 34.019657, -118.202837 34.019574, -118.202828 34.018786, -118.202812 34.018011, -118.202797 34.017291, -118.202782 34.016557, -118.202768 34.015851, -118.202752 34.015049, -118.202748 34.014302, -118.202812 34.014008, -118.202822 34.013965, -118.202962 34.013993, -118.203169 34.014031, -118.203224 34.014041, -118.203474 34.014086, -118.203552 34.0141, -118.203593 34.014126, -118.203683 34.014147, -118.203837 34.014183, -118.203921 34.014204, -118.203958 34.014213, -118.203993 34.014222, -118.204123 34.014255, -118.204301 34.014302, -118.204361 34.014318, -118.204444 34.01434, -118.20452 34.014361, -118.204745 34.014425, -118.20483 34.01445, -118.204887 34.014467, -118.20506 34.014519, -118.205058 34.014374, -118.205044 34.013589, -118.205029 34.012825, -118.205028 34.012754, -118.205026 34.012626, -118.205173 34.012685, -118.205214 34.012701, -118.205292 34.012732, -118.205339 34.01275, -118.205362 34.01276, -118.205502 34.012816, -118.205517 34.012816, -118.205828 34.012819, -118.206248 34.012803, -118.206995 34.012779, -118.207041 34.012777, -118.207199 34.013085, -118.207308 34.013217, -118.207333 34.013297, -118.207418 34.013514, -118.207463 34.013627, -118.207578 34.013848, -118.207628 34.01393, -118.207779 34.014177, -118.207941 34.014502, -118.207993 34.014607, -118.208071 34.014794, -118.208117 34.01491, -118.208122 34.014934, -118.208166 34.015006, -118.20828 34.015009, -118.210396 34.014992, -118.212639 34.014989, -118.212701 34.014983, -118.212701 34.014965, -118.212698 34.014295, -118.214736 34.01498, -118.215077 34.014978, -118.215417 34.014977, -118.215719 34.015081, -118.216261 34.015268, -118.216593 34.015389, -118.217282 34.015636, -118.217207 34.01532, -118.217158 34.01514, -118.217155 34.014969, -118.217204 34.014966, -118.218064 34.014965, -118.218959 34.014961, -118.219926 34.014956, -118.219932 34.0151, -118.219968 34.015165, -118.219946 34.015256, -118.21999 34.016275, -118.220005 34.01663, -118.220034 34.017284, -118.220107 34.018416, -118.220166 34.019333, -118.220238 34.020462, -118.220227 34.020564))",1466242,0,037,S,06037205120,1400000US06037205120,+34.0187542,-118.2117951,G5020,2051.20,Census Tract 2051.20,06,205120,Census Tract 2051.20; Los Angeles County; California,3409
"POLYGON ((-118.239236 34.067257, -118.237999 34.067877, -118.237777 34.067999, -118.2376 34.068107, -118.237199 34.068363, -118.237063 34.06845, -118.237024 34.068566, -118.236999 34.068691, -118.236835 34.068863, -118.236678 34.069034, -118.236531 34.069212, -118.236395 34.069396, -118.236272 34.069585, -118.236165 34.069782, -118.236062 34.069977, -118.235912 34.070304, -118.235422 34.071364, -118.235042 34.072184, -118.234897 34.072468, -118.23476 34.072697, -118.234615 34.07291, -118.234511 34.073048, -118.234344 34.07325, -118.234165 34.073443, -118.233422 34.074178, -118.233558 34.074285, -118.233774 34.07443, -118.234138 34.074937, -118.234379 34.075272, -118.2344 34.075292, -118.234427 34.075305, -118.234908 34.075448, -118.234944 34.075465, -118.234975 34.075488, -118.235007 34.075528, -118.235021 34.075569, -118.235019 34.075731, -118.235014 34.076076, -118.235035 34.076119, -118.235073 34.07615, -118.235105 34.076162, -118.235887 34.076371, -118.235868 34.077495, -118.235863 34.077796, -118.235862 34.077864, -118.235847 34.078776, -118.235839 34.079291, -118.235695 34.079229, -118.235451 34.079123, -118.235422 34.079111, -118.234018 34.078507, -118.233154 34.078316, -118.233089 34.078298, -118.233027 34.078274, -118.232977 34.07825, -118.232894 34.078197, -118.232103 34.077694, -118.232061 34.077667, -118.232032 34.077655, -118.231386 34.076837, -118.231198 34.076598, -118.231112 34.076522, -118.231071 34.076485, -118.230782 34.076198, -118.230606 34.07591, -118.229106 34.07401, -118.229053 34.073734, -118.229034 34.073478, -118.228937 34.073222, -118.228819 34.073092, -118.229265 34.072401, -118.229524 34.072307, -118.229127 34.071333, -118.227384 34.071708, -118.227073 34.071775, -118.226921 34.071788, -118.226787 34.0718, -118.226676 34.071809, -118.226052 34.071864, -118.225557 34.071907, -118.225452 34.071916, -118.225157 34.071942, -118.225003 34.071956, -118.224793 34.071974, -118.224531 34.070723, -118.224521 34.068963, -118.224516 34.068101, -118.224513 34.067602, -118.224852 34.066799, -118.22519 34.065995, -118.226706 34.062411, -118.226743 34.062399, -118.226916 34.062341, -118.227329 34.06231, -118.228408 34.062085, -118.230206 34.062011, -118.230699 34.061915, -118.231943 34.061981, -118.231932 34.06186, -118.231943 34.06182, -118.231963 34.061786, -118.23199 34.061759, -118.232023 34.061736, -118.23206 34.06172, -118.232084 34.061714, -118.233123 34.061608, -118.233409 34.06163, -118.234083 34.061567, -118.234195 34.061552, -118.23436 34.061524, -118.23452 34.06149, -118.234847 34.061407, -118.235038 34.061363, -118.235235 34.061302, -118.234609 34.062063, -118.234097 34.062685, -118.234188 34.062792, -118.234929 34.063137, -118.23573 34.063509, -118.235955 34.063613, -118.236148 34.063703, -118.236672 34.063827, -118.237465 34.064015, -118.237184 34.064572, -118.237173 34.064594, -118.237159 34.064621, -118.236696 34.065538, -118.236579 34.065707, -118.236552 34.065746, -118.236368 34.066012, -118.23612 34.06637, -118.235854 34.066754, -118.237226 34.067252, -118.237274 34.06727, -118.237317 34.067293, -118.237441 34.067359, -118.237606 34.067446, -118.237653 34.067475, -118.237706 34.067491, -118.237775 34.067491, -118.237873 34.067466, -118.23878 34.067128, -118.238938 34.067173, -118.238985 34.067186, -118.239236 34.067257))",1418137,20551,037,S,06037206010,1400000US06037206010,+34.0682177,-118.2320356,G5020,2060.10,Census Tract 2060.10,06,206010,Census Tract 2060.10; Los Angeles County; California,3490
"POLYGON ((-118.237866 34.054271, -118.237839 34.054478, -118.237834 34.054517, -118.237779 34.054775, -118.237605 34.055597, -118.237478 34.056195, -118.237404 34.056544, -118.237074 34.05809, -118.236921 34.058802, -118.236783 34.059448, -118.235805 34.060609, -118.235235 34.061302, -118.235038 34.061363, -118.234847 34.061407, -118.23452 34.06149, -118.23436 34.061524, -118.234195 34.061552, -118.234083 34.061567, -118.233409 34.06163, -118.233123 34.061608, -118.232084 34.061714, -118.23206 34.06172, -118.232023 34.061736, -118.23199 34.061759, -118.231963 34.061786, -118.231943 34.06182, -118.231932 34.06186, -118.231943 34.061981, -118.230699 34.061915, -118.230206 34.062011, -118.228408 34.062085, -118.227329 34.06231, -118.226916 34.062341, -118.226743 34.062399, -118.226706 34.062411, -118.226742 34.062267, -118.226747 34.062246, -118.226904 34.061622, -118.226241 34.055929, -118.227073 34.054928, -118.227671 34.054127, -118.228257 34.053383, -118.228313 34.053312, -118.228357 34.053256, -118.228396 34.053195, -118.22844 34.053127, -118.228449 34.053112, -118.228533 34.052981, -118.22879 34.053019, -118.228948 34.053042, -118.229138 34.05307, -118.229275 34.05309, -118.230121 34.053214, -118.230215 34.053227, -118.231388 34.053384, -118.231827 34.053442, -118.232116 34.053484, -118.232312 34.053507, -118.232455 34.05352, -118.232635 34.053531, -118.232921 34.053559, -118.233006 34.053568, -118.233213 34.053596, -118.233756 34.053607, -118.2345 34.053663, -118.234692 34.053673, -118.23486 34.053675, -118.235031 34.053687, -118.235233 34.053692, -118.235926 34.053669, -118.236027 34.05367, -118.236082 34.053668, -118.236305 34.053674, -118.236526 34.053693, -118.23669 34.053716, -118.236926 34.053755, -118.236964 34.053761, -118.237124 34.053802, -118.237281 34.053851, -118.237436 34.053907, -118.237553 34.053954, -118.237587 34.053968, -118.237615 34.053981, -118.237686 34.054011, -118.237887 34.054108, -118.237866 34.054271))",843243,30290,037,S,06037206020,1400000US06037206020,+34.0571230,-118.2311021,G5020,2060.20,Census Tract 2060.20,06,206020,Census Tract 2060.20; Los Angeles County; California,8179
"POLYGON ((-118.228688 34.041549, -118.228391 34.041555, -118.228166 34.04156, -118.227419 34.041574, -118.227017 34.041693, -118.225406 34.04217, -118.223686 34.04268, -118.223114 34.042849, -118.222919 34.042907, -118.222731 34.042916, -118.222147 34.042942, -118.222087 34.042945, -118.221731 34.04296, -118.221467 34.042972, -118.221169 34.042985, -118.221143 34.042986, -118.221013 34.042992, -118.220991 34.042993, -118.22073 34.043004, -118.219627 34.043053, -118.218487 34.043104, -118.21756 34.043145, -118.217537 34.043146, -118.217442 34.04315, -118.217247 34.043063, -118.218829 34.040774, -118.219286 34.040029, -118.219392 34.039823, -118.21951 34.039561, -118.219579 34.039383, -118.219641 34.039203, -118.219792 34.038716, -118.219768 34.03865, -118.219719 34.038567, -118.219637 34.03844, -118.219577 34.038317, -118.21937 34.037844, -118.218934 34.036839, -118.218897 34.036714, -118.218877 34.036596, -118.218857 34.036254, -118.21894 34.035775, -118.219243 34.034671, -118.219586 34.033421, -118.219652 34.03318, -118.219694 34.033026, -118.219716 34.032947, -118.219762 34.032778, -118.219774 34.032733, -118.219827 34.032538, -118.219844 34.032478, -118.219872 34.032376, -118.219886 34.032324, -118.219893 34.0323, -118.21994 34.032066, -118.219962 34.031958, -118.219987 34.031835, -118.219991 34.031817, -118.219996 34.03179, -118.22001 34.031721, -118.220018 34.031684, -118.220042 34.031564, -118.220143 34.031062, -118.220336 34.030106, -118.220402 34.029777, -118.220472 34.029431, -118.220095 34.029434, -118.219661 34.029451, -118.218803 34.029514, -118.218601 34.029527, -118.218639 34.029466, -118.218775 34.029206, -118.218847 34.029069, -118.219277 34.02825, -118.219449 34.028086, -118.219635 34.026285, -118.219711 34.025552, -118.219843 34.024281, -118.219944 34.023303, -118.220063 34.022147, -118.220073 34.022052, -118.220183 34.020992, -118.220227 34.020564, -118.220238 34.020462, -118.220166 34.019333, -118.220107 34.018416, -118.220034 34.017284, -118.220005 34.01663, -118.21999 34.016275, -118.219946 34.015256, -118.219968 34.015165, -118.219932 34.0151, -118.219926 34.014956, -118.222087 34.014946, -118.222712 34.014943, -118.222797 34.014943, -118.223046 34.015744, -118.223133 34.016146, -118.2234 34.01738, -118.223616 34.018378, -118.223625 34.018421, -118.224239 34.021261, -118.225223 34.025576, -118.225654 34.027465, -118.22596 34.028834, -118.225991 34.028969, -118.22602 34.029102, -118.226051 34.029242, -118.22608 34.029379, -118.226109 34.029514, -118.22612 34.029563, -118.227005 34.033652, -118.227233 34.03455, -118.22759 34.03596, -118.228155 34.038532, -118.228818 34.041547, -118.228688 34.041549))",1643425,141255,037,S,06037206050,1400000US06037206050,+34.0325743,-118.2243204,G5020,2060.50,Census Tract 2060.50,06,206050,Census Tract 2060.50; Los Angeles County; California,2290
"POLYGON ((-118.50233 34.257893, -118.502322 34.258621, -118.502319 34.258907, -118.502298 34.261147, -118.502294 34.26158, -118.502288 34.262356, -118.502278 34.263457, -118.502278 34.263565, -118.502267 34.264774, -118.49871 34.264754, -118.497897 34.264744, -118.493527 34.264717, -118.490309 34.264696, -118.489184 34.264689, -118.48842 34.264684, -118.488429 34.264655, -118.488528 34.264193, -118.48862 34.263682, -118.488742 34.263251, -118.488902 34.262393, -118.489318 34.260518, -118.489463 34.25983, -118.489696 34.258723, -118.48997 34.257529, -118.49 34.257438, -118.491344 34.257447, -118.493595 34.257461, -118.496839 34.257482, -118.497965 34.257489, -118.498696 34.257498, -118.50081 34.257508, -118.502335 34.257516, -118.50233 34.257893))",971230,0,037,S,06037111402,1400000US06037111402,+34.2611726,-118.4957411,G5020,1114.02,Census Tract 1114.02,06,111402,Census Tract 1114.02; Los Angeles County; California,5998
"POLYGON ((-118.523391 34.264905, -118.521562 34.264894, -118.519742 34.264882, -118.517557 34.264869, -118.515372 34.264856, -118.513188 34.264842, -118.511006 34.264824, -118.508821 34.264811, -118.506637 34.264799, -118.505539 34.264793, -118.504452 34.264787, -118.502267 34.264774, -118.502278 34.263565, -118.502278 34.263457, -118.502288 34.262356, -118.502294 34.26158, -118.502298 34.261147, -118.502319 34.258907, -118.502322 34.258621, -118.50233 34.257893, -118.502335 34.257516, -118.506704 34.257544, -118.507629 34.25755, -118.508874 34.257557, -118.509828 34.257563, -118.511072 34.257571, -118.513257 34.257585, -118.51435 34.257592, -118.515441 34.257599, -118.51981 34.257626, -118.521207 34.257634, -118.521467 34.257626, -118.521812 34.257598, -118.522154 34.25755, -118.522455 34.257496, -118.523323 34.257339, -118.523324 34.257491, -118.52333 34.258094, -118.52333 34.258161, -118.523339 34.259078, -118.523357 34.261278, -118.52337 34.262708, -118.52338 34.263696, -118.523391 34.264905))",1563907,0,037,S,06037111303,1400000US06037111303,+34.2612078,-118.5128459,G5020,1113.03,Census Tract 1113.03,06,111303,Census Tract 1113.03; Los Angeles County; California,4567
"POLYGON ((-118.424481 34.269631, -118.423444 34.270388, -118.422425 34.271131, -118.421405 34.271875, -118.420385 34.272619, -118.419365 34.273362, -118.418835 34.273749, -118.418122 34.274269, -118.417415 34.274784, -118.415697 34.276037, -118.414838 34.276664, -118.414236 34.276096, -118.413292 34.275203, -118.411686 34.273686, -118.412544 34.27306, -118.413328 34.272488, -118.414149 34.271889, -118.414972 34.27129, -118.416213 34.270384, -118.417235 34.269639, -118.418254 34.268895, -118.419272 34.268152, -118.420292 34.267409, -118.421329 34.266652, -118.422159 34.267437, -118.422945 34.26818, -118.423732 34.268923, -118.424481 34.269631))",519857,0,037,S,06037104321,1400000US06037104321,+34.2716582,-118.4180839,G5020,1043.21,Census Tract 1043.21,06,104321,Census Tract 1043.21; Los Angeles County; California,2926
"POLYGON ((-118.428761 34.272363, -118.428538 34.272526, -118.427939 34.272962, -118.427061 34.273603, -118.426629 34.273923, -118.426203 34.274251, -118.425784 34.274584, -118.424979 34.275252, -118.423438 34.276537, -118.42216 34.277599, -118.421881 34.277822, -118.421746 34.27793, -118.421325 34.278255, -118.420896 34.278575, -118.420772 34.278666, -118.418623 34.280239, -118.418564 34.280183, -118.417991 34.279642, -118.417298 34.278988, -118.416717 34.278438, -118.416415 34.278153, -118.416084 34.277841, -118.415471 34.277262, -118.414838 34.276664, -118.415697 34.276037, -118.417415 34.274784, -118.418122 34.274269, -118.418835 34.273749, -118.419365 34.273362, -118.420385 34.272619, -118.421405 34.271875, -118.422425 34.271131, -118.423444 34.270388, -118.424481 34.269631, -118.423732 34.268923, -118.422945 34.26818, -118.422159 34.267437, -118.421329 34.266652, -118.421901 34.266235, -118.422112 34.266081, -118.423048 34.266965, -118.425265 34.26906, -118.426196 34.26994, -118.426838 34.270547, -118.427555 34.271224, -118.427625 34.27129, -118.428022 34.271664, -118.428418 34.272039, -118.428698 34.272303, -118.428761 34.272363))",692312,0,037,S,06037104322,1400000US06037104322,+34.2742393,-118.4218751,G5020,1043.22,Census Tract 1043.22,06,104322,Census Tract 1043.22; Los Angeles County; California,1856
