ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME_x,NAMELSAD,STATEFP,TRACTCE,NAME_y,population,centroid_lon,centroid_lat
909972,0,037,S,06037204920,1400000US06037204920,+34.0175004,-118.1974975,G5020,2049.20,Census Tract 2049.20,06,204920,Census Tract 2049.20; Los Angeles County; California,2459,-118.19749758309933,34.0175004210624
286962,0,037,S,06037205110,1400000US06037205110,+34.0245059,-118.2142985,G5020,2051.10,Census Tract 2051.10,06,205110,Census Tract 2051.10; Los Angeles County; California,3690,-118.2142985867593,34.02450588220238
1466242,0,037,S,06037205120,1400000US06037205120,+34.0187542,-118.2117951,G5020,2051.20,Census Tract 2051.20,06,205120,Census Tract 2051.20; Los Angeles County; California,3409,-118.21179521532478,34.018754129863886
1418137,20551,037,S,06037206010,1400000US06037206010,+34.0682177,-118.2320356,G5020,2060.10,Census Tract 2060.10,06,206010,Census Tract 2060.10; Los Angeles County; California,3490,-118.23122232993472,34.068821916211924
843243,30290,037,S,06037206020,1400000US06037206020,+34.0571230,-118.2311021,G5020,2060.20,Census Tract 2060.20,06,206020,Census Tract 2060.20; Los Angeles County; California,8179,-118.23173873883196,34.057546103687464
1643425,141255,037,S,06037206050,1400000US06037206050,+34.0325743,-118.2243204,G5020,2060.50,Census Tract 2060.50,06,206050,Census Tract 2060.50; Los Angeles County; California,2290,-118.22288648988389,34.03151163814206
971230,0,037,S,06037111402,1400000US06037111402,+34.2611726,-118.4957411,G5020,1114.02,Census Tract 1114.02,06,111402,Census Tract 1114.02; Los Angeles County; California,5998,-118.49574104989436,34.26117261150656
1563907,0,037,S,06037111303,1400000US06037111303,+34.2612078,-118.5128459,G5020,1113.03,Census Tract 1113.03,06,111303,Census Tract 1113.03; Los Angeles County; California,4567,-118.51284589970822,34.2612077314566
519857,0,037,S,06037104321,1400000US06037104321,+34.2716582,-118.4180839,G5020,1043.21,Census Tract 1043.21,06,104321,Census Tract 1043.21; Los Angeles County; California,2926,-118.41808377475958,34.271658181182225
692312,0,037,S,06037104322,1400000US06037104322,+34.2742393,-118.4218751,G5020,1043.22,Census Tract 1043.22,06,104322,Census Tract 1043.22; Los Angeles County; California,1856,-118.4218749773543,34.274239401787355
1372380,0,037,S,06037108203,1400000US06037108203,+34.2930831,-118.5616551,G5020,1082.03,Census Tract 1082.03,06,108203,Census Tract 1082.03; Los Angeles County; California,3157,-118.56165496505277,34.29308310656511
244763,0,037,S,06037231901,1400000US06037231901,+33.9983026,-118.2761377,G5020,2319.01,Census Tract 2319.01,06,231901,Census Tract 2319.01; Los Angeles County; California,3440,-118.27613771751773,33.99830259470473
543260,0,037,S,06037232402,1400000US06037232402,+33.9985350,-118.3135729,G5020,2324.02,Census Tract 2324.02,06,232402,Census Tract 2324.02; Los Angeles County; California,3098,-118.31357297188819,33.99853506238595
