OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106010042,10041,JOHN GEORGE PSYCHIATRIC HOSPITAL,140000046,General Acute Care Hospital,2060 FAIRMONT DRIVE,SAN LEANDRO,94578,01,Alameda,None,80,Open,2022-11-01,Hospital,General Acute Care Hospital,37.71055270,-122.12025630
106010735,11210,ALAMEDA HOSPITAL,140000002,General Acute Care Hospital,2070 CLINTON AVE,ALAMEDA,94501,01,Alameda,Emergency - Basic,101,Open,1946-01-01,Hospital,General Acute Care Hospital,37.76267980,-122.25410620
106010739,11214,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,General Acute Care Hospital,2450 ASHBY AVENUE,BERKELEY,94705,01,Alameda,Emergency - Basic,339,Open,1946-01-02,Hospital,General Acute Care Hospital,37.85562790,-122.25750140
106010776,11242,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,General Acute Care Hospital,747 52ND STREET,OAKLAND,94609,01,Alameda,Emergency - Basic,163,Open,1946-01-01,Hospital,General Acute Care Hospital,37.83693790,-122.26723060
106010811,11268,FAIRMONT HOSPITAL,140000046,General Acute Care Hospital,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,01,Alameda,None,109,Open,1953-07-01,Hospital,General Acute Care Hospital,37.70816790,-122.11982280
106010844,11285,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,General Acute Care Hospital,2001 DWIGHT WAY,BERKELEY,94704,01,Alameda,None,64,Open,1946-01-01,Hospital,General Acute Care Hospital,37.86407240,-122.26871190
106010846,11288,HIGHLAND HOSPITAL,140000046,General Acute Care Hospital,1411 EAST 31ST STREET,OAKLAND,94602,01,Alameda,Emergency - Basic,169,Open,1953-07-01,Hospital,General Acute Care Hospital,37.79905960,-122.23250630
106010887,11321,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,General Acute Care Hospital,2800 BENEDICT DRIVE,SAN LEANDRO,94577,01,Alameda,None,99,Open,1962-11-13,Hospital,General Acute Care Hospital,37.71605780,-122.13047090
106010937,11322,ALTA BATES SUMMIT MEDICAL CENTER,140000284,General Acute Care Hospital,350 HAWTHORNE AVENUE,OAKLAND,94609,01,Alameda,Emergency - Basic,309,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82117500,-122.26304000
106010967,11344,ST. ROSE HOSPITAL,140000107,General Acute Care Hospital,27200 CALAROGA AVENUE,HAYWARD,94545,01,Alameda,Emergency - Basic,155,Open,1962-10-10,Hospital,General Acute Care Hospital,37.63307250,-122.08850760
106010983,11363,STANFORD HEALTH CARE TRI-VALLEY,140000114,General Acute Care Hospital,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,01,Alameda,None,75,Open,1969-10-19,Hospital,General Acute Care Hospital,37.67735300,-121.78195860
106010987,11366,WASHINGTON HOSPITAL - FREMONT,140000116,General Acute Care Hospital,2000 MOWRY AVENUE,FREMONT,94538,01,Alameda,Emergency - Basic,415,Open,1958-11-19,Hospital,General Acute Care Hospital,37.55727360,-121.97795350
106013619,11256,SAN LEANDRO HOSPITAL,140000046,General Acute Care Hospital,13855 EAST 14TH STREET,SAN LEANDRO,94578,01,Alameda,Emergency - Basic,91,Open,2019-08-19,Hospital,General Acute Care Hospital,37.71226600,-122.14355780
106013626,11338,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,General Acute Care Hospital,3100 SUMMIT STREET,OAKLAND,94609,01,Alameda,None,,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82015070,-122.26394660
106013687,,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Chemical Dep. Recovery Hospital,3012 SUMMIT STREET,OAKLAND,94609,01,Alameda,Not Applicable,24,Open,1983-10-12,Hospital,Chemical Dep. Recovery Hospital,37.81948410,-122.26416520
106014034,16227,FREMONT HOSPITAL,140000347,Acute Psychiatric Hospital,39001 SUNDALE DRIVE,FREMONT,94538,01,Alameda,Not Applicable,148,Open,1990-02-16,Hospital,Acute Psychiatric Hospital,37.54661890,-121.97966200
106014050,16632,STANFORD HEALTH CARE TRI-VALLEY,140000114,General Acute Care Hospital,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,01,Alameda,Emergency - Basic,167,Open,1991-12-09,Hospital,General Acute Care Hospital,37.69339460,-121.88034170
106014132,14509,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,General Acute Care Hospital,39400 PASEO PADRE PARKWAY,FREMONT,94538,01,Alameda,Emergency - Basic,100,Open,1996-12-01,Hospital,General Acute Care Hospital,37.55216170,-121.97548910
106014207,,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,M02016036,Psychiatric Health Facility,2633 EAST 27TH STREET,OAKLAND,94601,01,Alameda,Not Applicable,26,Open,2005-08-16,Hospital,Psychiatric Health Facility,37.79057590,-122.22208990
106014226,,TELECARE WILLOW ROCK CENTER,M02016039,Psychiatric Health Facility,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,01,Alameda,Not Applicable,16,Open,2007-07-02,Hospital,Psychiatric Health Facility,37.70931900,-122.11849170
106014233,18180,EDEN MEDICAL CENTER,140000030,General Acute Care Hospital,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,01,Alameda,Emergency - Basic,130,Open,2012-11-01,Hospital,General Acute Care Hospital,37.69825720,-122.09014550
106014326,18206,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,140000052,General Acute Care Hospital,275 W. MACARTHUR BLVD.,OAKLAND,94611,01,Alameda,Emergency - Basic,315,Open,2014-07-01,Hospital,General Acute Care Hospital,37.82374320,-122.25823700
106014337,18186,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,550002678,General Acute Care Hospital,2500 MERCED STREET,SAN LEANDRO,94577,01,Alameda,Emergency - Basic,216,Open,2014-06-03,Hospital,General Acute Care Hospital,37.70684400,-122.16427170
106034002,17490,SUTTER AMADOR HOSPITAL,030000008,General Acute Care Hospital,200 MISSION BLVD,JACKSON,95642,03,Amador,Emergency - Basic,52,Open,2000-04-10,Hospital,General Acute Care Hospital,38.35048260,-120.76446500
106040802,10006,ORCHARD HOSPITAL,230000007,General Acute Care Hospital,240 SPRUCE STREET,GRIDLEY,95948,04,Butte,Emergency - Standby,24,Open,1949-05-24,Hospital,General Acute Care Hospital,39.36755410,-121.68946930
106040937,10019,OROVILLE HOSPITAL,230000022,General Acute Care Hospital,2767 OLIVE HIGHWAY,OROVILLE,95966,04,Butte,Emergency - Basic,133,Open,1962-01-01,Hospital,General Acute Care Hospital,39.50616930,-121.54119120
106040962,10013,ENLOE HEALTH,230000027,General Acute Care Hospital,1531 ESPLANADE,CHICO,95926,04,Butte,Emergency - Basic,268,Open,1946-03-29,Hospital,General Acute Care Hospital,39.74258670,-121.84972700
106044006,,BUTTE COUNTY MENTAL HEALTH SERVICES,M01016001,Psychiatric Health Facility,592 RIO LINDO AVENUE,CHICO,95926,04,Butte,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,39.75455520,-121.84749280
106044011,16464,ENLOE REHABILITATION CENTER,230000027,General Acute Care Hospital,340 WEST EAST AVENUE,CHICO,95926,04,Butte,None,40,Open,1991-05-14,Hospital,General Acute Care Hospital,39.75415870,-121.86755220
106050932,10029,MARK TWAIN MEDICAL CENTER,030000058,General Acute Care Hospital,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,05,Calaveras,Emergency - Basic,25,Open,1951-08-21,Hospital,General Acute Care Hospital,38.19068960,-120.67019030
106060870,10032,COLUSA MEDICAL CENTER,230000149,General Acute Care Hospital,199 E WEBSTER STREET,COLUSA,95932,06,Colusa,Emergency - Standby,48,Open,1953-07-01,Hospital,General Acute Care Hospital,39.20636820,-122.00171680
106070924,10049,CONTRA COSTA REGIONAL MEDICAL CENTER,140000090,General Acute Care Hospital,2500 ALHAMBRA AVENUE,MARTINEZ,94553,07,Contra Costa,Emergency - Basic,167,Open,1953-07-02,Hospital,General Acute Care Hospital,38.00608920,-122.13277780
106070934,10052,SUTTER DELTA MEDICAL CENTER,140000258,General Acute Care Hospital,3901 LONE TREE WAY,ANTIOCH,94509,07,Contra Costa,Emergency - Basic,141,Open,1967-02-02,Hospital,General Acute Care Hospital,37.98275930,-121.80296560
106070988,10081,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,140000265,General Acute Care Hospital,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,07,Contra Costa,Emergency - Basic,503,Open,1965-06-15,Hospital,General Acute Care Hospital,37.91287690,-122.04094980
106070990,10072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,140000290,General Acute Care Hospital,1425 SOUTH MAIN STREET,WALNUT CREEK,94596,07,Contra Costa,Emergency - Basic,249,Open,1953-09-11,Hospital,General Acute Care Hospital,37.89150650,-122.05801370
106071018,10048,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,140000128,General Acute Care Hospital,2540 EAST STREET,CONCORD,94520,07,Contra Costa,Emergency - Basic,276,Open,1946-01-01,Hospital,General Acute Care Hospital,37.98517260,-122.03366320
