u,v,length_km
300601,300704,5.946805624036345
300601,309722,21.911697710026342
300601,301638,4.766714914269555
300601,309284,5.20665861138543
300601,301637,24.949076013519246
300601,304137,4.969781634255242
300601,306623,17.595070424367815
300601,308581,8.78815212004438
300601,310179,5.72898897528185
300601,301100,23.818175302243493
300601,304073,31.299710092721796
300601,304450,10.907177066699953
300601,306012,40.07696032507863
300601,308269,35.54437355817665
300601,309042,38.579771216353386
300601,309553,23.666610756785342
300589,300704,54.923326708875024
300704,301332,51.28059075385854
300704,301636,76.63664711281058
300704,303776,52.586875736356355
300704,303858,51.50160758651104
300704,306691,83.94370320800364
300704,309722,26.426816692772626
300704,310458,73.36878858447322
300704,301638,9.28183389701584
300704,309284,9.721777594131714
300704,301637,29.464194996265544
300704,304137,9.48490061700153
300704,306623,22.1101894071141
300704,308581,7.35375207117779
300704,310179,5.036400304530878
300704,301100,28.333294284989776
300704,301194,50.43037049436707
300704,301214,82.6057356147414
300704,303265,103.55395631306324
300704,303487,68.76595140682497
300704,304073,34.452042022714735
300704,304217,68.58242760136135
300704,304450,12.28209580430384
300704,306152,82.16771407534652
300704,306489,83.14092253202112
300704,306768,61.95167101013849
300704,308269,37.04603232029759
300704,309042,40.99964310980393
300704,309553,28.181729739531622
300704,309569,72.54533797768352
300704,310199,83.69773047977084
300704,310442,64.88195668868921
300704,310527,44.20578780930665
300429,300704,62.49247808404086
300704,307693,79.68399980757482
301638,309722,17.65898484739959
309284,309722,18.098928544515466
304137,309722,17.810826573485866
306623,309722,14.04221429134813
308581,309722,29.26816318878066
301100,309722,2.015649637073268
304073,309722,41.66434980893137
306012,309722,50.44160004128819
308269,309722,45.909013274386226
309042,309722,48.944410932562946
301638,309284,0.9448612239539408
301637,301638,20.696363150892495
301638,304137,0.21717238691541366
301638,306623,13.333273036936328
301638,308581,12.12318039302388
301100,301638,19.56546243961676
301638,304073,27.03791270529031
301638,306012,35.81516293764713
301638,308269,31.282576170745166
301638,309042,34.3179738289219
301638,309553,19.41389789415859
301637,309284,21.13630684800837
304137,309284,1.147927943939629
306623,309284,13.773216734052204
308581,309284,11.672301464074602
309284,310179,8.026531574194475
301100,309284,20.00540613673263
304073,309284,26.367699136821624
304450,309284,12.987178651334473
306012,309284,35.14494936917844
308269,309284,30.612362602276484
309042,309284,33.64776026045322
309284,309553,19.85384159127447
301637,303099,9.585256175088508
301637,304137,20.84820487697877
301637,306623,11.828671320062845
301637,308581,32.305541492273555
301100,301637,7.836851779853051
301637,304073,43.39133257101721
301637,306012,52.16858280337402
301637,308269,47.63599603647206
301637,309042,50.67139369464878
304137,306623,13.485114763022601
304137,308581,12.326247113009568
301100,304137,19.717304165703034
304073,304137,27.189754431376578
304137,306012,35.9670046637334
304137,308269,31.434417896831437
304137,309042,34.469815555008175
304137,309553,19.56573962024487
303099,306623,14.975342421958855
306623,308581,24.461742041218706
306623,310179,20.815972151338578
301100,306623,15.9486918835653
304073,306623,34.29354368324359
304450,306623,25.776619228478584
306012,306623,43.07079391560041
306623,308269,38.53820714869845
306623,309042,41.57360480687517
300589,308581,53.864788982924196
301332,308581,50.22205302790774
301636,308581,75.57810938685977
303776,308581,51.528338010405605
303858,308581,50.44306986056026
306063,308581,4.510258123724157
306691,308581,82.88516548205283
308581,310458,72.31025085852242
301555,308581,3.7100682235644706
308581,310179,3.811039680969933
301100,308581,31.174640780997816
301194,308581,49.37183276841627
301214,308581,81.54719788879063
303265,308581,102.49541858711247
303487,308581,67.70741368087418
304073,308581,33.39350429676392
304217,308581,67.52388987541055
304450,308581,11.223558078353035
306152,308581,81.10917634939574
306489,308581,82.08238480607035
306768,308581,60.89313328418769
308269,308581,35.9874945943468
308581,309042,39.94110538385313
308581,309553,31.023076235539662
308581,309569,71.48680025173275
308581,310199,82.63919275382005
308581,310442,63.823418962738415
308581,310527,43.14725008335585
300429,308581,61.43394035809007
307693,308581,78.62546208162402
300589,310179,50.18250155802791
301332,310179,46.53976560301145
301636,310179,71.8958219619635
303776,310179,47.84605058550932
303858,310179,46.76078243566397
306063,310179,3.4322293569140205
306691,310179,79.20287805715655
310179,310458,68.62796343362616
301555,310179,4.255309939547538
301194,310179,45.68954534352001
301214,310179,77.86491046389439
303265,310179,98.81313116221622
303487,310179,64.02512625597792
304073,310179,29.71121687186764
304217,310179,63.84160245051429
304450,310179,7.541270653456758
306152,310179,77.4268889244995
306489,310179,78.40009738117409
306768,310179,57.21084585929143
308269,310179,32.30520716945054
309042,310179,36.25881795895687
309569,310179,67.80451282683647
310179,310199,78.95690532892381
310179,310442,60.141131537842156
310179,310527,39.46496265845959
300429,310179,57.75165293319381
307693,310179,74.94317465672776
301100,303099,17.01562147402617
301100,304073,43.57082740114852
301100,306012,52.34807763350534
301100,308269,47.815490866603376
301100,308325,7.964811107137048
301100,309042,50.850888524780096
301100,309553,1.6322995723532079
304073,304450,27.99777455064059
304073,306012,14.728399237483947
304073,308269,12.415050663742397
304073,309042,13.231210128758725
304073,309553,43.419262855690356
300589,304450,48.46905923680084
301332,304450,44.82632328178438
301636,304450,70.18237964073644
303776,304450,46.13260826428225
303858,304450,45.0473401144369
304450,306691,77.48943573592949
304450,310458,66.91452111239909
301194,304450,43.97610302229293
301214,304450,76.15146814266723
303265,304450,97.09968884098915
303487,304450,62.31168393475083
304217,304450,62.12816012928719
304450,306152,75.71344660327246
304450,306489,76.68665505994707
304450,306768,55.49740353806437
304450,308269,30.591764848223477
304450,309042,34.545375637729805
304450,309569,66.09107050560944
304450,310199,77.24346300769677
304450,310442,58.42768921661509
304450,310527,37.75152033723253
300429,304450,56.03821061196675
304450,307693,73.22973233550069
300589,306012,15.972684636382342
301332,306012,12.329948681365899
301636,306012,37.68600504031793
302171,306012,42.12597819938591
303776,306012,13.636233663863747
303858,306012,12.550965514018415
306012,306691,44.99306113551101
306012,307800,38.86717077459773
306012,310458,34.418146511980595
300144,306012,45.46531068608026
301105,306012,42.99739966860039
301194,306012,11.479728421874432
301214,306012,43.65509354224879
303265,306012,64.60331424057063
303487,306012,29.81530933433234
304217,306012,29.631785528868697
306012,306152,43.21707200285388
306012,306489,44.19028045952845
306012,306768,23.001028937645845
306012,309042,1.804903871469004
306012,309553,52.196513088047205
306012,309569,33.5946959051909
306012,309843,47.92427400433767
306012,310199,44.74708840727819
306012,310442,25.931314616196566
306012,310527,5.202185377648189
300429,306012,23.541836011548206
306012,307693,40.73335773508219
300589,308269,17.89024684578263
301332,308269,14.247510890766195
301636,308269,39.60356724971825
302171,308269,44.043540408786235
303776,308269,15.553795873264042
303858,308269,14.468527723418713
306691,308269,46.910623344911336
307800,308269,40.78473298399806
308269,310458,36.335708721380925
300144,308269,47.382872895480574
301105,308269,44.91496187800071
301194,308269,13.397290631274727
301214,308269,45.57265575164911
303265,308269,66.52087644997096
303487,308269,31.732871543732646
304217,308269,31.549347738269002
306152,308269,45.134634212254205
306489,308269,46.10784266892882
306768,308269,24.91859114704614
308269,309042,4.051777024142385
308269,309553,47.663926321145226
308269,309569,35.51225811459122
