u,v,length_km,n_nodes,n_edges
300601,300704,5.946805624036345,42,41
300601,309722,21.911697710026342,151,150
300601,301638,4.766714914269555,34,33
300601,309284,5.20665861138543,36,35
300601,301637,24.949076013519246,181,180
300601,304137,4.969781634255242,36,35
300601,306623,17.595070424367815,108,107
300601,308581,8.78815212004438,46,45
300601,310179,5.72898897528185,40,39
300601,301100,23.818175302243493,161,160
300601,304073,31.299710092721796,187,186
300601,304450,10.907177066699953,65,64
300601,306012,40.07696032507863,241,240
300601,308269,35.54437355817665,209,208
300601,309042,38.579771216353386,231,230
300601,309553,23.666610756785342,155,154
300589,300704,54.923326708875024,356,355
300589,301332,3.9175837717572377,38,37
300589,301636,28.98330526437988,165,164
300589,302171,33.423278423447876,210,209
300589,306691,36.290361359572934,205,204
300589,307800,30.164470998659684,188,187
300589,310458,25.715446736042527,142,141
300144,300589,36.7626109101422,229,228
300589,308581,53.864788982924196,342,341
300589,310179,50.18250155802791,326,325
300589,301105,34.29469989266233,214,213
300589,301194,5.363035486792972,43,42
300589,301214,34.95239376631073,197,196
300589,303265,55.90061446463254,290,289
300589,303487,21.112609558394258,122,121
300589,304217,20.92908575293063,92,91
300589,304450,48.46905923680084,313,312
300589,306012,15.972684636382342,130,129
300589,306152,34.51437222691584,195,194
300589,306489,35.48758068359041,208,207
300589,306768,14.298329161707766,74,73
300589,308269,17.89024684578263,134,133
300589,309042,14.190335206850477,112,111
300589,309569,24.891996129252828,144,143
300589,309843,39.22157422839961,274,273
300589,310199,36.04438863134015,210,209
300589,310442,17.228614840258505,95,94
300589,310527,10.892565630026482,95,94
300429,300589,14.839136235610152,82,81
300589,307693,32.030657959144115,162,161
300704,301332,51.28059075385854,330,329
300704,301636,76.63664711281058,458,457
300704,303776,52.586875736356355,323,322
300704,303858,51.50160758651104,313,312
300704,306691,83.94370320800364,498,497
300704,309722,26.426816692772626,185,184
300704,310458,73.36878858447322,435,434
300704,301638,9.28183389701584,68,67
300704,309284,9.721777594131714,70,69
300704,301637,29.464194996265544,215,214
300704,304137,9.48490061700153,70,69
300704,306623,22.1101894071141,142,141
300704,308581,7.35375207117779,39,38
300704,310179,5.036400304530878,41,40
300704,301100,28.333294284989776,195,194
300704,301194,50.43037049436707,320,319
300704,301214,82.6057356147414,490,489
300704,303265,103.55395631306324,583,582
300704,303487,68.76595140682497,415,414
300704,304073,34.452042022714735,208,207
300704,304217,68.58242760136135,385,384
300704,304450,12.28209580430384,70,69
300704,306152,82.16771407534652,488,487
300704,306489,83.14092253202112,501,500
300704,306768,61.95167101013849,367,366
300704,308269,37.04603232029759,204,203
300704,309042,40.99964310980393,249,248
300704,309553,28.181729739531622,189,188
300704,309569,72.54533797768352,437,436
300704,310199,83.69773047977084,503,502
300704,310442,64.88195668868921,388,387
300704,310527,44.20578780930665,266,265
300429,300704,62.49247808404086,375,374
300704,307693,79.68399980757482,455,454
301332,301636,25.630904175692855,140,139
301332,302171,30.07087733476085,185,184
301332,306691,32.93796027088592,180,179
301332,307800,26.81206990997266,163,162
301332,310458,22.363045647355502,117,116
300144,301332,33.41020982145516,204,203
301332,308581,50.22205302790774,316,315
301332,310179,46.53976560301145,300,299
301105,301332,30.942298803975312,189,188
301194,301332,1.7202995317765308,17,16
301214,301332,31.599992677623714,172,171
301332,303265,52.548213375945544,265,264
301332,303487,17.760208469707237,97,96
301332,304217,17.576684664243604,67,66
301332,304450,44.82632328178438,287,286
301332,306012,12.329948681365899,104,103
301332,306152,31.161971138228814,170,169
301332,306489,32.13517959490342,183,182
301332,306768,10.945928073020742,49,48
301332,308269,14.247510890766195,108,107
301332,309042,10.547599251834033,86,85
301332,309569,21.539595040565803,119,118
301332,309843,35.86917313971258,249,248
301332,310199,32.69198754265314,185,184
301332,310442,13.876213751571486,70,69
301332,310527,7.249829675010039,69,68
300429,301332,11.486735146923126,57,56
301332,307693,28.678256870457105,137,136
301636,302171,35.80172855165397,224,223
301636,306691,20.491224794884005,133,132
301636,307800,32.54292112686579,202,201
301636,310458,9.63518843359816,64,63
300144,301636,39.14106103834828,243,242
301636,308581,75.57810938685977,444,443
301636,310179,71.8958219619635,428,427
301105,301636,36.67315002086841,228,227
301194,301636,27.07635589072858,145,144
301214,301636,18.83336379033909,118,117
301636,303265,39.781584488660926,211,210
301636,303487,12.972394813672354,77,76
301636,304217,20.282122169690428,94,93
301636,304450,70.18237964073644,415,414
301636,306012,37.68600504031793,232,231
301636,306152,18.395342250944193,116,115
301636,306489,19.36855070761879,129,128
301636,306768,22.03327105096157,128,127
301636,308269,39.60356724971825,236,235
301636,309042,35.903655610786075,214,213
301636,309569,9.361833721125759,62,61
