OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE,is_911_receiving,is_base_hospital,is_drc,ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME_x,NAMELSAD,STATEFP,TRACTCE,NAME_y,population
106190017,11386.0,ALHAMBRA HOSPITAL MEDICAL CENTER,930000005,General Acute Care Hospital,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,19,Los Angeles,Emergency - Basic,144,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0906429,-118.1437655,1,0,0,951406,0,037,S,06037480901,1400000US06037480901,+34.0869807,-118.1401610,G5020,4809.01,Census Tract 4809.01,06,480901,Census Tract 4809.01; Los Angeles County; California,3901
106190020,11388.0,BHC ALHAMBRA HOSPITAL,930000006,Acute Psychiatric Hospital,4619 ROSEMEAD BOULEVARD,ROSEMEAD,91770,19,Los Angeles,Not Applicable,97,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.0887274,-118.0738133,0,0,0,1319679,0,037,S,06037432202,1400000US06037432202,+34.0853194,-118.0709482,G5020,4322.02,Census Tract 4322.02,06,432202,Census Tract 4322.02; Los Angeles County; California,3544
106190021,,TELECARE MLK ADULT PSYCHIATRIC HEALTH FACILITY,M20016070,Psychiatric Health Facility,12021 SOUTH WILMINGTON AVENUE,LOS ANGELES,90059,19,Los Angeles,Not Applicable,16,Open,2025-07-08,Hospital,Psychiatric Health Facility,33.9233758,-118.2421983,0,0,0,1147601,7356,037,S,06037540700,1400000US06037540700,+33.9255436,-118.2453429,G5020,5407,Census Tract 5407,06,540700,Census Tract 5407; Los Angeles County; California,3205
106190034,11399.0,ANTELOPE VALLEY MEDICAL CENTER,930000008,General Acute Care Hospital,1600 WEST AVENUE J,LANCASTER,93534,19,Los Angeles,Emergency - Basic,420,Open,1955-09-27,Hospital,General Acute Care Hospital,34.6882482,-118.1591527,1,1,0,2598810,0,037,S,06037900703,1400000US06037900703,+34.6820995,-118.1567565,G5020,9007.03,Census Tract 9007.03,06,900703,Census Tract 9007.03; Los Angeles County; California,5172
106190045,11410.0,CATALINA ISLAND MEDICAL CENTER,930000010,General Acute Care Hospital,100 FALLS CANYON ROAD,AVALON,90704,19,Los Angeles,Emergency - Standby,12,Open,1946-01-01,Hospital,General Acute Care Hospital,33.3391874,-118.3306829,1,0,0,3175454,669391,037,S,06037599000,1400000US06037599000,+33.3424605,-118.3292211,G5020,5990,Census Tract 5990,06,599000,Census Tract 5990; Los Angeles County; California,3258
106190049,11704.0,KINDRED HOSPITAL - BALDWIN PARK,930000390,General Acute Care Hospital,14148 FRANCISQUITO AVENUE,BALDWIN PARK,91706,19,Los Angeles,,95,Open,2003-12-23,Hospital,General Acute Care Hospital,34.0630569,-117.9676425,0,0,0,1957286,4284,037,S,06037406903,1400000US06037406903,+34.0554476,-117.9650285,G5020,4069.03,Census Tract 4069.03,06,406903,Census Tract 4069.03; Los Angeles County; California,7307
106190050,,HENRY MAYO NEWHALL MEMORIAL HOSPITAL D/P APH,930000206,General Acute Care Hospital,25727 MCBEAN PARKWAY,VALENCIA,91355,19,Los Angeles,,23,Open,2022-11-30,Hospital,General Acute Care Hospital,34.3988591,-118.5526337,0,0,0,3243808,620,037,S,06037920330,1400000US06037920330,+34.4044037,-118.5606309,G5020,9203.30,Census Tract 9203.30,06,920330,Census Tract 9203.30; Los Angeles County; California,3454
106190052,11417.0,BARLOW RESPIRATORY HOSPITAL,930000011,General Acute Care Hospital,2000 STADIUM WAY,LOS ANGELES,90026,19,Los Angeles,,105,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0761338,-118.2481282,0,0,0,3757606,76092,037,S,06037980010,1400000US06037980010,+34.0786807,-118.2395140,G5020,9800.10,Census Tract 9800.10,06,980010,Census Tract 9800.10; Los Angeles County; California,143
106190053,12012.0,ST. MARY MEDICAL CENTER - LONG BEACH,930000012,General Acute Care Hospital,1050 LINDEN AVENUE,LONG BEACH,90813,19,Los Angeles,Emergency - Basic,360,Open,1946-01-01,Hospital,General Acute Care Hospital,33.7805577,-118.1862725,1,1,1,548536,0,037,S,06037576301,1400000US06037576301,+33.7789685,-118.1886964,G5020,5763.01,Census Tract 5763.01,06,576301,Census Tract 5763.01; Los Angeles County; California,4756
106190066,11428.0,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,930000039,General Acute Care Hospital,9542 ARTESIA BOULEVARD,BELLFLOWER,90706,19,Los Angeles,,32,Open,2015-07-23,Hospital,General Acute Care Hospital,33.8743136,-118.1297319,0,0,0,841788,0,037,S,06037554404,1400000US06037554404,+33.8737235,-118.1295274,G5020,5544.04,Census Tract 5544.04,06,554404,Census Tract 5544.04; Los Angeles County; California,4423
106190081,11441.0,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,930000195,General Acute Care Hospital,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,19,Los Angeles,Emergency - Basic,192,Open,2023-09-06,Hospital,General Acute Care Hospital,34.0155611,-118.1000602,1,0,0,988894,23239,037,S,06037530101,1400000US06037530101,+34.0116507,-118.0998041,G5020,5301.01,Census Tract 5301.01,06,530101,Census Tract 5301.01; Los Angeles County; California,5163
106190110,11848.0,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,930000066,General Acute Care Hospital,3828 DELMAS TERRACE,CULVER CITY,90232,19,Los Angeles,Emergency - Basic,410,Open,2013-01-01,Hospital,General Acute Care Hospital,34.0232001,-118.3969128,1,0,0,1982236,16494,037,S,06037702400,1400000US06037702400,+34.0251002,-118.3843439,G5020,7024,Census Tract 7024,06,702400,Census Tract 7024; Los Angeles County; California,4758
106190125,11480.0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,930000024,General Acute Care Hospital,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,19,Los Angeles,Emergency - Basic,392,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0373967,-118.2657271,1,1,1,830399,0,037,S,06037224010,1400000US06037224010,+34.0367636,-118.2658976,G5020,2240.10,Census Tract 2240.10,06,224010,Census Tract 2240.10; Los Angeles County; California,2974
106190137,11496.0,CASA COLINA HOSPITAL,930000026,General Acute Care Hospital,255 EAST BONITA AVENUE,POMONA,91767,19,Los Angeles,,99,Open,1961-02-28,Hospital,General Acute Care Hospital,34.0969241,-117.7457692,0,0,0,2105068,0,037,S,06037401707,1400000US06037401707,+34.1013065,-117.7418297,G5020,4017.07,Census Tract 4017.07,06,401707,Census Tract 4017.07; Los Angeles County; California,8607
106190148,11510.0,CENTINELA HOSPITAL MEDICAL CENTER,930000027,General Acute Care Hospital,555 EAST HARDY STREET,INGLEWOOD,90301,19,Los Angeles,Emergency - Basic,362,Open,1946-01-01,Hospital,General Acute Care Hospital,33.9504198,-118.3481987,1,0,0,640575,0,037,S,06037601100,1400000US06037601100,+33.9490818,-118.3482313,G5020,6011,Census Tract 6011,06,601100,Census Tract 6011; Los Angeles County; California,7199
106190150,17063.0,KEDREN COMMUNITY MENTAL HEALTH CENTER,930000028,Acute Psychiatric Hospital,4211 AVALON BOULEVARD,LOS ANGELES,90011,19,Los Angeles,Not Applicable,72,Open,1973-10-17,Hospital,Acute Psychiatric Hospital,34.0072184,-118.2655578,0,0,0,337041,0,037,S,06037228320,1400000US06037228320,+34.0078219,-118.2636360,G5020,2283.20,Census Tract 2283.20,06,228320,Census Tract 2283.20; Los Angeles County; California,3420
106190155,12874.0,"CALIFORNIA REHABILITATION INSTITUTE, LLC",930000029,General Acute Care Hospital,2070 CENTURY PARK EAST,LOS ANGELES,90067,19,Los Angeles,,138,Open,2016-07-19,Hospital,General Acute Care Hospital,34.0591167,-118.4118833,0,0,0,1119638,0,037,S,06037267901,1400000US06037267901,+34.0564560,-118.4137158,G5020,2679.01,Census Tract 2679.01,06,267901,Census Tract 2679.01; Los Angeles County; California,3106
106190159,,PACIFIC GARDENS MEDICAL CENTER,930000030,General Acute Care Hospital,21530 PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,19,Los Angeles,Emergency - Basic,124,Suspense,2021-08-24,Hospital,General Acute Care Hospital,33.8335701,-118.0801696,0,0,0,881837,0,037,S,06037555106,1400000US06037555106,+33.8348007,-118.0743604,G5020,5551.06,Census Tract 5551.06,06,555106,Census Tract 5551.06; Los Angeles County; California,2698
