ID,NAME,agreed_label,level,source_type,Owner,CITY,MAX_VOLT,MIN_VOLT,LINES
300829,GOULD,GOULD,Core,import_interface_proxy,SCE,LA CA?ADA FLINTRIDGE,230,230,2
301541,MESA,MESA,Core,import_interface_proxy,SCE,MONTEREY PARK,230,66,9
307693,RINALDI,RINALDI,Core,import_interface_proxy,LADWP,LOS ANGELES,500,69,16
305984,RIO HONDO,RIO HONDO,Core,import_interface_proxy,SCE,IRWINDALE,230,66,8
306489,SYLMAR EAST,SYLMAR EAST,Core,import_interface_proxy,LADWP,LOS ANGELES,230,69,1
310199,SYLMAR WEST,SYLMAR WEST,Core,import_interface_proxy,LADWP,LOS ANGELES,230,69,11
307039,ALAMITOS,ALAMITOS,Core,in_basin_generation_proxy,SCE,LONG BEACH,230,66,7
309703,EL SEGUNDO,EL SEGUNDO,Core,in_basin_generation_proxy,SCE,EL SEGUNDO,230,230,2
304450,HARBORGEN,HARBORGEN,Core,in_basin_generation_proxy,SCE,LOS ANGELES,230,66,4
307373,HAYNES,HAYNES,Core,in_basin_generation_proxy,LADWP,LONG BEACH,230,66,6
308540,LONG BEACH,LONG BEACH,Core,in_basin_generation_proxy,SCE,LONG BEACH,230,66,4
309553,STATION L (SCATTERGOOD),STATION L (SCATTERGOOD),Core,in_basin_generation_proxy,LADWP,LOS ANGELES,230,138,2
309569,STATION M(VALLEY),STATION M (VALLEY),Core,in_basin_generation_proxy,LADWP,LOS ANGELES,230,66,7
308581,STATION Q (HARBOR),STATION Q (HARBOR),Core,in_basin_generation_proxy,LADWP,LOS ANGELES,138,138,3
301100,UNKNOWN301100,301100,Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,66,1
302187,DEL AMO,DEL AMO,Transit,transit_hub_not_source,SCE,CERRITOS,230,66,10
310204,EL NIDO,EL NIDO,Transit,transit_hub_not_source,SCE,HAWTHORNE,230,66,7
306623,GRAMERCY,GRAMERCY,Transit,transit_hub_not_source,LADWP,LOS ANGELES,138,138,6
300390,HINSON,HINSON,Transit,transit_hub_not_source,SCE,LONG BEACH,230,66,7
300627,IMPERIAL TERMINAL TOWER,IMPERIAL TERMINAL,Transit,transit_hub_not_source,LADWP,WEST ATHENS,138,138,4
309843,KENTER CANYON,KENTER CANYON,Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,230,2
308786,LA CIENEGA,LA CIENEGA,Transit,transit_hub_not_source,SCE,LADERA HEIGHTS,230,66,3
306844,LA FRESA,LA FRESA,Transit,transit_hub_not_source,SCE,TORRANCE,230,66,12
306060,LAGUNA BELL,LAGUNA BELL,Transit,transit_hub_not_source,SCE,COMMERCE,230,66,12
303169,LIGHTPIPE,LIGHTPIPE,Transit,transit_hub_not_source,SCE,LONG BEACH,230,66,9
308907,NEWMARK,NEWMARK,Transit,transit_hub_not_source,SCE,MONTEREY PARK,66,66,3
308206,NICHOLS CANYON,NICHOLS CANYON,Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,138,3
306279,OLINDA,OLINDA,Transit,transit_hub_not_source,SCE,ROWLAND HEIGHTS,230,66,10
302798,REPETTO,REPETTO,Transit,transit_hub_not_source,SCE,MONTEREY PARK,66,66,2
310527,STATION A (ST. JOHN),STATION A (ST. JOHN),Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,66,5
304073,STATION B (CENTURY),STATION B (CENTURY),Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,138,8
303099,STATION D (FAIRFAX),STATION D (FAIRFAX),Transit,transit_hub_not_source,LADWP,LOS ANGELES,138,138,8
300429,STATION E (TOLUCA),STATION E (TOLUCA),Transit,transit_hub_not_source,LADWP,LOS ANGELES,500,66,15
308269,STATION F (VELASCO & KINETIC),STATION F (VELASCO & KINETIC),Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,66,7
301105,STATION K (OLYMPIC),STATION K (OLYMPIC),Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,66,8
303620,TARZANA(STATION U),TARZANA (STATION U),Transit,transit_hub_not_source,LADWP,LOS ANGELES,230,230,7
310179,WILMINGTON (STATION C),WILMINGTON (STATION C),Transit,transit_hub_not_source,LADWP,LOS ANGELES,138,138,8
301745,WINDSOR HILLS,WINDSOR HILLS,Transit,transit_hub_not_source,SCE,VIEW PARK-WINDSOR HILLS,66,-999999,0
