crew_origin_index,crew_id,yard_id,utility,facility,latitude,longitude,travel_matrix_origin_key
0,C57_crew_01,D01,LADWP,LADWP Substations Regional Center,34.04002552042754,-118.2357973,D01
1,C57_crew_02,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
2,C57_crew_03,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
3,C57_crew_04,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
4,C57_crew_05,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
5,C57_crew_06,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
6,C57_crew_07,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
7,C57_crew_08,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
8,C57_crew_09,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
9,C57_crew_10,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
10,C57_crew_11,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
11,C57_crew_12,D02,LADWP,LADWP Central District HQ,34.050723048488216,-118.2361221,D02
12,C57_crew_13,D03,LADWP,LADWP Boylston Facility,34.059497783218525,-118.2559702,D03
13,C57_crew_14,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
14,C57_crew_15,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
15,C57_crew_16,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
16,C57_crew_17,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
17,C57_crew_18,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
18,C57_crew_19,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
19,C57_crew_20,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
20,C57_crew_21,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
21,C57_crew_22,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
22,C57_crew_23,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
23,C57_crew_24,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
24,C57_crew_25,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
25,C57_crew_26,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
26,C57_crew_27,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
27,C57_crew_28,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
28,C57_crew_29,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
29,C57_crew_30,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
30,C57_crew_31,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
31,C57_crew_32,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
32,C57_crew_33,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
33,C57_crew_34,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
34,C57_crew_35,D04,LADWP,LADWP Valley Center,34.209341635787055,-118.4451115,D04
35,C57_crew_36,D05,LADWP,LADWP Central Service Center,34.03298008205709,-118.2575036,D05
36,C57_crew_37,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
37,C57_crew_38,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
38,C57_crew_39,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
39,C57_crew_40,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
40,C57_crew_41,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
41,C57_crew_42,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
42,C57_crew_43,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
43,C57_crew_44,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
44,C57_crew_45,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
45,C57_crew_46,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
46,C57_crew_47,D06,LADWP,LADWP Main Street Facility,34.066584450527095,-118.2275349,D06
47,C57_crew_48,D07,SCE,SCE Dominguez Hills Service Center,33.85547518471537,-118.2337299,D07
48,C57_crew_49,D07,SCE,SCE Dominguez Hills Service Center,33.85547518471537,-118.2337299,D07
49,C57_crew_50,D07,SCE,SCE Dominguez Hills Service Center,33.85547518471537,-118.2337299,D07
50,C57_crew_51,D09,SCE,SCE Alhambra Combined Facility,34.08431348271525,-118.1421584,D09
51,C57_crew_52,D09,SCE,SCE Alhambra Combined Facility,34.08431348271525,-118.1421584,D09
52,C57_crew_53,D09,SCE,SCE Alhambra Combined Facility,34.08431348271525,-118.1421584,D09
53,C57_crew_54,D10,SCE,SCE Santa Monica Service Center,34.026105913440354,-118.4723723,D10
54,C57_crew_55,D12,SCE,SCE Whittier Service Center / SCE-Whittier Santa Fe Springs location,33.94971980238355,-118.0704717,D12
55,C57_crew_56,D12,SCE,SCE Whittier Service Center / SCE-Whittier Santa Fe Springs location,33.94971980238355,-118.0704717,D12
56,C57_crew_57,D13,SCE,SCE South Bay Service Center,33.84588987293782,-118.3274784,D13
