depot_id,depot_name,utility,latitude,longitude,use_as_travel_origin,coordinate_source,model_role,notes
D01,LADWP Substations Regional Center,LADWP,34.04002552042754,-118.2357973,yes,Google Maps manual coordinate,origin_proxy,Substation-related LADWP facility candidate; proxy only; not a confirmed crew-count source.
D02,LADWP Central District HQ,LADWP,34.050723048488216,-118.2361221,yes,Google Maps manual coordinate,origin_proxy,Central / Central District HQ proxy; retained per manual map check; not a confirmed crew-count source.
D03,LADWP Boylston Facility,LADWP,34.059497783218525,-118.2559702,yes,Google Maps manual coordinate,origin_proxy,LADWP facility / garage / operations proxy; not a confirmed crew-count source.
D04,LADWP Valley Center,LADWP,34.209341635787055,-118.4451115,yes,Google Maps manual coordinate,origin_proxy,Power System relevant LADWP Valley-area facility; preferred over Valley Telecommunications HS Headquarters for origin proxy.
D05,LADWP Central Service Center,LADWP,34.03298008205709,-118.2575036,yes,Google Maps manual coordinate,origin_proxy,Central Service Center / Wall St.-area facility proxy; not a confirmed crew-count source.
D06,LADWP Main Street Facility,LADWP,34.066584450527095,-118.2275349,yes,Google Maps manual coordinate,origin_proxy,Power-system operational support / repair-fabrication / yard / warehouse proxy; not water-only.
D07,SCE Dominguez Hills Service Center,SCE,33.85547518471537,-118.2337299,yes,Google Maps manual coordinate,origin_proxy,"1924 E Cashdan St, Compton; SCE service-center proxy."
D08,SCE Pomona Service Center / SCE CRE Pomona Garage,SCE,34.06109260308282,-117.7247296,yes,Google Maps manual coordinate,origin_proxy,"265 N East End Ave, Pomona; SCE service-center / garage proxy."
D09,SCE Alhambra Combined Facility,SCE,34.08431348271525,-118.1421584,yes,Google Maps manual coordinate,origin_proxy,"501 S Marengo Ave, Alhambra; combined facility / storage / maintenance / dispatch / training proxy."
D10,SCE Santa Monica Service Center,SCE,34.026105913440354,-118.4723723,yes,Google Maps manual coordinate,origin_proxy,SCE Santa Monica service-center proxy.
D11,SCE Montebello Service Center,SCE,34.039589254423966,-118.1066802,yes,Google Maps manual coordinate,origin_proxy,"1000 Potrero Grande Dr, Monterey Park; SCE service-center proxy."
D12,SCE Whittier Service Center / SCE-Whittier Santa Fe Springs location,SCE,33.94971980238355,-118.0704717,yes,Google Maps manual coordinate,origin_proxy,"9901 Geary Ave, Santa Fe Springs; name may be Whittier/SCE-Whittier but physical address is Santa Fe Springs."
D13,SCE South Bay Service Center,SCE,33.84588987293782,-118.3274784,yes,Google Maps manual coordinate,origin_proxy,SCE South Bay service-center proxy.
D14,SCE Covina / San Dimas Service Center,SCE,34.10583345364022,-117.8158538,yes,Google Maps manual coordinate,origin_proxy,SCE Covina / San Dimas service-center proxy.
D15,SCE Monrovia Service Center,SCE,34.13918223533424,-117.9888783,yes,Google Maps manual coordinate,origin_proxy,SCE Monrovia service-center proxy.
D16,SCE Long Beach Service Center,SCE,33.80558796400011,-118.1505517,yes,Google Maps manual coordinate,origin_proxy,SCE Long Beach service-center proxy.
