u,v,length_km
300144,300429,24.988650612411003
300144,301105,2.9011931208150017
300144,301194,34.87998202602327
300144,302171,4.0256517082970875
300144,303099,11.818308487009691
300144,309042,43.69920973245638
300144,309843,2.495800163899181
300144,310527,40.33237944599218
300429,301105,22.203035920540312
300429,301194,12.82785376462796
300429,301636,14.266221790222394
300429,302171,21.624997636184304
300429,306489,20.205640062710174
300429,306768,7.78476892486095
300429,307693,17.36870914341035
300429,309042,21.647081471061064
300429,309553,36.296142972716204
300429,309569,10.150559591607669
300429,310199,20.4406369861926
300429,310527,18.280251184596843
300493,303620,5.858053704005098
300493,307693,10.647782224575685
301105,301194,32.09436733415257
301105,302171,2.3527557364934677
301105,303099,8.996755714359544
301105,304137,33.905469208223586
301105,304450,47.55450197986377
301105,308581,45.378097853474685
301105,309042,40.91359504058567
301105,309553,15.867646714537637
301105,310179,42.16066290015754
301105,310527,37.546764754121476
301194,302171,31.516329049796585
301194,306768,12.391379788056476
301194,309042,9.689306978718166
301194,310527,6.322476692253954
301636,306489,18.803693560896004
301636,307693,16.253194616257005
301636,309569,9.34851402767476
301636,310199,19.30344923723744
301637,303099,9.515492647085974
301637,304137,20.520171541016367
301637,304450,34.12296004880135
301637,306623,11.59573810493397
301637,308581,31.992800186267466
301637,309553,9.44448279076513
301637,310179,28.775365232950318
302171,303099,8.952783745744982
302171,304137,35.65904734205072
302171,304450,49.308080113690906
302171,308581,47.13167598730182
302171,309042,40.33555675622966
302171,309553,17.621224848364772
302171,310179,43.91424103398467
302171,310527,36.968726469765464
303099,303899,7.19221544609699
303099,306623,14.86964789301246
303099,309553,18.5534889569357
303620,308991,4.811090326998902
303620,309843,14.334136241013793
303899,308206,2.9529403900572664
304073,304137,14.962772879870037
304073,304450,23.047406470169552
304073,306623,5.414471105330731
304073,308269,12.278791155387497
304073,309042,13.077451018279895
304073,310179,18.03383627858184
304137,304450,14.20213537027169
304137,306623,13.666003050358968
304137,308581,12.340352778705567
304137,309553,19.520181594222997
304137,310179,9.122917825388422
304450,306623,25.89213643029858
304450,308269,30.487578447928303
304450,308581,8.909531792892944
304450,309553,33.169214365863205
304450,310179,7.594193767904467
306489,307693,5.132238901181137
306489,309569,12.892995106719184
306489,310199,0.8929586450584633
306623,309553,17.558810372335127
306623,310179,20.878566238710878
306768,308206,3.0736326950951915
306768,309042,21.210607494489583
306768,310527,17.843777208025365
307693,309569,11.760583185328045
307693,310199,4.6847154676214755
308269,309042,3.957598812737236
308581,309553,30.992810239474107
308581,310179,3.811039680969933
309042,310527,3.3845904441578427
309553,310179,27.775375286156955
