variant,scenario,curve,ds4_mean_hr,ds4_std_hr,t0_supply,t50_hr,t80_hr,t95_hr,auc_0_480hr,final_supply,repair_task_threshold_hr,repair_task_count,ds4_prob_mean_by_sub,ds4_prob_max_sub,baseline_t50_hr,baseline_t80_hr,baseline_t95_hr,baseline_auc_0_480hr,baseline_repair_task_count,delta_t50_hr,delta_t80_hr,delta_t95_hr,delta_auc_0_480hr,delta_repair_task_count
DS4_24_8_baseline,Northridge,tract_mean,24.0,8.0,0.34258116269083516,5.75,15.350000000000001,26.400000000000002,0.9828442822858943,1.0,1.0,77,0.10022826086956524,0.983,5.75,15.350000000000001,26.400000000000002,0.9828442822858943,77,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,Northridge,population_weighted,24.0,8.0,0.3648485267899578,1.9500000000000002,14.25,25.900000000000002,0.9838907005667994,1.0,1.0,77,0.10022826086956524,0.983,1.9500000000000002,14.25,25.900000000000002,0.9838907005667994,77,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,Northridge,svi_population_weighted,24.0,8.0,0.37223946745452496,1.6500000000000001,13.3,25.3,0.9845773053792138,0.9999999999999998,1.0,77,0.10022826086956524,0.983,1.6500000000000001,13.3,25.3,0.9845773053792138,77,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,SanFernando,tract_mean,24.0,8.0,0.5602522746210363,0.0,6.3500000000000005,17.2,0.9924338814565726,1.0,1.0,33,0.04465217391304348,0.82,0.0,6.3500000000000005,17.2,0.9924338814565726,33,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,SanFernando,population_weighted,24.0,8.0,0.5705569074048629,0.0,5.8500000000000005,16.75,0.9927094301325584,1.0,1.0,33,0.04465217391304348,0.82,0.0,5.8500000000000005,16.75,0.9927094301325584,33,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,SanFernando,svi_population_weighted,24.0,8.0,0.5732571702627214,0.0,5.75,16.650000000000002,0.9928203524796456,0.9999999999999998,1.0,33,0.04465217391304348,0.82,0.0,5.75,16.650000000000002,0.9928203524796456,33,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,LongBeach,tract_mean,24.0,8.0,0.5498307739931481,0.0,9.15,20.85,0.991458589817938,1.0,1.0,61,0.05070652173913043,0.587,0.0,9.15,20.85,0.991458589817938,61,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,LongBeach,population_weighted,24.0,8.0,0.5386042280562674,0.0,11.8,23.75,0.9909157919788031,1.0,1.0,61,0.05070652173913043,0.587,0.0,11.8,23.75,0.9909157919788031,61,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,LongBeach,svi_population_weighted,24.0,8.0,0.5264269845321845,0.0,11.8,23.75,0.9905344867958527,0.9999999999999998,1.0,61,0.05070652173913043,0.587,0.0,11.8,23.75,0.9905344867958527,61,0.0,0.0,0.0,0.0,0
DS4_24_8_baseline,2pc50,tract_mean,24.0,8.0,0.0006375907051701348,23.75,28.0,35.4,0.9505998527982019,1.0,1.0,92,0.6320978260869563,0.992,23.75,28.0,35.4,0.9505998527982019,92,0.0,0.0,0.0,0.0,0
