tract_id,scenario,peak_outage_prob
6037101110,Northridge,0.43400000000000005
6037101122,Northridge,0.41500000000000004
6037101220,Northridge,0.41900000000000004
6037101221,Northridge,0.43400000000000005
6037101222,Northridge,0.43600000000000005
6037101300,Northridge,0.255
6037101400,Northridge,0.29400000000000004
6037102103,Northridge,0.405
6037102104,Northridge,0.40900000000000003
6037102105,Northridge,0.41200000000000003
6037102107,Northridge,0.472
6037103101,Northridge,0.45699999999999996
6037103102,Northridge,0.45699999999999996
6037103201,Northridge,0.45499999999999996
6037103202,Northridge,0.477
6037103300,Northridge,0.458
6037103401,Northridge,0.45599999999999996
6037103402,Northridge,0.455
6037104103,Northridge,0.46599999999999997
6037104105,Northridge,0.45999999999999996
6037104108,Northridge,0.44800000000000006
6037104201,Northridge,0.881
6037104203,Northridge,0.46799999999999997
6037104204,Northridge,0.469
6037104310,Northridge,0.715
6037104321,Northridge,0.725
6037104322,Northridge,0.716
6037104401,Northridge,0.715
6037104403,Northridge,0.715
6037104404,Northridge,0.715
6037104500,Northridge,0.44700000000000006
6037104610,Northridge,0.43700000000000006
6037104620,Northridge,0.44100000000000006
6037104701,Northridge,0.45499999999999996
6037104703,Northridge,0.379
6037104704,Northridge,0.41800000000000004
6037104821,Northridge,0.391
6037104822,Northridge,0.41800000000000004
6037104823,Northridge,0.381
6037104824,Northridge,0.379
6037106010,Northridge,0.799
6037106020,Northridge,0.8380000000000001
6037106111,Northridge,0.881
6037106112,Northridge,0.8760000000000001
6037106113,Northridge,0.8420000000000001
6037106114,Northridge,0.817
6037106403,Northridge,0.751
6037106405,Northridge,0.751
6037106406,Northridge,0.76
6037106407,Northridge,0.751
6037106408,Northridge,0.751
6037106510,Northridge,0.8819999999999999
6037106520,Northridge,0.751
6037106603,Northridge,0.8699999999999999
6037106604,Northridge,0.8719999999999999
6037106641,Northridge,0.763
6037106642,Northridge,0.8779999999999999
6037106643,Northridge,0.896
6037106645,Northridge,0.855
6037106646,Northridge,0.748
6037106648,Northridge,0.751
6037106649,Northridge,0.715
6037107010,Northridge,0.751
6037107020,Northridge,0.751
6037108101,Northridge,0.797
6037108102,Northridge,0.797
6037108103,Northridge,0.797
6037108104,Northridge,0.797
6037108202,Northridge,0.797
6037108203,Northridge,0.797
6037108204,Northridge,0.797
6037109100,Northridge,0.715
6037109200,Northridge,0.748
6037109300,Northridge,0.748
6037109400,Northridge,0.715
6037109601,Northridge,0.715
6037109603,Northridge,0.715
6037109604,Northridge,0.715
6037109700,Northridge,0.8170000000000001
6037109800,Northridge,0.866
6037111100,Northridge,0.8130000000000001
6037111201,Northridge,0.866
6037111202,Northridge,0.881
6037111204,Northridge,0.797
6037111205,Northridge,0.797
6037111206,Northridge,0.797
6037111302,Northridge,0.8
6037111303,Northridge,0.8839999999999999
6037111304,Northridge,0.797
6037111401,Northridge,0.8779999999999999
6037111402,Northridge,0.8580000000000001
6037113101,Northridge,0.797
6037113102,Northridge,0.797
6037113211,Northridge,0.797
6037113212,Northridge,0.797
6037113213,Northridge,0.797
6037113231,Northridge,0.714
6037113232,Northridge,0.697
6037113234,Northridge,0.6799999999999999
6037113237,Northridge,0.806
6037113238,Northridge,0.6599999999999999
6037113239,Northridge,0.696
6037113301,Northridge,0.734
6037113303,Northridge,0.788
6037113322,Northridge,0.797
6037113323,Northridge,0.797
6037113324,Northridge,0.797
6037113423,Northridge,0.734
6037113424,Northridge,0.734
6037113425,Northridge,0.809
6037113426,Northridge,0.785
6037113427,Northridge,0.6769999999999999
6037113428,Northridge,0.773
6037115101,Northridge,0.768
6037115103,Northridge,0.734
6037115104,Northridge,0.734
6037115202,Northridge,0.734
6037115203,Northridge,0.734
6037115204,Northridge,0.734
6037115301,Northridge,0.734
6037115302,Northridge,0.734
6037115401,Northridge,0.738
6037115403,Northridge,0.734
6037115404,Northridge,0.734
6037117101,Northridge,0.725
6037117102,Northridge,0.715
6037117201,Northridge,0.72
6037117202,Northridge,0.726
6037117301,Northridge,0.8919999999999999
6037117302,Northridge,0.809
6037117303,Northridge,0.8260000000000001
6037117404,Northridge,0.746
6037117405,Northridge,0.737
6037117407,Northridge,0.739
6037117408,Northridge,0.747
6037117510,Northridge,0.735
6037117520,Northridge,0.74
6037117530,Northridge,0.747
6037119001,Northridge,0.41800000000000004
6037119003,Northridge,0.72
6037119004,Northridge,0.42300000000000004
6037119201,Northridge,0.716
6037119202,Northridge,0.715
6037119310,Northridge,0.715
6037119320,Northridge,0.726
6037119340,Northridge,0.735
6037119341,Northridge,0.728
6037119342,Northridge,0.725
6037119400,Northridge,0.46399999999999997
6037119700,Northridge,0.405
6037119801,Northridge,0.458
6037119802,Northridge,0.45499999999999996
6037119900,Northridge,0.469
6037120010,Northridge,0.752
6037120020,Northridge,0.453
6037120030,Northridge,0.472
6037120103,Northridge,0.742
6037120104,Northridge,0.747
6037120105,Northridge,0.74
6037120106,Northridge,0.747
6037120107,Northridge,0.745
6037120108,Northridge,0.736
6037120300,Northridge,0.403
6037120400,Northridge,0.41000000000000003
6037121010,Northridge,0.352
6037121020,Northridge,0.352
6037121101,Northridge,0.367
6037121102,Northridge,0.379
6037121210,Northridge,0.379
6037121221,Northridge,0.352
6037121222,Northridge,0.352
6037121600,Northridge,0.377
6037121801,Northridge,0.352
6037121802,Northridge,0.352
6037121900,Northridge,0.352
6037122000,Northridge,0.396
6037122120,Northridge,0.362
6037122121,Northridge,0.357
6037122122,Northridge,0.352
6037122200,Northridge,0.393
6037122410,Northridge,0.39
6037122420,Northridge,0.363
6037123010,Northridge,0.363
6037123020,Northridge,0.395
6037123103,Northridge,0.363
6037123104,Northridge,0.398
6037123203,Northridge,0.363
6037123204,Northridge,0.363
6037123205,Northridge,0.363
6037123206,Northridge,0.363
6037123301,Northridge,0.397
6037123303,Northridge,0.406
6037123304,Northridge,0.405
6037123410,Northridge,0.48
6037123420,Northridge,0.48
6037123510,Northridge,0.48
6037123520,Northridge,0.48
6037123601,Northridge,0.48
6037123602,Northridge,0.48
6037123700,Northridge,0.48
6037123800,Northridge,0.48
6037123901,Northridge,0.363
6037123902,Northridge,0.397
6037124000,Northridge,0.48
6037124102,Northridge,0.383
6037124103,Northridge,0.363
6037124104,Northridge,0.363
6037124105,Northridge,0.363
6037124201,Northridge,0.363
6037124203,Northridge,0.398
6037124204,Northridge,0.398
6037124300,Northridge,0.398
6037124400,Northridge,0.48
6037124500,Northridge,0.48
6037124600,Northridge,0.48
6037124700,Northridge,0.48
6037124902,Northridge,0.48
6037124903,Northridge,0.48
6037125101,Northridge,0.405
6037125102,Northridge,0.48
6037125200,Northridge,0.41700000000000004
6037125310,Northridge,0.398
6037125321,Northridge,0.398
6037125322,Northridge,0.401
6037125402,Northridge,0.41600000000000004
6037125403,Northridge,0.40900000000000003
6037125404,Northridge,0.405
6037125501,Northridge,0.401
6037125502,Northridge,0.41400000000000003
6037125600,Northridge,0.40700000000000003
6037127102,Northridge,0.482
6037127103,Northridge,0.482
6037127104,Northridge,0.483
6037127210,Northridge,0.474
6037127220,Northridge,0.483
6037127300,Northridge,0.453
6037127400,Northridge,0.848
6037127520,Northridge,0.752
6037127603,Northridge,0.456
6037127604,Northridge,0.453
6037127605,Northridge,0.703
6037127606,Northridge,0.473
6037127711,Northridge,0.485
6037127712,Northridge,0.484
6037127803,Northridge,0.483
6037127804,Northridge,0.482
6037127805,Northridge,0.483
6037127806,Northridge,0.482
6037127910,Northridge,0.48
6037127920,Northridge,0.48
6037128101,Northridge,0.48
6037128102,Northridge,0.48
6037128210,Northridge,0.48
6037128220,Northridge,0.48
6037128302,Northridge,0.481
6037128303,Northridge,0.48
6037128400,Northridge,0.48
6037128500,Northridge,0.48
6037128601,Northridge,0.48
6037128602,Northridge,0.48
6037128703,Northridge,0.48
6037128704,Northridge,0.48
6037128801,Northridge,0.483
6037128802,Northridge,0.48
6037128910,Northridge,0.48
6037131021,Northridge,0.734
6037131022,Northridge,0.734
6037131023,Northridge,0.742
6037131024,Northridge,0.5650000000000001
6037131100,Northridge,0.798
6037131200,Northridge,0.763
6037131300,Northridge,0.734
6037131400,Northridge,0.734
6037131600,Northridge,0.734
6037131701,Northridge,0.757
6037131702,Northridge,0.743
6037131801,Northridge,0.749
6037131802,Northridge,0.773
6037131900,Northridge,0.807
6037132001,Northridge,0.6120000000000001
6037132002,Northridge,0.6669999999999999
6037132101,Northridge,0.6859999999999999
6037132102,Northridge,0.7
6037132301,Northridge,0.5750000000000001
6037132302,Northridge,0.5650000000000001
6037132501,Northridge,0.5650000000000001
6037132502,Northridge,0.5650000000000001
6037132700,Northridge,0.5650000000000001
6037132900,Northridge,0.5650000000000001
6037133000,Northridge,0.5650000000000001
6037133101,Northridge,0.5650000000000001
6037133102,Northridge,0.5650000000000001
6037134001,Northridge,0.5850000000000001
6037134002,Northridge,0.5850000000000001
6037134101,Northridge,0.74
6037134103,Northridge,0.5890000000000001
6037134104,Northridge,0.5850000000000001
6037134201,Northridge,0.5850000000000001
6037134302,Northridge,0.631
6037134303,Northridge,0.5850000000000001
6037134304,Northridge,0.5900000000000001
6037134305,Northridge,0.5910000000000001
6037134306,Northridge,0.5850000000000001
6037134421,Northridge,0.702
6037134422,Northridge,0.6639999999999999
6037134423,Northridge,0.694
6037134520,Northridge,0.5850000000000001
6037134521,Northridge,0.5850000000000001
6037134522,Northridge,0.5850000000000001
6037134710,Northridge,0.5850000000000001
6037134720,Northridge,0.5850000000000001
6037134801,Northridge,0.5850000000000001
6037134802,Northridge,0.5850000000000001
6037134901,Northridge,0.5650000000000001
6037134904,Northridge,0.5850000000000001
6037134905,Northridge,0.5850000000000001
6037134906,Northridge,0.5850000000000001
6037134907,Northridge,0.5850000000000001
6037135102,Northridge,0.5850000000000001
6037135111,Northridge,0.5850000000000001
6037135113,Northridge,0.5850000000000001
6037135115,Northridge,0.5850000000000001
6037135116,Northridge,0.5850000000000001
6037135201,Northridge,0.5950000000000001
6037135202,Northridge,0.693
6037135204,Northridge,0.702
6037137000,Northridge,0.7
6037137103,Northridge,0.5850000000000001
6037137104,Northridge,0.5850000000000001
6037137202,Northridge,0.5850000000000001
6037137203,Northridge,0.5900000000000001
6037137301,Northridge,0.693
6037137302,Northridge,0.709
6037137401,Northridge,0.6300000000000001
6037137402,Northridge,0.7
6037137501,Northridge,0.5850000000000001
6037137502,Northridge,0.5850000000000001
6037137504,Northridge,0.6869999999999999
6037138000,Northridge,0.697
6037139001,Northridge,0.603
6037139200,Northridge,0.5650000000000001
6037139301,Northridge,0.5650000000000001
6037139302,Northridge,0.5650000000000001
6037139303,Northridge,0.5650000000000001
6037139401,Northridge,0.5650000000000001
6037139402,Northridge,0.5650000000000001
6037139502,Northridge,0.5670000000000001
6037139504,Northridge,0.5700000000000001
6037139505,Northridge,0.5650000000000001
6037139506,Northridge,0.5650000000000001
6037139600,Northridge,0.6579999999999999
6037139701,Northridge,0.701
6037139703,Northridge,0.6719999999999999
6037139704,Northridge,0.697
6037139705,Northridge,0.709
6037139801,Northridge,0.6000000000000001
6037139802,Northridge,0.6839999999999999
6037141101,Northridge,0.48
6037141102,Northridge,0.48
6037141201,Northridge,0.48
6037141202,Northridge,0.48
6037141303,Northridge,0.48
6037141304,Northridge,0.48
6037141305,Northridge,0.482
6037141306,Northridge,0.48
6037141400,Northridge,0.48
6037141500,Northridge,0.44400000000000006
6037141600,Northridge,0.48
6037141700,Northridge,0.483
6037143101,Northridge,0.265
6037143102,Northridge,0.42100000000000004
6037143200,Northridge,0.41800000000000004
6037143301,Northridge,0.40700000000000003
6037143302,Northridge,0.394
6037143401,Northridge,0.48
6037143402,Northridge,0.48
6037143500,Northridge,0.48
6037143602,Northridge,0.384
6037143603,Northridge,0.395
6037143605,Northridge,0.261
6037143606,Northridge,0.246
6037143700,Northridge,0.272
6037143801,Northridge,0.15500000000000003
6037143802,Northridge,0.21200000000000002
6037143901,Northridge,0.14200000000000002
6037143902,Northridge,0.483
6037181000,Northridge,0.087
6037181300,Northridge,0.125
6037181400,Northridge,0.125
6037181500,Northridge,0.05800000000000001
6037181600,Northridge,0.125
