blocker_tolerance_m,edges,components,largest_component_nodes,isolates,median_degree,max_degree,edges_gt20km,edges_gt25km,edges_gt30km,small_components
100,463,1,93,0,11.0,27.0,149,91,57,
150,445,1,93,0,10.0,26.0,140,88,56,
200,412,1,93,0,9.0,25.0,127,81,52,
225,399,1,93,0,8.0,25.0,127,81,52,
250,370,1,93,0,6.0,24.0,103,62,38,
260,359,2,91,0,6.0,24.0,103,62,38,302297|306091
275,357,2,91,0,6.0,24.0,103,62,38,302297|306091
300,355,2,91,0,6.0,24.0,103,62,38,302297|306091
325,353,2,91,0,6.0,24.0,103,62,38,302297|306091
350,331,2,91,0,6.0,23.0,97,58,34,302297|306091
400,300,2,91,0,5.0,21.0,80,54,30,302297|306091
500,274,3,90,1,5.0,21.0,68,46,25,302297|306091;306365
