tol_m,edges,blocked,components,largest,second,second_names,isolates,median_degree,max_degree,edges_gt20,edges_gt25,edges_gt30,low_voltage_degree_ge15
100,463,86,1,93,0,,0,11.0,27,149,91,57,PUENTE(15); SEPLUVEDA(15); TRISONIC(15); DOUGLAS(15); VERNON(16); CAMERON(15); JOSE(16); TORRANCE(27); MOBILOIL(17); YUKON(21); BANDINI(20)
150,445,104,1,93,0,,0,10.0,26,140,88,56,PUENTE(15); SEPLUVEDA(15); TRISONIC(15); DOUGLAS(15); CAMERON(15); JOSE(16); TORRANCE(26); MOBILOIL(16); YUKON(19); BANDINI(20)
200,412,137,1,93,0,,0,9.0,25,127,81,52,PUENTE(15); CAMERON(15); JOSE(16); TORRANCE(19); MOBILOIL(16); YUKON(18); BANDINI(19)
250,370,179,1,93,0,,0,6.0,24,103,62,38,CAMERON(15); TORRANCE(18); MOBILOIL(15); YUKON(17); BANDINI(16)
275,357,192,2,91,2,TRISONIC; DOUGLAS,0,6.0,24,103,62,38,CAMERON(15); TORRANCE(18); MOBILOIL(15); YUKON(16); BANDINI(16)
300,355,194,2,91,2,TRISONIC; DOUGLAS,0,6.0,24,103,62,38,CAMERON(15); TORRANCE(18); MOBILOIL(15); YUKON(16); BANDINI(16)
325,353,196,2,91,2,TRISONIC; DOUGLAS,0,6.0,24,103,62,38,CAMERON(15); TORRANCE(17); MOBILOIL(15); YUKON(16); BANDINI(16)
350,331,218,2,91,2,TRISONIC; DOUGLAS,0,6.0,23,97,58,34,CAMERON(15); TORRANCE(17); MOBILOIL(15); YUKON(15); BANDINI(16)
400,300,249,2,91,2,TRISONIC; DOUGLAS,0,5.0,21,80,54,30,BANDINI(15)
500,274,275,3,90,2,TRISONIC; DOUGLAS,1,5.0,21,68,46,25,
