u,v,length_km,other,other_name
301489,309042,18.97462534074047,309042,RIVER
301489,302164,18.80791013263151,302164,BRIGHTON
301489,308806,17.991054681096507,308806,MOBILOIL
301489,310179,17.616877417008954,310179,WILMINGTON (STATION C)
301489,308540,17.376540471972593,308540,LONG BEACH
301489,306844,17.277783442524328,306844,LA FRESA
301489,304137,16.37731001588647,304137,HALLDALE
301489,308269,15.956727284687652,308269,STATION F (VELASCO & KINETIC)
301489,304450,15.85051198133418,304450,HARBORGEN
300232,301489,15.279236454393068,300232,CENTER
301489,310504,15.07550941690677,310504,BANDINI
301489,306450,15.004296510984664,306450,VERNON
301489,306268,14.154599726527833,306268,WESTEX
301489,301614,13.861823121271875,301614,PULPGEN
301489,306060,12.388254619774152,306060,LAGUNA BELL
300390,301489,12.182960945788995,300390,HINSON
301489,304073,11.575804310877908,304073,STATION B (CENTURY)
301489,307274,11.079477222659104,307274,CAMERON
301489,303540,8.173180032815507,303540,CARSON
301489,303169,5.069250790622709,303169,LIGHTPIPE
