id,name,city,kv,lines,degree,max_link,gt20,gt25
304073,STATION B (CENTURY),LOS ANGELES,230,8,24,36.03155108848006,12,7
303169,LIGHTPIPE,LONG BEACH,230,9,23,32.81174229787261,5,3
306060,LAGUNA BELL,COMMERCE,230,12,20,31.79139949308128,8,6
308471,TORRANCE,TORRANCE,66,2,18,53.28326684977264,10,4
306844,LA FRESA,TORRANCE,230,12,17,48.36949387081934,4,4
306279,OLINDA,ROWLAND HEIGHTS,230,10,17,36.52478415047461,16,13
309758,YUKON,HAWTHORNE,66,5,16,25.06692639452648,5,1
304137,HALLDALE,LOS ANGELES,138,3,16,47.469020444181496,4,4
310504,BANDINI,VERNON,66,2,16,35.0797927561384,8,6
308806,MOBILOIL,TORRANCE,66,3,15,49.0827651093915,4,4
307274,CAMERON,LONG BEACH,69,1,15,26.02656521179837,7,1
310179,WILMINGTON (STATION C),LOS ANGELES,138,8,14,27.56395968401377,1,1
307564,JOSE,AVOCADO HEIGHTS,66,0,14,46.45398888542723,9,8
300627,IMPERIAL TERMINAL TOWER,WEST ATHENS,138,4,14,23.27965004765216,3,0
302187,DEL AMO,CERRITOS,230,10,13,26.498578934342067,6,2
306450,VERNON,VERNON,66,3,13,36.52478415047461,6,5
304450,HARBORGEN,LOS ANGELES,230,4,13,25.797594248339,6,2
300105,WALNUT,INDUSTRY,230,5,13,53.28326684977264,8,6
300232,CENTER,NORWALK,230,7,13,22.409045069246293,2,0
300390,HINSON,LONG BEACH,230,7,13,24.534324038154143,5,0
301614,PULPGEN,VERNON,66,3,12,33.47027239653252,4,3
303540,CARSON,COMPTON,66,1,12,23.120268021954782,1,0
306369,LA MIRADA,LA MIRADA,66,1,12,35.523264959057705,9,8
306224,LAKEWOOD,LONG BEACH,66,2,12,31.549801704801755,7,5
307039,ALAMITOS,LONG BEACH,230,7,11,33.88363032318888,6,4
310204,EL NIDO,HAWTHORNE,230,7,11,17.93582796459645,0,0
302164,BRIGHTON,GARDENA,115,2,11,21.179665007737302,2,0
308269,STATION F (VELASCO & KINETIC),LOS ANGELES,230,7,11,34.34749102125566,4,3
303099,STATION D (FAIRFAX),LOS ANGELES,138,8,11,17.93582796459645,0,0
301156,BEVERLY,BEVERLY HILLS,66,4,11,29.769568966856536,4,1
301543,SEPLUVEDA,EL SEGUNDO,66,0,10,17.136052637994368,0,0
301558,EAGLE ROCK,GLENDALE,230,9,10,39.35375198398226,4,2
300648,ROSEMEAD,ROSEMEAD,66,4,9,40.18015488218747,4,3
309156,FELTON,DEL AIRE,66,2,9,14.225015768873972,0,0
301637,STATION N (AIRPORT),LOS ANGELES,138,4,9,13.603908508905697,0,0
306623,GRAMERCY,LOS ANGELES,138,6,8,11.988621737640278,0,0
300429,STATION E (TOLUCA),LOS ANGELES,500,15,8,20.097178569833183,1,0
301194,STATION G (ATWATER),LOS ANGELES,230,8,8,30.662708653836624,2,1
300558,GANESHA,POMONA,66,5,7,43.56985398500446,6,5
