u,u_name,u_kv,u_lines,v,v_name,v_kv,v_lines,length_km
300105,WALNUT,230,5,308471,TORRANCE,66,2,53.28326684977264
300105,WALNUT,230,5,308806,MOBILOIL,66,3,49.0827651093915
300105,WALNUT,230,5,306844,LA FRESA,230,12,48.36949387081934
300105,WALNUT,230,5,304137,HALLDALE,138,3,47.469020444181496
307564,JOSE,66,0,308471,TORRANCE,66,2,46.45398888542723
300558,GANESHA,66,5,303371,GOODRICH,230,5,43.56985398500446
300829,GOULD,230,2,310199,SYLMAR WEST,230,11,42.41932158048181
307564,JOSE,66,0,308806,MOBILOIL,66,3,42.25348714504607
306844,LA FRESA,230,12,307564,JOSE,66,0,41.54021590647388
304137,HALLDALE,138,3,307564,JOSE,66,0,40.63974247983604
300558,GANESHA,66,5,300648,ROSEMEAD,66,4,40.18015488218747
301558,EAGLE ROCK,230,9,310199,SYLMAR WEST,230,11,39.35375198398226
306279,OLINDA,230,10,306450,VERNON,66,3,36.52478415047461
300558,GANESHA,66,5,307564,JOSE,66,0,36.03466184461197
304073,STATION B (CENTURY),230,8,306279,OLINDA,230,10,36.03155108848006
306369,LA MIRADA,66,1,306450,VERNON,66,3,35.523264959057705
300648,ROSEMEAD,66,4,307512,GRAYSON,230,2,35.09588969341382
308471,TORRANCE,66,2,310504,BANDINI,66,2,35.0797927561384
306279,OLINDA,230,10,307373,HAYNES,230,6,34.59815338154187
306369,LA MIRADA,66,1,307564,JOSE,66,0,34.439099897933
300105,WALNUT,230,5,304073,STATION B (CENTURY),230,8,34.35725439382627
306279,OLINDA,230,10,308269,STATION F (VELASCO & KINETIC),230,7,34.34749102125566
304073,STATION B (CENTURY),230,8,306369,LA MIRADA,66,1,34.04189426368978
306369,LA MIRADA,66,1,308269,STATION F (VELASCO & KINETIC),230,7,34.016803156999444
306279,OLINDA,230,10,307039,ALAMITOS,230,7,33.88363032318888
301614,PULPGEN,66,3,306279,OLINDA,230,10,33.47027239653252
304073,STATION B (CENTURY),230,8,307373,HAYNES,230,6,33.33198339671489
300105,WALNUT,230,5,303169,LIGHTPIPE,230,9,32.81174229787261
304073,STATION B (CENTURY),230,8,307039,ALAMITOS,230,7,32.6174603383619
301614,PULPGEN,66,3,306369,LA MIRADA,66,1,32.46875320511561
306279,OLINDA,230,10,310504,BANDINI,66,2,32.02485398976168
306060,LAGUNA BELL,230,12,308471,TORRANCE,66,2,31.79139949308128
306369,LA MIRADA,66,1,310504,BANDINI,66,2,31.69416612550547
306224,LAKEWOOD,66,2,306279,OLINDA,230,10,31.549801704801755
303169,LIGHTPIPE,230,9,306279,OLINDA,230,10,31.099171948040315
308806,MOBILOIL,66,3,310504,BANDINI,66,2,30.879291015757257
300648,ROSEMEAD,66,4,301194,STATION G (ATWATER),230,8,30.662708653836624
306844,LA FRESA,230,12,310504,BANDINI,66,2,30.1660197771851
301156,BEVERLY,66,4,310527,STATION A (ST. JOHN),230,5,29.769568966856536
300558,GANESHA,66,5,306279,OLINDA,230,10,29.66698256329769
304137,HALLDALE,138,3,310504,BANDINI,66,2,29.26554635054722
306279,OLINDA,230,10,306369,LA MIRADA,66,1,28.91611496583685
306224,LAKEWOOD,66,2,306450,VERNON,66,3,28.550997317181547
300829,GOULD,230,2,309569,STATION M(VALLEY),230,7,28.364981879469948
300558,GANESHA,66,5,305984,RIO HONDO,230,8,28.038178616496637
306060,LAGUNA BELL,230,12,308806,MOBILOIL,66,3,27.590897752700133
307039,ALAMITOS,230,7,310179,WILMINGTON (STATION C),138,8,27.56395968401377
304073,STATION B (CENTURY),230,8,307564,JOSE,66,0,27.52797642948083
306060,LAGUNA BELL,230,12,306279,OLINDA,230,10,27.168488599117985
306060,LAGUNA BELL,230,12,306369,LA MIRADA,66,1,27.076129991357558
306224,LAKEWOOD,66,2,308269,STATION F (VELASCO & KINETIC),230,7,27.044535515123275
306060,LAGUNA BELL,230,12,306844,LA FRESA,230,12,26.87762651412796
302187,DEL AMO,230,10,306279,OLINDA,230,10,26.498578934342067
306450,VERNON,66,3,307274,CAMERON,69,1,26.02656521179837
303169,LIGHTPIPE,230,9,307564,JOSE,66,0,25.98246433352716
304137,HALLDALE,138,3,306060,LAGUNA BELL,230,12,25.9771530874901
304450,HARBORGEN,230,4,307039,ALAMITOS,230,7,25.797594248339
302187,DEL AMO,230,10,306450,VERNON,66,3,25.65865379736217
304073,STATION B (CENTURY),230,8,306224,LAKEWOOD,66,2,25.599739242051104
301614,PULPGEN,66,3,306224,LAKEWOOD,66,2,25.49648556323944
301558,EAGLE ROCK,230,9,309569,STATION M(VALLEY),230,7,25.2994122829704
304450,HARBORGEN,230,4,309758,YUKON,66,5,25.06692639452648
307039,ALAMITOS,230,7,307274,CAMERON,69,1,24.74751262416218
306224,LAKEWOOD,66,2,310504,BANDINI,66,2,24.721898483629285
301541,MESA,230,9,306279,OLINDA,230,10,24.608273001110387
300648,ROSEMEAD,66,4,301558,EAGLE ROCK,230,9,24.58479035814086
300390,HINSON,230,7,307039,ALAMITOS,230,7,24.534324038154143
301156,BEVERLY,66,4,301194,STATION G (ATWATER),230,8,24.317171546887643
302187,DEL AMO,230,10,308269,STATION F (VELASCO & KINETIC),230,7,24.1521919953039
302187,DEL AMO,230,10,304073,STATION B (CENTURY),230,8,24.08457356423589
307274,CAMERON,69,1,309758,YUKON,66,5,24.04049727387324
300390,HINSON,230,7,309758,YUKON,66,5,23.826370174349066
300105,WALNUT,230,5,306060,LAGUNA BELL,230,12,23.300261491810996
300627,IMPERIAL TERMINAL TOWER,138,4,304450,HARBORGEN,230,4,23.27965004765216
303540,CARSON,66,1,306450,VERNON,66,3,23.120268021954782
308581,STATION Q (HARBOR),138,3,309758,YUKON,66,5,23.117498761153847
304073,STATION B (CENTURY),230,8,304450,HARBORGEN,230,4,23.04740647016956
304450,HARBORGEN,230,4,308471,TORRANCE,66,2,22.799647012271013
301100,UNKNOWN301100,230,1,301156,BEVERLY,66,4,22.657908089060665
301614,PULPGEN,66,3,302187,DEL AMO,230,10,22.604142043420065
300105,WALNUT,230,5,300232,CENTER,230,7,22.409045069246293
300627,IMPERIAL TERMINAL TOWER,138,4,307274,CAMERON,69,1,22.25322092699892
300408,PUENTE,66,5,300558,GANESHA,66,5,22.16647429190498
300390,HINSON,230,7,300627,IMPERIAL TERMINAL TOWER,138,4,22.03909382747475
304073,STATION B (CENTURY),230,8,307274,CAMERON,69,1,22.02097734951632
302187,DEL AMO,230,10,310504,BANDINI,66,2,21.82955496380993
300390,HINSON,230,7,304073,STATION B (CENTURY),230,8,21.806850249992152
307512,GRAYSON,230,2,307785,WABASH,69,4,21.79678381435317
307274,CAMERON,69,1,308471,TORRANCE,66,2,21.77321789161777
301558,EAGLE ROCK,230,9,308907,NEWMARK,66,3,21.60708441350702
300390,HINSON,230,7,308471,TORRANCE,66,2,21.5590907920936
302164,BRIGHTON,115,2,304450,HARBORGEN,230,4,21.179665007737302
303169,LIGHTPIPE,230,9,309758,YUKON,66,5,21.07502262323936
300232,CENTER,230,7,306279,OLINDA,230,10,20.921363370753166
304073,STATION B (CENTURY),230,8,308471,TORRANCE,66,2,20.777019285461225
308471,TORRANCE,66,2,308581,STATION Q (HARBOR),138,3,20.623242885881904
303169,LIGHTPIPE,230,9,308471,TORRANCE,66,2,20.546387351888665
301156,BEVERLY,66,4,308494,AIRWAY,230,6,20.42425129706449
306279,OLINDA,230,10,307564,JOSE,66,0,20.40168477311998
306369,LA MIRADA,66,1,307373,HAYNES,230,6,20.19833016732273
302164,BRIGHTON,115,2,307274,CAMERON,69,1,20.153235887084065
306060,LAGUNA BELL,230,12,306224,LAKEWOOD,66,2,20.10386234948137
300429,STATION E (TOLUCA),500,15,301214,OLIVE,230,2,20.097178569833183
300390,HINSON,230,7,302164,BRIGHTON,115,2,19.939108787559896
309758,YUKON,66,5,310179,WILMINGTON (STATION C),138,8,19.90006380783669
304450,HARBORGEN,230,4,306844,LA FRESA,230,12,19.632764318239506
