substation_id,NAME,CITY,degree,mean_link_km,median_link_km,max_link_km,links_gt20km,links_gt25km,links_gt30km,MAX_VOLT_N,LINES_N,sanity_flag_old,long_edge_load,current_suspicion
309758,YUKON,HAWTHORNE,26,16.56340972974865,16.07151457500369,30.16037155914449,9,4,1,66,5,suspicious_high_degree_low_hub_evidence,0.34615384615384615,high_degree_many_gt20km_links
304450,HARBORGEN,LOS ANGELES,22,15.890274931414524,17.5659227363129,25.797594248339,9,2,0,230,4,ok,0.4090909090909091,high_degree_many_gt20km_links
308540,LONG BEACH,LONG BEACH,21,18.03210812968516,20.148826266051856,27.29071200355553,11,3,0,230,4,ok,0.5238095238095238,high_degree_many_gt20km_links
300390,HINSON,LONG BEACH,21,15.05062086721046,17.358589051712453,24.534324038154143,8,0,0,230,7,ok,0.38095238095238093,high_degree_many_gt20km_links
307274,CAMERON,LONG BEACH,20,15.693383297969328,18.089525674411444,24.747512624162173,9,0,0,69,1,suspicious_high_degree_low_hub_evidence,0.45,high_degree_many_gt20km_links
306844,LA FRESA,TORRANCE,37,17.600842620192882,15.640860546952382,50.06762772759663,9,6,5,230,12,ok,0.24324324324324326,high_degree_many_gt25km_links
306268,WESTEX,SIGNAL HILL,35,24.328832963019394,24.485527917078965,43.55201564874827,23,16,7,66,2,suspicious_high_degree_low_hub_evidence,0.6571428571428571,high_degree_many_gt25km_links
308471,TORRANCE,TORRANCE,35,22.161172463825217,20.62324288588192,54.98140070654998,20,10,6,66,2,suspicious_high_degree_low_hub_evidence,0.5714285714285714,high_degree_many_gt25km_links
303169,LIGHTPIPE,LONG BEACH,35,17.5278281194803,15.640860546952382,34.509876154649845,10,6,4,230,9,ok,0.2857142857142857,high_degree_many_gt25km_links
304073,STATION B (CENTURY),LOS ANGELES,34,21.69808990129704,21.913913799754233,36.05538825060351,20,10,7,230,8,ok,0.5882352941176471,high_degree_many_gt25km_links
305084,VICTORIA,REDONDO BEACH,33,20.854262240279173,20.550192769296988,54.98520612395827,17,7,6,66,3,suspicious_high_degree_low_hub_evidence,0.5151515151515151,high_degree_many_gt25km_links
301489,BULLIS,COMPTON,30,19.23275140215805,17.32716195724846,35.5796633898194,10,6,4,66,2,suspicious_high_degree_low_hub_evidence,0.3333333333333333,high_degree_many_gt25km_links
306060,LAGUNA BELL,COMMERCE,27,19.361464777125146,20.103862349481386,39.35518633420335,14,9,4,230,12,ok,0.5185185185185185,high_degree_many_gt25km_links
304137,HALLDALE,LOS ANGELES,26,18.76999898305252,14.467138158284587,49.16715430095878,7,6,4,138,3,mixed_evidence,0.2692307692307692,high_degree_many_gt25km_links
310504,BANDINI,VERNON,25,22.385317580772952,24.721898483629296,42.643579597260505,15,12,8,66,2,suspicious_high_degree_low_hub_evidence,0.6,high_degree_many_gt25km_links
308216,ROLLING HILLS,TORRANCE,25,28.58021487756227,22.827464962974787,62.54518754767205,17,11,7,66,1,suspicious_high_degree_low_hub_evidence,0.68,high_degree_many_gt25km_links
304731,REDONDO,REDONDO BEACH,24,25.455757493586816,23.378013026855786,56.69325939155004,16,9,7,66,1,suspicious_high_degree_low_hub_evidence,0.6666666666666666,high_degree_many_gt25km_links
308806,MOBILOIL,TORRANCE,24,20.67750775286079,17.465652601474538,50.78089896616881,8,7,5,66,3,suspicious_high_degree_low_hub_evidence,0.3333333333333333,high_degree_many_gt25km_links
305984,RIO HONDO,IRWINDALE,23,34.433383266310535,34.39519481502211,62.43050620804419,17,15,12,230,8,ok,0.7391304347826086,high_degree_many_gt25km_links
307564,JOSE,AVOCADO HEIGHTS,21,29.572675483522218,27.52797642948083,54.0177757265493,14,13,10,66,0,suspicious_high_degree_low_hub_evidence,0.6666666666666666,high_degree_many_gt25km_links
300105,WALNUT,INDUSTRY,20,33.93554543701835,34.119391963434204,60.847053690894725,15,13,12,230,5,mixed_evidence,0.75,high_degree_many_gt25km_links
300408,PUENTE,INDUSTRY,20,34.473715432542356,35.04476977223462,62.54518754767205,15,12,11,66,5,suspicious_high_degree_low_hub_evidence,0.75,high_degree_many_gt25km_links
310179,WILMINGTON (STATION C),LOS ANGELES,23,13.787155030520807,15.349934288730111,27.56395968401377,1,1,0,138,8,ok,0.043478260869565216,ok
300627,IMPERIAL TERMINAL TOWER,WEST ATHENS,20,14.481677285672083,12.422212568887431,28.37309521227016,6,1,0,138,4,ok,0.3,ok
303099,STATION D (FAIRFAX),LOS ANGELES,20,13.40194433618915,13.217259920409397,29.379225041873912,3,1,0,138,8,ok,0.15,ok
306279,OLINDA,ROWLAND HEIGHTS,19,29.761742564075643,31.549801704801755,39.07758489967489,18,15,11,230,10,ok,0.9473684210526315,ok
301543,SEPLUVEDA,EL SEGUNDO,19,9.029238650729452,9.725182912840022,17.136052637994368,0,0,0,66,0,ok,0.0,ok
302297,TRISONIC,EL SEGUNDO,19,9.046553400019468,9.7812644208358,16.453246735611838,0,0,0,66,1,ok,0.0,ok
