degree,n_nodes,share_nodes
1,9,0.09782608695652174
2,10,0.10869565217391304
3,8,0.08695652173913043
4,9,0.09782608695652174
5,5,0.05434782608695652
6,11,0.11956521739130435
7,8,0.08695652173913043
8,6,0.06521739130434782
9,3,0.03260869565217391
10,4,0.043478260869565216
11,1,0.010869565217391304
12,2,0.021739130434782608
13,2,0.021739130434782608
14,2,0.021739130434782608
15,5,0.05434782608695652
16,2,0.021739130434782608
17,3,0.03260869565217391
18,1,0.010869565217391304
20,1,0.010869565217391304
