substation_id,degree,NAME,CITY,Owner,MAX_VOLT,LINES,role_key,role_text,is_source,source_role_score,MAX_VOLT_N,LINES_N,is_role_hub,is_voltage_hub,is_line_hub,hub_evidence_count,sanity_flag,threshold
302164,20,BRIGHTON,GARDENA,SCE,115,2,,,,,115,2,False,False,False,0,suspicious_high_degree_low_hub_evidence,none
308471,18,TORRANCE,TORRANCE,SCE,66,2,,,,,66,2,False,False,False,0,ok,none
303169,17,LIGHTPIPE,LONG BEACH,SCE,230,9,transit,transit transit_hub_not_source,False,0.6,230,9,True,True,True,3,ok,none
304137,17,HALLDALE,LOS ANGELES,LADWP,138,3,,,,,138,3,False,True,False,1,ok,none
306844,17,LA FRESA,TORRANCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,none
303540,16,CARSON,COMPTON,SCE,66,1,,,,,66,1,False,False,False,0,ok,none
306450,16,VERNON,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,none
300232,15,CENTER,NORWALK,SCE,230,7,,,,,230,7,False,True,True,2,ok,none
310179,15,WILMINGTON (STATION C),LOS ANGELES,LADWP,138,8,transit,transit transit_hub_not_source,False,0.6,138,8,True,True,True,3,ok,none
308806,15,MOBILOIL,TORRANCE,SCE,66,3,,,,,66,3,False,False,False,0,ok,none
301614,15,PULPGEN,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,none
306279,15,OLINDA,ROWLAND HEIGHTS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,none
306060,14,LAGUNA BELL,COMMERCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,none
309758,14,YUKON,HAWTHORNE,SCE,66,5,,,,,66,5,False,False,False,0,ok,none
309042,13,RIVER,LOS ANGELES,LADWP,230,9,,,,,230,9,False,True,True,2,ok,none
304450,13,HARBORGEN,LOS ANGELES,SCE,230,4,core,core in_basin_generation_proxy,True,1.0,230,4,True,True,False,2,ok,none
300390,12,HINSON,LONG BEACH,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,none
300105,12,WALNUT,INDUSTRY,SCE,230,5,,,,,230,5,False,True,False,1,ok,none
300429,11,STATION E (TOLUCA),LOS ANGELES,LADWP,500,15,transit,transit transit_hub_not_source,False,0.6,500,15,True,True,True,3,ok,none
301105,10,STATION K (OLYMPIC),LOS ANGELES,LADWP,230,8,transit,transit transit_hub_not_source,False,0.6,230,8,True,True,True,3,ok,none
309156,10,FELTON,DEL AIRE,SCE,66,2,,,,,66,2,False,False,False,0,ok,none
