u,v,length_km,straight_line_km,length_to_straight_ratio,u_degree,v_degree,length_bin_km
303371,306489,58.9341252369355,40.39168473467927,1.4590657860412584,7,6,50-100
303371,310199,58.32346444986524,40.999045634884865,1.4225566362998348,7,8,50-100
300105,308471,56.3962802392762,41.512554117537185,1.3585355427564818,12,18,50-100
300105,302164,54.87252018221172,35.46463548441791,1.5472461349932962,12,20,50-100
306279,308471,54.78028973436471,41.13008546042838,1.3318788210899613,15,18,50-100
302164,306279,53.25652967730015,36.353867944339726,1.464948097375486,20,15,50-100
300105,308806,52.236762518711565,39.17902142420901,1.3332840030158097,12,15,50-100
300105,304137,50.62301785350153,37.22343276648126,1.3599771458769447,12,17,50-100
306279,308806,50.62077201379999,39.238234603253126,1.290087908532031,15,15,50-100
304137,306279,49.00702734858997,36.903949815694915,1.3279615757483967,17,15,20-50
308494,308786,48.83652907672098,19.636902170772252,2.486977255985403,9,10,20-50
304073,307373,45.80715353603437,25.1784370126093,1.8193009166174317,5,4,20-50
300829,306489,44.97099921984304,28.89970927090447,1.5561055925610559,4,6,20-50
300829,310199,44.36033843277278,29.553154744502972,1.5010356361709238,4,8,20-50
300558,303371,43.790491431352905,30.664030035361886,1.4280735891809893,5,7,20-50
309758,309042,42.83136207930241,16.364840216036175,2.6172795770612693,14,13,20-50
300105,303540,41.98023266153887,29.425928438079403,1.426640887470291,12,16,20-50
301558,306489,41.9141840114924,32.70768200856615,1.2814782778099367,10,6,20-50
301558,310199,41.30352322442215,33.253070794817766,1.2420965113050246,10,8,20-50
308471,309042,40.51004283511524,25.38647137868827,1.595733500368353,18,13,20-50
300558,300648,40.3711423349292,28.616776952181194,1.4107508473924097,5,8,20-50
303540,306279,40.36424215662736,28.737177350134733,1.4046000991965244,16,15,20-50
300429,308786,40.23044870748413,19.53329274956149,2.0595835644959184,11,10,20-50
309042,307373,38.99816334620089,32.82467576500805,1.1880745944114985,13,4,20-50
302164,309042,38.98628277805072,16.810154122380453,2.3192103114715494,20,13,20-50
