substation_id,NAME,CITY,MAX_VOLT_N,LINES_N,degree_no_cutoff,degree_le20,degree_le18,max_link_km,links_gt20km,links_gt25km
306268,WESTEX,SIGNAL HILL,66,2,35,12,12,43.55201564874827,23,16
308471,TORRANCE,TORRANCE,66,2,35,15,15,54.98140070654998,20,10
305084,VICTORIA,REDONDO BEACH,66,3,33,16,14,54.98520612395827,17,7
301489,BULLIS,COMPTON,66,2,30,20,18,35.5796633898194,10,6
309758,YUKON,HAWTHORNE,66,5,26,17,16,30.16037155914449,9,4
310504,BANDINI,VERNON,66,2,25,10,10,42.643579597260505,15,12
308216,ROLLING HILLS,TORRANCE,66,1,25,8,7,62.54518754767205,17,11
304731,REDONDO,REDONDO BEACH,66,1,24,8,7,56.69325939155004,16,9
308806,MOBILOIL,TORRANCE,66,3,24,16,14,50.78089896616881,8,7
307564,JOSE,AVOCADO HEIGHTS,66,0,21,7,7,54.0177757265493,14,13
300408,PUENTE,INDUSTRY,66,5,20,5,4,62.54518754767205,15,12
307274,CAMERON,LONG BEACH,69,1,20,11,10,24.747512624162173,9,0
