nodes_removed,lcc_size,lcc_fraction
0,50,1.0
1,49,0.98
2,48,0.96
3,47,0.94
4,46,0.92
5,45,0.9
6,44,0.88
7,43,0.86
8,42,0.84
9,41,0.82
10,40,0.8
11,39,0.78
12,38,0.76
13,37,0.74
14,36,0.72
15,35,0.7
16,34,0.68
17,33,0.66
18,32,0.64
19,31,0.62
20,29,0.58
21,28,0.56
22,27,0.54
23,26,0.52
24,25,0.5
25,24,0.48
26,23,0.46
27,22,0.44
28,21,0.42
29,20,0.4
30,19,0.38
31,18,0.36
32,16,0.32
33,15,0.3
34,14,0.28
35,13,0.26
36,12,0.24
37,11,0.22
38,11,0.22
39,11,0.22
40,9,0.18
41,8,0.16
42,8,0.16
43,7,0.14
44,6,0.12
45,5,0.1
46,4,0.08
47,3,0.06
48,2,0.04
49,1,0.02
50,0,0.0
