endpoint_key,line_row_index,line_part_index,endpoint_type,original_x,original_y,repaired_x,repaired_y,repair_type,cluster_id,nearest_substation_id,nearest_substation_name,nearest_distance_m,second_nearest_substation_id,second_nearest_distance_m,snap_decision_reason,repair_type_at300,snap_decision_reason_at300,nearest_distance_m_at300,nearest_substation_id_at300,nearest_substation_name_at300
459:0:end,459,0,end,170908.2127927203,-446982.7082955609,171165.2551613045,-447148.383494264,substation_snap_secondary,,306060,LAGUNA BELL,305.80884668805186,310504,3089.645918882602,secondary_tier_guard_passed,none,outside_secondary_tolerance,305.80884668805186,306060,LAGUNA BELL
1205:0:end,1205,0,end,170908.2127927203,-446982.7082955609,171165.2551613045,-447148.383494264,substation_snap_secondary,,306060,LAGUNA BELL,305.80884668805186,310504,3089.645918882602,secondary_tier_guard_passed,none,outside_secondary_tolerance,305.80884668805186,306060,LAGUNA BELL
1746:0:start,1746,0,start,151278.31973364353,-445242.8183407071,151579.70104440782,-445301.13351933844,substation_snap_secondary,,301745,WINDSOR HILLS,306.97126011535374,305885,869.712701598323,secondary_tier_guard_passed,none,outside_secondary_tolerance,306.97126011535374,301745,WINDSOR HILLS
1634:0:start,1634,0,start,149717.1459327045,-455971.55040667905,149423.76210344932,-456073.38173884526,substation_snap_secondary,,307832,UNKNOWN307832,310.553846344203,310204,900.6949609039125,secondary_tier_guard_passed,none,outside_secondary_tolerance,310.553846344203,307832,UNKNOWN307832
403:0:end,403,0,end,138872.41977880173,-410274.64411570365,139005.63040837803,-410556.0786247724,substation_snap_secondary,,310199,SYLMAR WEST,311.3686797461621,306489,892.1862336026911,secondary_tier_guard_passed,none,outside_secondary_tolerance,311.3686797461621,310199,SYLMAR WEST
1526:0:end,1526,0,end,162967.73482210652,-471345.5878769392,163281.61319800356,-471328.0941045247,substation_snap_secondary,,309853,DOCK,314.3654989483632,308367,1474.1702713211698,secondary_tier_guard_passed,none,outside_secondary_tolerance,314.3654989483632,309853,DOCK
89:0:start,89,0,start,150895.6695631502,-425217.87679472985,151198.13641010935,-425312.73033471685,substation_snap_secondary,,300429,STATION E (TOLUCA),316.99114744337965,306768,6385.142807642073,secondary_tier_guard_passed,none,outside_secondary_tolerance,316.99114744337965,300429,STATION E (TOLUCA)
88:0:start,88,0,start,150895.6695631502,-425217.87679472985,151198.13641010935,-425312.73033471685,substation_snap_secondary,,300429,STATION E (TOLUCA),316.99114744337965,306768,6385.142807642073,secondary_tier_guard_passed,none,outside_secondary_tolerance,316.99114744337965,300429,STATION E (TOLUCA)
87:0:end,87,0,end,150895.6695631502,-425217.87679472985,151198.13641010935,-425312.73033471685,substation_snap_secondary,,300429,STATION E (TOLUCA),316.99114744337965,306768,6385.142807642073,secondary_tier_guard_passed,none,outside_secondary_tolerance,316.99114744337965,300429,STATION E (TOLUCA)
1174:0:start,1174,0,start,182441.55175987893,-440444.60812847223,182307.53163015153,-440154.47910251375,substation_snap_secondary,,307564,JOSE,319.58762002894525,300105,7465.157054347209,secondary_tier_guard_passed,none,outside_secondary_tolerance,319.58762002894525,307564,JOSE
1687:0:start,1687,0,start,148363.9936696304,-454201.4128301679,148264.75427381444,-453895.3524330971,substation_snap_secondary,,301543,SEPLUVEDA,321.7474542821959,302297,1088.5967083337912,secondary_tier_guard_passed,none,outside_secondary_tolerance,321.7474542821959,301543,SEPLUVEDA
1704:0:end,1704,0,end,150783.02683500634,-456574.9247380374,150501.65100097997,-456414.04697214346,substation_snap_secondary,,310204,EL NIDO,324.12037198093805,307832,1448.84298338137,secondary_tier_guard_passed,none,outside_secondary_tolerance,324.12037198093805,310204,EL NIDO
1173:0:end,1173,0,end,182590.80107882057,-439991.68177670427,182307.53163015153,-440154.47910251375,substation_snap_secondary,,307564,JOSE,326.7178443856179,300105,7509.9541237414105,secondary_tier_guard_passed,none,outside_secondary_tolerance,326.7178443856179,307564,JOSE
1145:0:start,1145,0,start,189226.09926885727,-442917.7594929361,189372.4181921328,-443217.992404826,substation_snap_secondary,,300105,WALNUT,333.98956374474614,300408,1933.5407047188053,secondary_tier_guard_passed,none,outside_secondary_tolerance,333.98956374474614,300105,WALNUT
1756:0:start,1756,0,start,164677.217063825,-445016.9474151544,164424.03309801887,-444797.11048293626,substation_snap_secondary,,306450,VERNON,335.30642300500415,301614,1066.063364430288,secondary_tier_guard_passed,none,outside_secondary_tolerance,335.30642300500415,306450,VERNON
1446:0:start,1446,0,start,163423.29722454946,-437348.28682559496,163732.74109872337,-437201.99799415004,substation_snap_secondary,,310527,STATION A (ST. JOHN),342.28048946628877,309042,3109.244787398314,secondary_tier_guard_passed,none,outside_secondary_tolerance,342.28048946628877,310527,STATION A (ST. JOHN)
411:0:end,411,0,end,138810.42471540108,-410273.6818104326,139005.63040837803,-410556.0786247724,substation_snap_secondary,,310199,SYLMAR WEST,343.297572551677,306489,953.913687154873,secondary_tier_guard_passed,none,outside_secondary_tolerance,343.297572551677,310199,SYLMAR WEST
396:0:start,396,0,start,138856.7865600189,-410243.37780141085,139005.63040837803,-410556.0786247724,substation_snap_secondary,,310199,SYLMAR WEST,346.3182006844692,306489,911.715472574126,secondary_tier_guard_passed,none,outside_secondary_tolerance,346.3182006844692,310199,SYLMAR WEST
1428:0:end,1428,0,end,167621.1905384955,-439868.10081718303,167442.6266350595,-439566.35123281693,substation_snap_secondary,,307785,WABASH,350.6249838151985,302798,2153.263252028714,secondary_tier_guard_passed,none,outside_secondary_tolerance,350.6249838151985,307785,WABASH
1749:0:end,1749,0,end,145659.97256146694,-454803.3666933067,145841.34342470195,-455105.252727353,substation_snap_secondary,,309703,EL SEGUNDO,352.1797376096667,309553,862.3102752961178,secondary_tier_guard_passed,none,outside_secondary_tolerance,352.1797376096667,309703,EL SEGUNDO
1599:0:end,1599,0,end,154226.84053249177,-454091.9752995833,154001.90165146007,-453820.48776830547,substation_snap_secondary,,309758,YUKON,352.5662772290031,300627,2376.399842655358,secondary_tier_guard_passed,none,outside_secondary_tolerance,352.5662772290031,309758,YUKON
1363:0:end,1363,0,end,159053.0733106653,-427728.40457388293,158811.2921184606,-427459.57952151494,substation_snap_secondary,,307512,GRAYSON,361.5591980361853,308494,709.265368593032,secondary_tier_guard_passed,none,outside_secondary_tolerance,361.5591980361853,307512,GRAYSON
1568:0:end,1568,0,end,142380.4374192536,-441017.62733933283,142206.09069718447,-441335.49926343653,substation_snap_secondary,,301105,STATION K (OLYMPIC),362.54563799561,302171,1376.1663500763984,secondary_tier_guard_passed,none,outside_secondary_tolerance,362.54563799561,301105,STATION K (OLYMPIC)
