src,src_name,tgt,tgt_name,length_km,path_nodes_count,near_other_substations_le_3px,near_other_substations_le_5px,near_other_substations_le_8px,near_other_substations_le_12px,nearest_other_1,nearest_other_2,nearest_other_3
304731,REDONDO,308540,LONG BEACH,26.06,156,4,4,5,6,304450 HARBORGEN (1.16px),308806 MOBILOIL (1.67px),308367 FUEL (2.03px)
304731,REDONDO,306365,ARCOGEN,25.42,157,3,3,5,5,300390 HINSON (1.59px),308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px)
303099,STATION D (FAIRFAX),308471,TORRANCE,29.38,196,1,1,4,7,310204 EL NIDO (2.11px),301637 STATION N (AIRPORT) (5.03px),309156 FELTON (5.68px)
308471,TORRANCE,308786,LA CIENEGA,25.59,178,2,2,4,6,306444 STANHILL (0.87px),310204 EL NIDO (2.11px),301637 STATION N (AIRPORT) (5.03px)
306444,STANHILL,308471,TORRANCE,25.17,177,1,1,4,6,310204 EL NIDO (2.11px),301637 STATION N (AIRPORT) (5.03px),308786 LA CIENEGA (5.51px)
305084,VICTORIA,308540,LONG BEACH,24.35,143,3,3,4,5,304450 HARBORGEN (1.16px),308806 MOBILOIL (1.67px),308367 FUEL (2.03px)
308471,TORRANCE,308540,LONG BEACH,24.35,139,2,3,4,5,304450 HARBORGEN (1.16px),308367 FUEL (2.03px),308806 MOBILOIL (4.60px)
305084,VICTORIA,306365,ARCOGEN,23.71,144,2,2,4,4,300390 HINSON (1.59px),308806 MOBILOIL (1.67px),304137 HALLDALE (7.00px)
306365,ARCOGEN,308471,TORRANCE,23.71,140,1,2,4,4,300390 HINSON (1.59px),308806 MOBILOIL (4.60px),304137 HALLDALE (7.00px)
304731,REDONDO,307274,CAMERON,23.49,162,2,3,4,5,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),300390 HINSON (4.43px)
300390,HINSON,304731,REDONDO,23.27,149,2,2,4,5,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),307274 CAMERON (6.18px)
