node,node_name,first_segment_reuse_count,segment_start,segment_end
306268,WESTEX,17,"(596.29, 663.35)","(596.5, 663.28)"
306268,WESTEX,11,"(596.27, 665.0)","(596.5, 663.28)"
306268,WESTEX,1,"(882.17, 420.35)","(882.43, 419.94)"
306268,WESTEX,1,"(560.62, 556.92)","(561.31, 554.07)"
306268,WESTEX,1,"(560.05, 435.16)","(561.4, 433.58)"
308471,TORRANCE,16,"(400.2, 640.71)","(401.73, 641.25)"
308471,TORRANCE,6,"(399.84, 639.61)","(400.2, 640.71)"
308471,TORRANCE,1,"(882.17, 420.35)","(882.43, 419.94)"
308471,TORRANCE,1,"(560.62, 556.92)","(561.31, 554.07)"
308471,TORRANCE,1,"(339.33, 530.78)","(340.51, 534.19)"
305084,VICTORIA,19,"(364.31, 606.8)","(365.57, 604.89)"
305084,VICTORIA,8,"(364.9, 604.15)","(365.57, 604.89)"
305084,VICTORIA,1,"(882.17, 420.35)","(882.43, 419.94)"
305084,VICTORIA,1,"(560.62, 556.92)","(561.31, 554.07)"
305084,VICTORIA,1,"(339.33, 530.78)","(340.51, 534.19)"
301489,BULLIS,17,"(560.62, 556.92)","(561.31, 554.07)"
301489,BULLIS,12,"(560.39, 554.29)","(561.31, 554.07)"
301489,BULLIS,1,"(882.17, 420.35)","(882.43, 419.94)"
308216,ROLLING HILLS,18,"(387.86, 667.04)","(388.11, 667.57)"
308216,ROLLING HILLS,1,"(882.17, 420.35)","(882.43, 419.94)"
308216,ROLLING HILLS,1,"(560.62, 556.92)","(561.31, 554.07)"
308216,ROLLING HILLS,1,"(546.63, 598.11)","(548.73, 598.62)"
308216,ROLLING HILLS,1,"(349.51, 617.89)","(349.92, 617.71)"
304731,REDONDO,21,"(349.51, 617.89)","(349.92, 617.71)"
304731,REDONDO,1,"(882.17, 420.35)","(882.43, 419.94)"
304731,REDONDO,1,"(560.62, 556.92)","(561.31, 554.07)"
304731,REDONDO,1,"(546.63, 598.11)","(548.73, 598.62)"
