node,node_name,rank,other,other_name,length_km,path_nodes_count
306268,WESTEX,1,300408,PUENTE,43.55,264
306268,WESTEX,2,305984,RIO HONDO,43.44,231
306268,WESTEX,3,300105,WALNUT,41.85,244
306268,WESTEX,4,306279,OLINDA,39.08,310
306268,WESTEX,5,307564,JOSE,35.02,205
306268,WESTEX,6,304731,REDONDO,31.34,186
306268,WESTEX,7,309758,YUKON,30.16,190
306268,WESTEX,8,308216,ROLLING HILLS,29.94,202
308471,TORRANCE,1,300408,PUENTE,54.98,328
308471,TORRANCE,2,305984,RIO HONDO,54.87,295
308471,TORRANCE,3,300105,WALNUT,53.28,308
308471,TORRANCE,4,307564,JOSE,46.45,269
308471,TORRANCE,5,310504,BANDINI,35.08,221
308471,TORRANCE,6,306060,LAGUNA BELL,31.79,202
308471,TORRANCE,7,306268,WESTEX,29.63,169
308471,TORRANCE,8,303099,STATION D (FAIRFAX),29.38,196
305084,VICTORIA,1,300408,PUENTE,54.99,332
305084,VICTORIA,2,305984,RIO HONDO,54.87,299
305084,VICTORIA,3,300105,WALNUT,53.29,312
305084,VICTORIA,4,307564,JOSE,46.46,273
305084,VICTORIA,5,310504,BANDINI,35.08,225
305084,VICTORIA,6,306060,LAGUNA BELL,31.8,206
305084,VICTORIA,7,306268,WESTEX,29.64,173
305084,VICTORIA,8,308540,LONG BEACH,24.35,143
301489,BULLIS,1,300408,PUENTE,35.58,211
301489,BULLIS,2,305984,RIO HONDO,35.46,178
301489,BULLIS,3,306279,OLINDA,34.19,279
301489,BULLIS,4,300105,WALNUT,33.88,191
301489,BULLIS,5,308216,ROLLING HILLS,29.76,208
301489,BULLIS,6,307564,JOSE,27.05,152
301489,BULLIS,7,304731,REDONDO,23.9,156
301489,BULLIS,8,309758,YUKON,22.7,141
308216,ROLLING HILLS,1,300408,PUENTE,62.55,397
308216,ROLLING HILLS,2,305984,RIO HONDO,62.43,364
308216,ROLLING HILLS,3,300105,WALNUT,60.85,377
308216,ROLLING HILLS,4,307564,JOSE,54.02,338
308216,ROLLING HILLS,5,310504,BANDINI,42.64,290
308216,ROLLING HILLS,6,307039,ALAMITOS,41.25,268
308216,ROLLING HILLS,7,306060,LAGUNA BELL,39.36,271
308216,ROLLING HILLS,8,306268,WESTEX,29.94,202
304731,REDONDO,1,300408,PUENTE,56.69,345
304731,REDONDO,2,305984,RIO HONDO,56.58,312
304731,REDONDO,3,300105,WALNUT,55.0,325
304731,REDONDO,4,307564,JOSE,48.17,286
304731,REDONDO,5,310504,BANDINI,36.79,238
304731,REDONDO,6,306060,LAGUNA BELL,33.5,219
304731,REDONDO,7,306268,WESTEX,31.34,186
304731,REDONDO,8,308540,LONG BEACH,26.06,156
