node,node_name,neighbor,neighbor_name,neighbor_city,neighbor_voltage,neighbor_lines,length_km,path_nodes_count,path_segments_count,bbox
301489,BULLIS,300408,PUENTE,INDUSTRY,66,5,35.58,211,210,"[559.81, 391.5, 882.43, 554.29]"
301489,BULLIS,305984,RIO HONDO,IRWINDALE,230,8,35.46,178,177,"[559.81, 300.98, 824.49, 554.29]"
301489,BULLIS,306279,OLINDA,ROWLAND HEIGHTS,230,10,34.19,279,278,"[559.81, 497.48, 892.02, 555.57]"
301489,BULLIS,300105,WALNUT,INDUSTRY,230,5,33.88,191,190,"[559.81, 391.5, 859.94, 554.29]"
301489,BULLIS,308216,ROLLING HILLS,TORRANCE,66,1,29.76,208,207,"[356.5, 554.07, 577.27, 669.31]"
301489,BULLIS,307564,JOSE,AVOCADO HEIGHTS,66,0,27.05,152,151,"[559.81, 383.67, 775.28, 554.29]"
301489,BULLIS,304731,REDONDO,REDONDO BEACH,66,1,23.9,156,155,"[349.51, 554.07, 577.27, 618.4]"
301489,BULLIS,309758,YUKON,HAWTHORNE,66,5,22.7,141,140,"[411.6, 531.04, 577.27, 590.16]"
301489,BULLIS,305084,VICTORIA,REDONDO BEACH,66,3,22.2,143,142,"[364.31, 554.07, 577.27, 607.41]"
301489,BULLIS,308471,TORRANCE,TORRANCE,66,2,22.19,139,138,"[400.2, 554.07, 577.27, 641.25]"
301489,BULLIS,309042,RIVER,LOS ANGELES,230,9,18.97,117,116,"[522.08, 384.63, 571.37, 554.29]"
301489,BULLIS,302164,BRIGHTON,GARDENA,115,2,18.81,126,125,"[438.05, 551.14, 577.27, 590.14]"
301489,BULLIS,308806,MOBILOIL,TORRANCE,66,3,17.99,114,113,"[413.68, 554.07, 577.27, 606.99]"
301489,BULLIS,310179,WILMINGTON (STATION C),LOS ANGELES,138,8,17.62,97,96,"[499.85, 554.07, 580.34, 680.01]"
301489,BULLIS,308540,LONG BEACH,LONG BEACH,230,4,17.38,85,84,"[537.09, 554.07, 580.34, 719.95]"
301489,BULLIS,306844,LA FRESA,TORRANCE,230,12,17.28,112,111,"[413.41, 554.07, 577.27, 591.54]"
301489,BULLIS,304137,HALLDALE,LOS ANGELES,138,3,16.38,105,104,"[447.99, 554.07, 577.27, 619.11]"
301489,BULLIS,308269,STATION F (VELASCO & KINETIC),LOS ANGELES,230,7,15.96,97,96,"[546.78, 412.21, 571.37, 554.29]"
301489,BULLIS,304450,HARBORGEN,LOS ANGELES,230,4,15.85,82,81,"[536.65, 554.07, 580.34, 703.34]"
301489,BULLIS,300232,CENTER,NORWALK,230,7,15.28,109,108,"[559.81, 491.73, 678.09, 554.29]"
301489,BULLIS,310504,BANDINI,VERNON,66,2,15.08,102,101,"[559.81, 430.94, 605.82, 554.29]"
301489,BULLIS,306450,VERNON,VERNON,66,3,15.0,103,102,"[529.64, 433.0, 571.37, 554.29]"
301489,BULLIS,306268,WESTEX,SIGNAL HILL,66,2,14.15,89,88,"[560.62, 554.07, 606.42, 663.35]"
301489,BULLIS,301614,PULPGEN,VERNON,66,3,13.86,83,82,"[546.78, 433.58, 571.37, 554.29]"
301489,BULLIS,306060,LAGUNA BELL,COMMERCE,230,12,12.39,84,83,"[559.81, 460.53, 629.4, 554.29]"
301489,BULLIS,300390,HINSON,LONG BEACH,230,7,12.18,55,54,"[542.28, 554.07, 580.34, 658.46]"
301489,BULLIS,304073,STATION B (CENTURY),LOS ANGELES,230,8,11.58,72,71,"[504.51, 487.54, 571.37, 554.29]"
301489,BULLIS,307274,CAMERON,LONG BEACH,69,1,11.08,48,47,"[548.46, 554.07, 580.34, 653.51]"
301489,BULLIS,303540,CARSON,COMPTON,66,1,8.17,48,47,"[548.73, 554.07, 580.34, 605.85]"
