scenario,substation_id,mean_repair_time_hr,task_threshold_hr,is_repair_task,avg_damage_state,p_ds_ge1,p_ds_ge2,p_ds_ge3,p_ds4
Northridge,300105,1.122799594758832,1.0,True,0.662,0.546,0.112,0.004,0.0
Northridge,300232,2.2360647892905408,1.0,True,1.004,0.7160000000000001,0.257,0.031,0.0
Northridge,300390,1.0126979324302572,1.0,True,0.623,0.529,0.09,0.004,0.0
Northridge,300408,0.4998966258088754,1.0,False,0.40199999999999997,0.376,0.024,0.002,0.0
Northridge,300429,27.001602610245953,1.0,True,3.613,0.998,0.998,0.997,0.62
Northridge,300493,32.25452384786467,1.0,True,3.822,0.999,0.998,0.99,0.835
Northridge,300558,0.43976898173499895,1.0,False,0.353,0.33,0.023,0.0,0.0
Northridge,300627,1.443342494567528,1.0,True,0.7510000000000001,0.5860000000000001,0.143,0.022,0.0
Northridge,300648,2.066041923981995,1.0,True,0.955,0.684,0.22299999999999998,0.048,0.0
Northridge,300829,4.469358660557338,1.0,True,1.5190000000000001,0.878,0.496,0.135,0.01
Northridge,301100,4.508595829454544,1.0,True,1.524,0.866,0.503,0.14400000000000002,0.011
Northridge,301105,20.160775877509124,1.0,True,3.157,0.996,0.948,0.8240000000000001,0.389
Northridge,301108,3.9240709938768004,1.0,True,1.355,0.8230000000000001,0.41900000000000004,0.10600000000000001,0.007
Northridge,301156,8.66653548085342,1.0,True,2.248,0.9490000000000001,0.725,0.531,0.043
Northridge,301194,10.12336078248764,1.0,True,2.313,0.956,0.7739999999999999,0.479,0.104
Northridge,301214,32.36585461364584,1.0,True,3.846,1.0,0.998,0.989,0.859
Northridge,301517,0.5690858093908582,1.0,False,0.421,0.387,0.033,0.001,0.0
Northridge,301541,3.5020220149210637,1.0,True,1.2880000000000003,0.7979999999999999,0.383,0.10200000000000001,0.005
Northridge,301543,2.3982382443774877,1.0,True,1.008,0.699,0.244,0.064,0.001
Northridge,301558,2.441771456478454,1.0,True,1.0699999999999998,0.747,0.285,0.037,0.001
Northridge,301614,3.2164520198607662,1.0,True,1.225,0.773,0.338,0.114,0.0
Northridge,301636,23.813447125789736,1.0,True,3.433,0.998,0.977,0.967,0.491
Northridge,301637,3.1618027175290417,1.0,True,1.187,0.758,0.315,0.112,0.002
Northridge,301745,4.305524142811234,1.0,True,1.4700000000000002,0.824,0.444,0.201,0.001
Northridge,302164,1.1131343131079898,1.0,True,0.66,0.549,0.09999999999999999,0.011,0.0
Northridge,302171,9.739848062945264,1.0,True,2.373,0.9510000000000001,0.7670000000000001,0.5990000000000001,0.056
Northridge,302187,1.853163725128367,1.0,True,0.8830000000000001,0.663,0.20500000000000002,0.013999999999999999,0.001
Northridge,302297,2.0784166321819186,1.0,True,0.9570000000000001,0.676,0.22999999999999998,0.051,0.0
Northridge,302798,4.4430433608784154,1.0,True,1.518,0.847,0.45299999999999996,0.212,0.006
Northridge,302923,2.4973354640348107,1.0,True,1.074,0.732,0.273,0.069,0.0
Northridge,303099,8.631166653725284,1.0,True,2.2220000000000004,0.923,0.722,0.539,0.038
Northridge,303169,1.7643374601733017,1.0,True,0.8830000000000001,0.664,0.20400000000000001,0.015,0.0
Northridge,303303,0.9135012320317731,1.0,False,0.586,0.501,0.08,0.005,0.0
Northridge,303344,2.38808698555482,1.0,True,1.046,0.7190000000000001,0.259,0.068,0.0
Northridge,303371,3.6810542501896544,1.0,True,1.351,0.829,0.41400000000000003,0.101,0.007
Northridge,303540,0.693672761945142,1.0,False,0.482,0.429,0.052,0.001,0.0
Northridge,303620,26.127414550142138,1.0,True,3.518,0.997,0.974,0.9359999999999999,0.611
Northridge,303899,12.329240290161582,1.0,True,2.5789999999999997,0.968,0.842,0.622,0.147
Northridge,304040,3.0252038323909094,1.0,True,1.167,0.752,0.322,0.093,0.0
Northridge,304073,3.629837047352735,1.0,True,1.366,0.84,0.42600000000000005,0.095,0.005
Northridge,304137,0.7905455779214594,1.0,False,0.53,0.46799999999999997,0.057999999999999996,0.004,0.0
Northridge,304450,0.9942878935362869,1.0,False,0.608,0.512,0.094,0.002,0.0
Northridge,305780,2.455942451940805,1.0,True,1.057,0.717,0.266,0.074,0.0
Northridge,305885,3.9077132866042192,1.0,True,1.3539999999999999,0.7849999999999999,0.392,0.177,0.0
Northridge,305984,1.7828943942504778,1.0,True,0.8919999999999999,0.684,0.189,0.019,0.0
Northridge,306060,3.404400767291035,1.0,True,1.301,0.819,0.394,0.084,0.004
Northridge,306091,2.0698520291244193,1.0,True,0.9309999999999999,0.673,0.218,0.04,0.0
Northridge,306224,0.7141567245201514,1.0,False,0.503,0.45499999999999996,0.046,0.002,0.0
Northridge,306279,1.6073825324788837,1.0,True,0.8350000000000001,0.643,0.17900000000000002,0.013,0.0
Northridge,306365,0.9499973544782014,1.0,False,0.624,0.545,0.078,0.001,0.0
Northridge,306369,0.9793682265090328,1.0,False,0.596,0.498,0.088,0.01,0.0
Northridge,306444,5.459193739959872,1.0,True,1.685,0.8660000000000001,0.532,0.278,0.009
Northridge,306450,2.9396762672546872,1.0,True,1.158,0.7559999999999999,0.32,0.082,0.0
Northridge,306489,31.95130412081885,1.0,True,3.807,0.9989999999999999,0.994,0.984,0.83
Northridge,306623,1.6323153235014134,1.0,True,0.828,0.63,0.172,0.026,0.0
Northridge,306694,12.013337418887604,1.0,True,2.703,0.977,0.866,0.77,0.09
Northridge,306768,14.532257360963532,1.0,True,2.78,0.984,0.8879999999999999,0.694,0.214
Northridge,306844,1.9114698627793814,1.0,True,0.901,0.655,0.217,0.029,0.0
Northridge,307039,1.346988081642127,1.0,True,0.7520000000000001,0.602,0.14100000000000001,0.009,0.0
Northridge,307274,0.5465525822772117,1.0,False,0.409,0.38,0.026,0.003,0.0
Northridge,307373,1.388368831331689,1.0,True,0.726,0.5860000000000001,0.132,0.008,0.0
Northridge,307512,11.995201655500397,1.0,True,2.547,0.9750000000000001,0.843,0.5940000000000001,0.135
Northridge,307557,2.3322354380283383,1.0,True,0.9970000000000001,0.7020000000000001,0.232,0.062,0.001
Northridge,307564,0.9946459522624584,1.0,False,0.604,0.508,0.087,0.009,0.0
Northridge,307693,35.30478413006478,1.0,True,3.983,1.0,1.0,1.0,0.983
Northridge,307785,5.330043108366818,1.0,True,1.69,0.8660000000000001,0.528,0.29,0.006
Northridge,307832,3.074511305597255,1.0,True,1.2469999999999999,0.823,0.34700000000000003,0.075,0.002
Northridge,308206,11.66641780290954,1.0,True,2.458,0.9780000000000001,0.809,0.536,0.135
Northridge,308269,6.806454969172786,1.0,True,1.924,0.937,0.654,0.30000000000000004,0.033
Northridge,308367,0.9868448408019337,1.0,False,0.627,0.526,0.097,0.004,0.0
Northridge,308471,1.1290195131710519,1.0,True,0.65,0.531,0.105,0.014,0.0
Northridge,308494,12.433338635802407,1.0,True,2.564,0.9770000000000001,0.841,0.589,0.157
Northridge,308540,1.0868043572208173,1.0,True,0.658,0.552,0.10300000000000001,0.003,0.0
Northridge,308581,0.8186626609794746,1.0,False,0.535,0.475,0.055999999999999994,0.004,0.0
Northridge,308786,8.41091515830122,1.0,True,2.095,0.947,0.7050000000000001,0.386,0.057
Northridge,308806,1.1120497880039086,1.0,True,0.627,0.516,0.094,0.017,0.0
Northridge,308907,2.4533910946749424,1.0,True,1.056,0.7299999999999999,0.25,0.076,0.0
Northridge,308991,27.221600587505698,1.0,True,3.582,0.997,0.9830000000000001,0.9590000000000001,0.643
Northridge,309042,6.477832580757833,1.0,True,1.8860000000000001,0.925,0.659,0.276,0.026
Northridge,309156,1.4870960043950758,1.0,True,0.759,0.5900000000000001,0.14100000000000001,0.028,0.0
Northridge,309553,3.8276183731222346,1.0,True,1.4089999999999998,0.845,0.434,0.125,0.005
Northridge,309569,19.98273453329513,1.0,True,3.1319999999999997,0.996,0.9329999999999999,0.8089999999999999,0.394
Northridge,309663,9.282573222497009,1.0,True,2.226,0.962,0.746,0.435,0.083
Northridge,309703,3.7132900483943385,1.0,True,1.369,0.836,0.418,0.11,0.005
Northridge,309758,1.5527964279016984,1.0,True,0.7799999999999999,0.5880000000000001,0.16,0.032,0.0
