tract_id,AUC,T50,T80
6037101110,0.9612912776780476,17.0,30.0
6037101122,0.962177218444215,17.0,30.0
6037101220,0.9625714073902554,17.0,30.0
6037101221,0.961275270454513,17.0,30.0
6037101222,0.9613672745334779,17.0,30.0
6037101300,0.9697181041069783,12.0,21.0
6037101400,0.9682251823902863,15.0,21.0
6037102103,0.9650977284498917,17.0,17.0
6037102104,0.9653573900956361,17.0,21.0
6037102105,0.972287213664093,12.0,17.0
6037102107,0.9578839134246284,21.0,29.0
6037103101,0.9598045088486575,21.0,30.0
6037103102,0.9597402173879944,21.0,30.0
6037103201,0.9594676170837257,21.0,29.0
6037103202,0.9579055741596646,21.0,29.0
6037103300,0.956731360544413,21.0,21.0
6037103401,0.9594907623371486,21.0,29.0
6037103402,0.9596850528006529,21.0,30.0
6037104103,0.9571262125360851,21.0,21.0
6037104105,0.9567091861303539,21.0,21.0
6037104108,0.9560854037952741,21.0,21.0
6037104201,0.9237674858555123,43.0,43.0
6037104203,0.9571223958340584,21.0,21.0
6037104204,0.957887583928114,21.0,29.0
6037104310,0.9410280594608039,30.0,30.0
6037104321,0.943394769011274,30.0,30.0
6037104322,0.9428929466769831,30.0,30.0
6037104401,0.9413077023930526,30.0,30.0
6037104403,0.941582555168443,30.0,30.0
6037104404,0.941713758336208,30.0,30.0
6037104500,0.9561059643745513,21.0,21.0
6037104610,0.9562403618781492,21.0,21.0
6037104620,0.956184436606439,21.0,21.0
6037104701,0.9560196581035579,21.0,21.0
6037104703,0.9580574012108579,21.0,21.0
6037104704,0.9561177765832017,21.0,21.0
6037104821,0.9564108221429888,21.0,21.0
6037104822,0.9561233528526933,21.0,21.0
6037104823,0.9565680702789034,21.0,21.0
6037104824,0.9571072624214393,21.0,21.0
6037106010,0.915491031366742,43.0,43.0
6037106020,0.9178084110245063,43.0,43.0
6037106111,0.923709487419353,43.0,43.0
6037106112,0.9219486586156874,43.0,43.0
6037106113,0.9187008352064757,43.0,43.0
6037106114,0.9165437556148972,43.0,43.0
6037106403,0.9125259323067565,43.0,43.0
6037106405,0.912189343056442,43.0,43.0
6037106406,0.9149517993525371,43.0,43.0
6037106407,0.9134227706582092,43.0,43.0
6037106408,0.9130381862604857,43.0,43.0
6037106510,0.9174398786602158,41.0,41.0
6037106520,0.9127741301484318,43.0,43.0
6037106603,0.9268952533477465,34.0,40.0
6037106604,0.9169949798072216,41.0,41.0
6037106641,0.9284583441950275,34.0,34.0
6037106642,0.9266701382076998,34.0,40.0
6037106643,0.9270832006496117,34.0,40.0
6037106645,0.9272689898615426,34.0,40.0
6037106646,0.9373756614743755,29.0,29.0
6037106648,0.9147178548087269,43.0,43.0
6037106649,0.9403478427469404,30.0,30.0
6037107010,0.9121117736404554,43.0,43.0
6037107020,0.9130631498419376,43.0,43.0
6037108101,0.959375,20.0,20.0
6037108102,0.959375,20.0,20.0
6037108103,0.959375,20.0,20.0
6037108104,0.9578851269656634,20.0,20.0
6037108202,0.957523973148893,20.0,20.0
6037108203,0.958884682428867,20.0,20.0
6037108204,0.959375,20.0,20.0
6037109100,0.9385416666666667,30.0,30.0
6037109200,0.940625,29.0,29.0
6037109300,0.9382289765474137,29.0,29.0
6037109400,0.9385416666666667,30.0,30.0
6037109601,0.9404185026978998,30.0,30.0
6037109603,0.941300002332022,30.0,30.0
6037109604,0.9393265438095073,30.0,30.0
6037109700,0.9360386378769908,29.0,34.0
6037109800,0.9368271783040623,29.0,40.0
6037111100,0.9360989184093312,29.0,34.0
6037111201,0.9368292779172567,29.0,40.0
6037111202,0.9366604156699656,29.0,40.0
6037111204,0.959375,20.0,20.0
6037111205,0.9578491943107602,20.0,20.0
6037111206,0.959375,20.0,20.0
6037111302,0.9659870013754609,15.0,15.0
6037111303,0.9366404904045773,29.0,40.0
6037111304,0.95742692181728,20.0,20.0
6037111401,0.9366970376613125,29.0,40.0
6037111402,0.9365607863462555,29.0,40.0
6037113101,0.9574983824565333,20.0,20.0
6037113102,0.959375,20.0,20.0
6037113211,0.9540916192796403,20.0,20.0
6037113212,0.9549046923384071,20.0,20.0
6037113213,0.9541613528088324,20.0,20.0
6037113231,0.9782121896622027,8.0,8.0
6037113232,0.980001189505644,8.0,8.0
6037113234,0.9810525244186472,8.0,8.0
6037113237,0.953919032140322,20.0,20.0
6037113238,0.9817994567579481,8.0,8.0
6037113239,0.9798595492980751,8.0,8.0
6037113301,0.9678760675121192,15.0,15.0
6037113303,0.9663519122004988,15.0,15.0
6037113322,0.958892546478364,20.0,20.0
6037113323,0.9555820826305563,20.0,20.0
6037113324,0.9563722445257979,20.0,20.0
6037113423,0.967752215104804,15.0,15.0
6037113424,0.9701872496853869,15.0,15.0
6037113425,0.9660143807354004,15.0,15.0
6037113426,0.9664616649126471,15.0,15.0
6037113427,0.9811026655617974,8.0,8.0
6037113428,0.9664060831913671,15.0,15.0
6037115101,0.9666763791855258,15.0,15.0
6037115103,0.9677899545246235,15.0,15.0
6037115104,0.9678786846785443,15.0,15.0
6037115202,0.9699663705936881,15.0,15.0
6037115203,0.9678678759942739,15.0,15.0
6037115204,0.9701612153100024,15.0,15.0
6037115301,0.9701628290031892,15.0,15.0
