repair_order,substation_id,Crew_ID,Crew_Origin_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,300232,0,D01,C57,0.2356848759373909,13.023195831357913,0.2356848759373909,12.787510955420522
2,310204,1,D02,C57,0.3321377857475991,8.077732854291824,0.3321377857475991,7.745595068544224
3,310527,2,D02,C57,0.0496051556906579,1.1682259873536982,0.0496051556906579,1.1186208316630404
4,306450,3,D02,C57,0.1092228887613831,2.98682500003325,0.1092228887613831,2.877602111271867
5,301614,4,D02,C57,0.1183692280087644,2.965488727159086,0.1183692280087644,2.8471194991503217
6,306365,5,D02,C57,0.3369559153470569,17.953351640785684,0.3369559153470569,17.616395725438625
7,307832,6,D02,C57,0.3302045644350336,6.821248610850847,0.3302045644350336,6.491044046415813
8,304073,7,D02,C57,0.2197497887828771,12.995401378662148,0.2197497887828771,12.77565158987927
9,302187,8,D02,C57,0.3193202077730401,22.16077950540901,0.3193202077730401,21.84145929763597
10,306279,9,D02,C57,0.4377641534010146,2.694421404617859,0.4377641534010146,2.2566572512168444
11,309042,10,D02,C57,0.0465929262122769,2.0806574527491426,0.0465929262122769,2.0340645265368655
12,308581,11,D02,C57,0.3837367668465856,7.138625627409625,0.3837367668465856,6.75488886056304
13,303540,12,D03,C57,0.3041299270842703,15.473024274201872,0.3041299270842703,15.168894347117602
14,309553,13,D04,C57,0.4809888733365895,4.653867237923902,0.4809888733365895,4.172878364587312
15,305780,14,D04,C57,0.4720096829082335,3.7507585654068394,0.4720096829082335,3.278748882498606
16,301543,15,D04,C57,0.446212033853076,4.1186649078373225,0.446212033853076,3.672452873984246
17,308786,16,D04,C57,0.3787864062901878,3.228780992774518,0.3787864062901878,2.84999458648433
18,309703,17,D04,C57,0.5053798842637796,4.784442543894748,0.5053798842637796,4.279062659630969
19,303303,18,D04,C57,0.6018230622083455,7.106123696124937,0.6018230622083455,6.504300633916592
20,301745,19,D04,C57,0.3915507337577188,2.2550336733602965,0.3915507337577188,1.8634829396025776
21,301637,20,D04,C57,0.3753487509392644,3.428166020198589,0.3753487509392644,3.0528172692593247
22,306091,21,D04,C57,0.4289907044194745,4.676952635973374,0.4289907044194745,4.2479619315539
23,309843,22,D04,C57,0.2828040889681025,1.3518876804823527,0.2828040889681025,1.0690835915142503
24,309758,23,D04,C57,0.4709475689281812,6.4475295691216195,0.4709475689281812,5.976582000193439
25,306224,24,D04,C57,0.7147362455526745,17.450992148314867,0.7147362455526745,16.736255902762192
26,300627,25,D04,C57,0.4818699257394114,7.161698560226464,0.4818699257394114,6.679828634487053
27,309853,26,D04,C57,0.7047804131612038,7.464462078307537,0.7047804131612038,6.759681665146333
28,310179,27,D04,C57,0.6348143493661523,10.365472255721588,0.6348143493661523,9.730657906355436
29,300105,28,D04,C57,0.6611546474718367,2.384997811798494,0.6611546474718367,1.7238431643266572
30,306444,29,D04,C57,0.3831628248033744,2.3465912115811247,0.3831628248033744,1.9634283867777502
31,301100,30,D04,C57,0.4439696409422864,4.875651844777289,0.4439696409422864,4.431682203835003
32,306844,31,D04,C57,0.4890144987689858,11.934327733650457,0.4890144987689858,11.445313234881471
33,305885,32,D04,C57,0.3752712924793944,2.646691753112531,0.3752712924793944,2.271420460633137
34,308540,33,D04,C57,0.7225142501628539,13.005102637079093,0.7225142501628539,12.282588386916238
35,310504,34,D04,C57,0.4653845869815141,3.041325891947478,0.4653845869815141,2.5759413049659643
