repair_order,substation_id,Crew_ID,Crew_Origin_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,300232,0,D01,C57,0.2356848759373909,13.023195831357913,0.2356848759373909,12.787510955420522
2,308269,1,D02,C57,0.0912514049822256,3.2571649585325275,0.0912514049822256,3.165913553550302
3,309843,2,D02,C57,0.3406995762028677,1.409783167717118,0.3406995762028677,1.0690835915142503
4,306060,3,D02,C57,0.1682713952256681,6.832532790938335,0.1682713952256681,6.664261395712667
5,306844,4,D02,C57,0.333969336080515,11.779282570961985,0.333969336080515,11.445313234881471
6,310527,5,D02,C57,0.0496051556906579,1.1682259873536982,0.0496051556906579,1.1186208316630404
7,303099,6,D02,C57,0.1686100346685886,1.2872768722121117,0.1686100346685886,1.1186668375435231
8,308581,7,D02,C57,0.3837367668465856,7.138625627409625,0.3837367668465856,6.75488886056304
9,308786,8,D02,C57,0.2665788993033194,3.1165734857876495,0.2665788993033194,2.84999458648433
10,309042,9,D02,C57,0.0465929262122769,2.0806574527491426,0.0465929262122769,2.0340645265368655
11,306450,10,D02,C57,0.1092228887613831,2.98682500003325,0.1092228887613831,2.877602111271867
12,304450,11,D02,C57,0.4289032487509961,13.125673556466003,0.4289032487509961,12.696770307715006
13,308471,12,D03,C57,0.3659926773758076,7.256034821387781,0.3659926773758076,6.890042144011974
14,306365,13,D04,C57,0.5873649663991208,18.203760691837747,0.5873649663991208,17.616395725438625
15,309156,14,D04,C57,0.4321143606831696,4.720184407613302,0.4321143606831696,4.288070046930132
16,308367,15,D04,C57,0.7225142501628539,11.81664568450436,0.7225142501628539,11.094131434341506
17,301637,16,D04,C57,0.3753487509392644,3.428166020198589,0.3753487509392644,3.0528172692593247
18,306091,17,D04,C57,0.4289907044194745,4.676952635973374,0.4289907044194745,4.2479619315539
19,309703,18,D04,C57,0.5053798842637796,4.784442543894748,0.5053798842637796,4.279062659630969
20,309758,19,D04,C57,0.4709475689281812,6.4475295691216195,0.4709475689281812,5.976582000193439
21,301105,20,D04,C57,0.2987770471461312,2.108247537515098,0.2987770471461312,1.8094704903689671
22,307557,21,D04,C57,0.4697749692094577,4.461988335063171,0.4697749692094577,3.992213365853713
23,305780,22,D04,C57,0.4720096829082335,3.7507585654068394,0.4720096829082335,3.278748882498606
24,301745,23,D04,C57,0.3915507337577188,2.2550336733602965,0.3915507337577188,1.8634829396025776
25,308540,24,D04,C57,0.7225142501628539,13.005102637079093,0.7225142501628539,12.282588386916238
26,305885,25,D04,C57,0.3752712924793944,2.646691753112531,0.3752712924793944,2.271420460633137
27,307274,26,D04,C57,0.6171618632798831,13.198031774167907,0.6171618632798831,12.580869910888024
