repair_order,substation_id,Crew_ID,Crew_Origin_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,304073,0,D01,C57,0.2014355037680088,1.4192778782672264,0.2014355037680088,1.2178423744992175
2,308269,1,D02,C57,0.0912514049822256,1.533089898412476,0.0912514049822256,1.4418384934302504
3,301541,2,D02,C57,0.1735050109360682,1.5195194485197934,0.1735050109360682,1.346014437583725
4,300232,3,D02,C57,0.2371825217203012,1.2732864963395158,0.2371825217203012,1.0361039746192147
5,300105,4,D02,C57,0.3240646639605162,1.6242347779665087,0.3240646639605162,1.3001701140059925
6,306060,5,D02,C57,0.1682713952256681,1.3051039331827332,0.1682713952256681,1.1368325379570652
7,301105,6,D02,C57,0.2571593411381854,1.5239408242710237,0.2571593411381854,1.2667814831328383
8,300648,7,D02,C57,0.1943803926702792,1.5406941834150132,0.1943803926702792,1.346313790744734
9,301558,8,D02,C57,0.2435238787950405,3.5816830709210628,0.2435238787950405,3.3381591921260223
10,309042,9,D02,C57,0.0465929262122769,1.9714823909870947,0.0465929262122769,1.9248894647748178
11,310527,10,D02,C57,0.0496051556906579,2.55932270134278,0.0496051556906579,2.5097175456521224
12,305984,11,D02,C57,0.2766566541556225,2.32727719275484,0.2766566541556225,2.0506205385992176
13,301194,12,D03,C57,0.1045917458172199,5.138907236021109,0.1045917458172199,5.034315490203889
14,304040,13,D04,C57,0.4111930315978428,4.681605811464348,0.4111930315978428,4.270412779866506
15,308991,14,D04,C57,0.2535104899807856,6.945434763363181,0.2535104899807856,6.691924273382395
16,303620,15,D04,C57,0.1815666350864873,6.629125492441858,0.1815666350864873,6.447558857355371
17,303899,16,D04,C57,0.2728454375148147,2.556642613516314,0.2728454375148147,2.283797176001499
18,308206,17,D04,C57,0.2798600662196588,2.2504874010205924,0.2798600662196588,1.9706273348009338
19,300829,18,D04,C57,0.4208140167635789,7.8381159677243835,0.4208140167635789,7.4173019509608045
20,307512,19,D04,C57,0.2433781497916179,8.679732547499018,0.2433781497916179,8.436354397707401
21,308494,20,D04,C57,0.257634917252396,9.046296315072999,0.257634917252396,8.788661397820603
22,300493,21,D04,C57,0.1810631386104234,11.379938006368368,0.1810631386104234,11.198874867757945
23,301636,22,D04,C57,0.1521644251288435,14.729624303803945,0.1521644251288435,14.577459878675102
24,300429,23,D04,C57,0.1769893257114166,15.166957354069785,0.1769893257114166,14.98996802835837
25,303371,24,D04,C57,0.4215833118166912,4.045423284180602,0.4215833118166912,3.6238399723639114
26,306768,25,D04,C57,0.2252064427569911,3.9716938712133296,0.2252064427569911,3.7464874284563385
27,309569,26,D04,C57,0.1476775688884651,19.22482593168573,0.1476775688884651,19.077148362797264
28,310199,27,D04,C57,0.181017085452713,29.333843275973955,0.181017085452713,29.152826190521242
29,306489,28,D04,C57,0.220143657568028,29.793092496657128,0.220143657568028,29.5729488390891
30,301214,29,D04,C57,0.220143657568028,30.78737025627365,0.220143657568028,30.567226598705624
31,307693,30,D04,C57,0.1578621167706032,31.750865814148145,0.1578621167706032,31.593003697377544
32,301156,31,D04,C57,0.3432094004302999,1.4493703206109518,0.3432094004302999,1.106160920180652
33,309843,32,D04,C57,0.2828040889681025,1.812414834475159,0.2828040889681025,1.5296107455070564
