k,inertia,silhouette,feature_space
1,32409.999999999993,,standardized_original_features
2,27046.800858204868,0.17933029950821094,standardized_original_features
3,25183.587374379975,0.12192233770046865,standardized_original_features
4,23526.95187431958,0.13454591095337384,standardized_original_features
5,21692.477387105202,0.1292059512756999,standardized_original_features
6,20359.11892479386,0.15826086820267457,standardized_original_features
7,19000.09565941244,0.14235549988588828,standardized_original_features
8,17983.483377910747,0.15121212109226734,standardized_original_features
9,17201.142340374427,0.14771933705061005,standardized_original_features
10,16518.80568825877,0.14645065670383636,standardized_original_features
