,PC1,PC2,PC3,PC4,PC5
T80,-0.26141929821590926,-0.4257137586790192,0.06602290215037636,0.26272558268381757,0.29023780101873914
Init_Supply,-0.012859314663709667,-0.11492915244532545,-0.10002543450835115,-0.35088958082067434,-0.5022361547331555
Grid_Degree,0.16968548007719028,0.538149034870408,-0.05626682772459222,0.2743274993793829,0.000986381822876038
Grid_Impact,-0.15729453692209125,-0.10236450766499137,0.02138643964286301,0.39362949103277967,0.003270491961352368
Grid_Betweenness,0.015415078087069106,0.3917840577095011,-0.05344791656581984,0.5689337021946035,-0.11704687283658631
Redundancy_HHI,0.05710240607764234,0.3746591763050115,0.12667570763089772,-0.24370856621631923,-0.3154959917989651
Pre_1970_Ratio,0.051415138390745616,0.20766415567043817,-0.29638030281471894,-0.12924091748616995,0.5306193130600907
Pop_Density,0.26373780217158244,-0.2930797796408558,-0.200678703953338,0.2872595661864373,-0.2975075477040165
NRI_RISK_SCORE,0.13122692978028128,-0.006778747305795808,0.649463728047718,0.05737779994567273,0.08008744519972315
NRI_BUILDVALUE,-0.17995860685188186,0.1377278551462455,0.5903425984925823,-0.06994252228364106,0.05279104468330115
SVI_THEME1,0.49129026252718555,-0.155357893016687,0.010910544710284641,0.06971086612330378,0.0023204952419928915
SVI_THEME2,0.3972419253710322,-0.04975106340851873,0.09795246881836674,-0.152856710902294,0.3150845915646818
SVI_THEME3,0.4572357430721868,0.028485344871182136,-0.044044535069908075,-0.12502681693309067,0.18796438740037177
SVI_THEME4,0.3800302613488531,-0.190142664268436,0.23029274301786556,0.2081121550130069,-0.1907582719276276
