PC,Eigenvalue,Explained_Variance_Ratio,Cumulative_Ratio
PC1,3.192449414658234,0.22793359905952335,0.22793359905952335
PC2,1.7519100421387201,0.12508237696726313,0.35301597602678647
PC3,1.6612469844420057,0.11860924165377354,0.47162521768056
PC4,1.5380848266435698,0.10981574479645849,0.5814409624770185
PC5,1.0900074706639509,0.0778240446503049,0.6592650071273234
PC6,0.9316694172584508,0.06651906916186531,0.7257840762891887
PC7,0.9054050224702105,0.06464385134205698,0.7904279276312457
PC8,0.7225558173687571,0.05158883558751322,0.842016763218759
PC9,0.520718689083237,0.037178125471725096,0.879194888690484
PC10,0.40854692803922515,0.029169317848897463,0.9083642065393814
PC11,0.3882786502599678,0.027722209092920863,0.9360864156323023
PC12,0.3525175936729347,0.025168951303892958,0.9612553669361953
PC13,0.333445062434865,0.023807216120773755,0.985062583056969
PC14,0.20921421051150627,0.014937416943030713,0.9999999999999998
